anchor_id,city_id,city_name,country_code,anchor_name,anchor_name_local,anchor_name_en,anchor_type,official_source_type,source_dataset,source_record_id,source_url,description,category,address,lat,lng,start_date,end_date,price_text,evidence_text,confidence,review_status,match_ready,notes
official-fukuoka-yatai-cluster,jp-fukuoka,후쿠오카,JP,후쿠오카 야타이,福岡市 屋台,Fukuoka Yatai,place_cluster,official_yatai_cluster,fukuoka_yatai_curated,cluster,https://data.bodik.jp/dataset/401307_yataiopendata,福岡市 official yatai inventory with 107 deduplicated stalls.,야타이/포장마차,福岡県福岡市,,,,,,福岡市 official yatai dataset / 107 stalls / deduplicated by 屋台ID,0.98,accepted,true,Place-based aggregate anchor for Fukuoka yatai area/stall network; product format such as tour is not used as the analysis unit.
official-fukuoka-yatai-122472,jp-fukuoka,후쿠오카,JP,寅政,寅政,Toramasa,food_place,official_yatai,fukuoka_yatai_curated,122472,https://yokanavi.com/yatai/122472/,香椎の屋台ならココ！一度出向けば、料理と大将にハマる事間違いなし！,ラーメン/焼きラーメン/焼き鳥/おでん/餃子,福岡県福岡市東区千早5-9,33.6555599,130.4402527,,,3000,寅政 / ラーメン/焼きラーメン/焼き鳥/おでん/餃子 / その他 / 香椎の屋台ならココ！一度出向けば、料理と大将にハマる事間違いなし！,0.95,accepted,true,Fukuoka official yatai dataset; deduplicated by 屋台ID
official-fukuoka-yatai-122473,jp-fukuoka,후쿠오카,JP,おけい,おけい,Okei,food_place,official_yatai,fukuoka_yatai_curated,122473,https://yokanavi.com/yatai/122473/,オーソドックスな料理をさりげなくがモットー,ラーメン/焼き鳥/おでん,福岡県福岡市博多区中洲5,33.5948713,130.4041006,,,3000,おけい / ラーメン/焼き鳥/おでん / 中洲 / オーソドックスな料理をさりげなくがモットー,0.95,accepted,true,Fukuoka official yatai dataset; deduplicated by 屋台ID
official-fukuoka-yatai-122474,jp-fukuoka,후쿠오카,JP,小島商店,小島商店,Kojima shoten,food_place,official_yatai,fukuoka_yatai_curated,122474,https://yokanavi.com/yatai/122474/,小島商店は、接客、丁寧な調理、屋台の雰囲気を大事にする屋台です。,ラーメン/焼きラーメン/おでん,福岡県福岡市博多区中洲1-8（清流公園内）,33.5903239,130.4083572,,,3000,小島商店 / ラーメン/焼きラーメン/おでん / 中洲 / 小島商店は、接客、丁寧な調理、屋台の雰囲気を大事にする屋台です。,0.95,accepted,true,Fukuoka official yatai dataset; deduplicated by 屋台ID
official-fukuoka-yatai-122475,jp-fukuoka,후쿠오카,JP,伸龍,伸龍,Shinryu,food_place,official_yatai,fukuoka_yatai_curated,122475,https://yokanavi.com/yatai/122475/,中洲で30年以上。親子で仲良く元気に営業しています。,ラーメン/焼きラーメン/焼き鳥/おでん/餃子,福岡県福岡市博多区中洲1-8（清流公園内）,33.5904483,130.4081805,,,2000,伸龍 / ラーメン/焼きラーメン/焼き鳥/おでん/餃子 / 中洲 / 中洲で30年以上。親子で仲良く元気に営業しています。,0.95,accepted,true,Fukuoka official yatai dataset; deduplicated by 屋台ID
official-fukuoka-yatai-122476,jp-fukuoka,후쿠오카,JP,武ちゃん,武ちゃん,Takechan,food_place,official_yatai,fukuoka_yatai_curated,122476,https://yokanavi.com/yatai/122476/,餃子屋で修業した大将が作る絶品餃子を是非ご賞味あれ！,餃子,福岡県福岡市博多区中洲1-8（清流公園内）,33.5901946,130.408607,,,1500,武ちゃん / 餃子 / 中洲 / 餃子屋で修業した大将が作る絶品餃子を是非ご賞味あれ！,0.95,accepted,true,Fukuoka official yatai dataset; deduplicated by 屋台ID
official-fukuoka-yatai-122477,jp-fukuoka,후쿠오카,JP,呑龍,呑龍,Donryu,food_place,official_yatai,fukuoka_yatai_curated,122477,https://yokanavi.com/yatai/122477/,お茶目な大将と優しい女将さんのノスタルジックな正統派屋台,ラーメン/焼き鳥/おでん,福岡県福岡市博多区中洲1-8（清流公園内）,33.5900745,130.4087262,,,2500,呑龍 / ラーメン/焼き鳥/おでん / 中洲 / お茶目な大将と優しい女将さんのノスタルジックな正統派屋台,0.95,accepted,true,Fukuoka official yatai dataset; deduplicated by 屋台ID
official-fukuoka-yatai-122478,jp-fukuoka,후쿠오카,JP,ひでちゃん,ひでちゃん,Hidechan,food_place,official_yatai,fukuoka_yatai_curated,122478,https://yokanavi.com/yatai/122478/,博多の夜は屋台の明かりから……,ラーメン/焼きラーメン/焼き鳥/餃子,福岡県福岡市博多区中洲1-8（清流公園内）,33.590221,130.4085471,,,1500,ひでちゃん / ラーメン/焼きラーメン/焼き鳥/餃子 / 中洲 / 博多の夜は屋台の明かりから……,0.95,accepted,true,Fukuoka official yatai dataset; deduplicated by 屋台ID
official-fukuoka-yatai-122480,jp-fukuoka,후쿠오카,JP,丸十,丸十,Marujyu,food_place,official_yatai,fukuoka_yatai_curated,122480,https://yokanavi.com/yatai/122480/,エネルギッシュな従業員がおいしさを倍増させてくれる,ラーメン/焼きラーメン/焼き鳥/おでん/餃子,福岡県福岡市博多区中洲1-8（清流公園内）,33.5902508,130.4084427,,,2500,丸十 / ラーメン/焼きラーメン/焼き鳥/おでん/餃子 / 中洲 / エネルギッシュな従業員がおいしさを倍増させてくれる,0.95,accepted,true,Fukuoka official yatai dataset; deduplicated by 屋台ID
official-fukuoka-yatai-122481,jp-fukuoka,후쿠오카,JP,峰ちゃん,峰ちゃん,Minechan,food_place,official_yatai,fukuoka_yatai_curated,122481,https://yokanavi.com/yatai/122481/,中洲を見ながら飲む酒は絶品！,焼き鳥/おでん/その他,福岡県福岡市博多区中洲1-8（清流公園内）,33.5901751,130.4086295,,,3000,峰ちゃん / 焼き鳥/おでん/その他 / 中洲 / 中洲を見ながら飲む酒は絶品！,0.95,accepted,true,Fukuoka official yatai dataset; deduplicated by 屋台ID
