spot_id,name_local,name_ko,translation_status,description,areas,categories,source_url,disposition,classification,reason
27027,ぐりんぐりん,구린구린,official_korean,アイランドシティ中央公園のセンター施設。 設計は世界で活躍する建築家・伊東豊雄の手によるもので、斬新な構造計画による有機的な形が特徴です。 【体験学習施設 「ぐりんぐりん」】 ぐりんぐりんの北ブロックは広い広場をもつ緑に囲まれた広いフリースペース、中央ブロックは亜熱帯性の植生展示を中心としたスペース、南ブロックはワークショップやガーデニングが体験可能なスペースと、それぞれ異なる内部空間...,EAST COAST,建築物|ファミリー,https://yokanavi.com/spots/27027,accepted,architecture_or_landmark,official sightseeing catalog and primary visitor-facing category
26820,アクロス福岡,아크로스 후쿠오카,official_korean,天神中央公園に面したステップガーデンの建物、それが「アクロス福岡」だ。 都心のオアシスともいえるここは、国際・文化・情報の交流拠点。 地下２階から地上13階まで広がり、本格的なシンフォニーホール、イベントホール、国際会議場、県のパスポートセンター、オフィス、レストラン、ショップなど様々な機能がそろっている。,天神・薬院,建築物,https://yokanavi.com/spots/26820,accepted,architecture_or_landmark,official sightseeing catalog and primary visitor-facing category
26792,キャナルシティ博多,캐널시티 하카타,official_korean,運河（キャナル）を取り囲むように、ホテル、劇場、映画館、ショップ、レストラン、専門店、ショールームなどがひしめく、複合商業施設。日々行われる噴水ショーやイベントの他、ショッピングに、レジャーに、そしてグルメにと、ここに来ればとにかく退屈することなし！海外からの観光客も多い福岡観光では人気のスポットだ。 買う キャナルシティ博多は、注目のショップが多数集まる複合商業施設。ファッションから雑...,博多駅,建築物|ファミリー|デパート・複合施設,https://yokanavi.com/spots/26792,accepted,architecture_or_landmark,official sightseeing catalog and primary visitor-facing category
27025,世界の建築家通り,세계의 건축가 거리,official_korean,黒川紀章や出江寛、スタンリー・タイガーマンなど、世界の7人の建築家による、集合住宅や商業施設を中心とした開発エリア。シーサイドももちヴェルデコート、ネクサス百道Ｍ棟、ネクサス百道S棟、シーサイドももちアルティコートA館、シーサイドももちアルティコートB館から成り、それぞれの個性が不思議に調和した美しい街並みを構築している。,シーサイドももち・早良,建築物,https://yokanavi.com/spots/27025,accepted,architecture_or_landmark,official sightseeing catalog and primary visitor-facing category
27127,天神地下街,덴진 지하상점가,official_korean,九州最大の繁華街天神の地下を南北に貫く全長約590ｍの地下街。１～12番街まであり、ファッション、グルメ、書籍など150余りのテナントがある。19世紀ヨーロッパをイメージして造られ、石畳の床や唐草模様の天井などは、開業当初から斬新でありながら落ち着いた雰囲気を効果的に演出している。交通アクセスも地下鉄天神駅、天神南駅と直結し、さらに西鉄福岡（天神）駅や西鉄天神バスセンターにも通じる好環境を誇...,天神・薬院,その他|建築物,https://yokanavi.com/spots/27127,accepted,architecture_or_landmark,official sightseeing catalog and primary visitor-facing category
26950,福岡市赤煉瓦文化館,후쿠오카시 아카렌가 문화관,official_korean,明治時代の我が国を代表する建築家･辰野金吾と片岡安の設計により、日本生命保険株式会社九州支店として明治42年（1909）に竣工。赤煉瓦と白い花崗岩の外壁は、19世紀末のイギリス様式で、ほかに尖塔やドームなど、小規模ながら変化に富んでいる。 平成2年（1990）まで市歴史資料館として使用された後、平成6年(1994)２月、有料の会議室等を備えた市民に開かれた施設「赤煉瓦文化館」としてオープン...,天神・薬院,建築物,https://yokanavi.com/spots/26950,accepted,architecture_or_landmark,official sightseeing catalog and primary visitor-facing category
27020,福岡銀行本店,후쿠오카은행 본점,official_korean,建築家・黒川紀章による、現代アトリウム建築の進化につながる作品。1階部分は一般に開放するオープンスペースとし、広く大きな吹き抜け空間を設けたデザインが特徴的だ。アトリウムの中には緑や休憩のスペースなどが配置されており、都会の中のオアシス的な存在となっている。,天神・薬院,建築物,https://yokanavi.com/spots/27020,accepted,architecture_or_landmark,official sightseeing catalog and primary visitor-facing category
27021,'【パブリックアート】天神西交差点広場／平和の門ほか,덴진 니시교차로 광장,official_korean,歩道エリアにはデザイナー・松永真による作品が並ぶ。“楽しくて対話できるもの”というコンセプトのもとに制作したこれらの作品は、カエルやキリンをモチーフにしており、親しみやすく心和むものばかりだ。,天神・薬院,アートスポット|文化・芸術|建築物,https://yokanavi.com/spots/27021,accepted,art_place,official sightseeing catalog and primary visitor-facing category
26794,福岡アジア美術館,후쿠오카 아시아미술관（일시 휴관 중）,official_korean,博多リバレイン内にある、アジアの近現代の美術作品を系統的に収集し展示する世界に唯一の美術館。 「福岡アジア美術館」はアジア23ヶ国・地域の美術作品約2900点を所蔵・展示。 作品展示だけにとどまらず、アジアのアーティストを招いての制作やワークショップなども行っている。 また、ミュージアムショップには、オリジナルグッズや関連出版物、アジア各国の多彩な小物や調度品など魅力的な商品が豊富だ。,博多旧市街,アートスポット|文化・芸術,https://yokanavi.com/spots/26794,accepted,art_place,official sightseeing catalog and primary visitor-facing category
26815,福岡市美術館,후쿠오카시 미술관,official_korean,大濠公園散策の傍ら、美術鑑賞を楽しむならここ。福岡市美術館は前川國男が設計した瀟洒な美術館だ。ミロやダリ、シャガールなど世界的な巨匠の作品や青木繁、黒田清輝、坂本繁二郎など九州出身の名画家の作品、さらに東洋の古美術品、重要文化財を含む茶道具、仏教美術まで、ぎっしり収蔵され見ごたえ充分！,大濠・六本松,アートスポット|文化・芸術|建築物,https://yokanavi.com/spots/26815,accepted,art_place,official sightseeing catalog and primary visitor-facing category
26812,「博多町家」ふるさと館,하카타마치야 후루사토칸,official_korean,博多に来たなら、博多文化をに触れてみんしゃい！ 博多を代表する観光名所の一つ「博多町家」ふるさと館。博多の総鎮守・櫛田神社向かいにあるここは、なつかしい博多の暮らしと文化を楽しく紹介する施設です。 明治時代の町家を中心に、展示棟では博多祇園山笠の迫力満点の動画をはじめ、博多弁講座や、古き良き時代の博多の風俗を博多人形で楽しめます。 博多の伝統工芸も実演しています。 ...,博多旧市街,文化・芸術,https://yokanavi.com/spots/26812,accepted,culture_or_museum,official sightseeing catalog and primary visitor-facing category
27178,はかた伝統工芸館（ ※2025年5月2日（金曜日）博多区博多駅前一丁目に移転オープン！）,하카타 전통공예관 ※2025년 5월 2일(금요일) 하카타구 하카타역 앞 잇쵸메에 이전 오픈!,official_korean,「はかた伝統工芸館」は、福岡市を代表する伝統的工芸品である博多織・博多人形など、福岡・博多ゆかりの工芸品を展示・紹介する観光スポットです。 「博多織」は約780年の歴史を有し、筑前黒田藩主が幕府に献上したことで、その際の柄は「献上柄」として知られ、「博多人形」は、約400年前の黒田長政の筑前入国に伴って多くの瓦職人が集められたことから誕生したと言われます。 ほかにも、「博多曲物（まげもの...,博多旧市街,文化・芸術,https://yokanavi.com/spots/27178,accepted,culture_or_museum,official sightseeing catalog and primary visitor-facing category
26818,キャナルシティ劇場,캐널시티 극장,official_korean,福岡を代表するショッピングモール「キャナルシティ博多」の敷地内にある劇場。 演劇やミュージカルだけでなく、落語や伝統芸能など様々な演目が行われている。 舞台と客席の距離が非常に近いため、迫力のある演劇を楽しめると評判だ。,博多駅,文化・芸術,https://yokanavi.com/spots/26818,accepted,culture_or_museum,official sightseeing catalog and primary visitor-facing category
119804,博多伝統芸能館,하카타 전통 예능관,official_korean,平成29年11月に開館。 博多の総鎮守「櫛田神社」前にある博多の伝統文化に触れる、体験できる新たな観光スポットとなる体験型文化施設です。 日本舞踊や民踊、独楽、博多仁和加など博多に伝わる伝統芸能の魅力を発信することを目的としています。また、博多券番の芸妓の稽古場としても利用されています。 ※公演等のイベント時以外は、入館できません。,博多旧市街,文化・芸術,https://yokanavi.com/spots/119804,accepted,culture_or_museum,official sightseeing catalog and primary visitor-facing category
26817,博多座,하카타자,official_korean,全国で話題の演劇、歌舞伎、ミュージカルなどが毎月替わりで公演される、九州でも有数の演劇専用劇場。和洋折衷の外観、豪華な客席、花道を備えた舞台まわり、ホテルのように華やかなロビー、行き届いたサービスなどが、リッチな観劇を演出してくれる。また、膝掛けやオペラグラスの貸し出しなど、無料・有料のサービスも充実。レストランやカフェなどの施設も充実。舞台の感動をぜひ味わってみよう。 舞台 幅20m、奥行...,博多旧市街,文化・芸術,https://yokanavi.com/spots/26817,accepted,culture_or_museum,official sightseeing catalog and primary visitor-facing category
26992,大濠公園能楽堂,오호리공원 노가쿠당,official_korean,日本庭園や美術館を併設する市内でも大規模な公園・大濠公園の中に備わる文化施設。年間を通じてさまざまな能や狂言が披露されている。,大濠・六本松,文化・芸術,https://yokanavi.com/spots/26992,accepted,culture_or_museum,official sightseeing catalog and primary visitor-facing category
