official_tour_id,title_ja,official_url,reservation_status_ja,areas_ja,tags_ja,ended,itinerary_text_ja,address_ja,source_scope
82476,福岡オープントップバス（FUKUOKA OPEN TOP BUS）,https://yokanavi.com/tours/82476,予約必要（当日まで可）,天神・薬院エリア,体験・参加型 | 博多旧市街 | ナイトタイム,false,,,Yokanavi current /tours result set
128184,福岡・博多のまち歩き【福岡市観光案内ボランティア事務局】,https://yokanavi.com/tours/128184,予約必要（当日以前に締切）,福岡市近郊エリア,体験・参加型 | まち歩き | 博多旧市街 | その他,false,"ご希望にあわせて2時間程度でガイドいたします。 ※年末年始(12/28～1/3)を除きます。 【モデルコース】 ①博多の寺社めぐり（博多旧市街エリア） 櫛田神社 → 「博多町家」ふるさと館 → 龍宮寺 → 東長寺 → 承天寺 ②博多・中洲・天神コース 櫛田神社 → 川端商店街 → 福博であい橋 → 水鏡天満宮 → 福岡市赤煉瓦文化館 ③福岡城・ 鴻臚館コース 福岡城むかし探訪館 → 鴻臚館跡 → 福岡城天守台跡 → （伝）潮見櫓・下之橋御門 ④福岡城・鴻臚館タブレットツアー 福岡城むかし探訪館 → 福岡城跡 → 鴻臚館跡 ※ご案内は、ガイド1人につき参加者6名程度とさせていただきます。 ※案内に要する経費(入場料・飲食費・通訳など)は別途、お客様にご負担いただきます。 ※1名～3名でお申込みのお客様に関しましては、1グループ2,000円をご負担いただきます。",,Yokanavi current /tours result set
236731,博多人形絵付け体験,https://yokanavi.com/tours/236731,予約必要（当日まで可）,博多旧市街エリア,体験・参加型 | 博多旧市街,false,10：00～/14：00～ みやげ処にて材料を購入後、展示棟にて受付（入館料のお支払い） 展示棟2階「伝承工房」にて絵付け体験を開始（１時間程度） →出来上がり次第終了,,Yokanavi current /tours result set
28905,ふくやの明太子工場でオリジナルの「my明太子」を作ろう！,https://yokanavi.com/tours/28905,予約必要（当日まで可）,EAST COAST（志賀島）エリア | 博多駅エリア | 博多旧市街エリア,体験・参加型 | 食（グルメ）,false,セットのたらこに唐辛子をふって調味液にひたします。 辛子をお好みで調節、すりゴマやブラックペッパーを加えてオリジナルの辛子明太子に仕立てることもできます！ ※所要時間はおよそ30～40分 ●毎日開催 11：00～ 13：30～ 15：00～ ・・・・・・・・・・・・・・・・・・・ 1948年創業。日本で初めて漬け込み式明太子の製造・販売を手掛けた「ふくや」の明太子工場です。 ふくや味の明太子工場では工場見学をはじめ、お子様から大人までお楽しみいただける明太子作り体験を毎日開催。 明太子を堪能できるメニューをご用意したカフェコーナーやお土産を購入できる売店を併設しています。 カフェコーナーではお子さまでも食べられる辛くない明太子もご用意しております。 また、博多の伝統工芸日品である博多人形や実寸大の博多祇園山笠を常設展示しております。 入館料：無料 営業時間：10：00～16：00 定休日：火曜・水曜・年末年始,,Yokanavi current /tours result set
273923,「中洲 博多舟」～福岡で唯一の屋形舟～,https://yokanavi.com/tours/273923,予約必要（当日まで可）,中洲川端・リバーフロントエリア,食（グルメ） | ナイトタイム,false,出船は基本的に16 時／ 18 時／ 20 時 ※昼便はご相談に応じて運行します。 ※昼便 10 名～、夜便 20 名～、貸切が可能です。 ［和舟］42 名 ［洋舟］24 名 ※乗合の予約は2名から可能。,,Yokanavi current /tours result set
236737,博多曲物アクセサリーケース作り,https://yokanavi.com/tours/236737,予約必要（当日まで可）,博多旧市街エリア,体験・参加型 | 博多旧市街,false,10：00/14：00みやげ処にて材料を購入 展示棟にて受付（入館料のお支払い） 展示棟２階「伝承工房」にて体験を開始（１時間程度） 出来上がり次第終了,,Yokanavi current /tours result set
236735,博多独楽絵付け体験,https://yokanavi.com/tours/236735,予約必要（当日以前に締切）,博多旧市街エリア,体験・参加型 | 博多旧市街,false,10：00/14：00みやげ処にて材料を購入 展示棟にて受付（入館料のお支払い） 展示棟２階「伝承工房」にて絵付け体験を開始（１時間程度） 出来上がり次第終了,,Yokanavi current /tours result set
28337,博多まち歩き無料定時ツアー,https://yokanavi.com/tours/28337,予約不要,博多駅エリア | 博多旧市街エリア,まち歩き | 博多旧市街,false,●主なコース 櫛田神社・龍宮寺・東長寺 など約60分 ●荒天の場合は中止になる場合もございます ※7月1日～7月14日は「山笠バージョン」、7月15日～9月14日（予定）は「夏バージョン」での実施となり、「基本コース」でのご案内はございません。ご了承ください。 13時50分までに「博多町家」ふるさと館前に直接集合して下さい 14時 出発 15時 解散,,Yokanavi current /tours result set
273890,化粧品の工場見学＆ワークショップ,https://yokanavi.com/tours/273890,予約必要（当日以前に締切）,福岡市近郊エリア,体験・参加型,false,ご案内内容 ①会社の概要説明・映像紹介 ②プロジェクションマッピングを通じて、ものづくりの工程紹介と検査体験 ③工場見学（製造室・最先端ライン）紹介 ④ワークショップ 合計120分,,Yokanavi current /tours result set
273960,妙典寺 朝の読経体験,https://yokanavi.com/tours/273960,予約不要,博多旧市街エリア,体験・参加型 | 博多旧市街,false,毎朝6時～7時に実施しています。 ※参拝の際は静かにお過ごしください。,,Yokanavi current /tours result set
273947,はじめての方も楽しめる！本格日本画体験,https://yokanavi.com/tours/273947,予約必要（当日以前に締切）,大濠・六本松（福岡城・鴻臚館）エリア,体験・参加型,false,,,Yokanavi current /tours result set
