都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,対象者別,カテゴリー,,追加URL,公開URLより,開始日,終了日,参加申込終了日
341002,131,広島県,広島市,【サイエンスショー】「びっくり実験大集合！」 （江波山気象館）　　   　　　　   　　　　　　　　　,,,2025/3/29,2025/3/30,"(1)11時00分～11時30分　(2)14時00分～14時30分
※",,,"気象や科学に関する楽しい実験を行います。
対象：どなたでも
定員：各回先着40人",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/418532.html,,どなたでも,イベント、子ども、文化・芸術、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/46/418532.html,2025/3/29,2025/3/30,
341002,132,広島県,広島市,【サイエンスショー】「びっくり実験大集合！」 （江波山気象館）  　　　   　　　　   　　　　　　　　　,,,2025/3/22,2025/3/23,"(1)11時00分～11時30分　(2)14時00分～14時30分
※",,,"気象や科学に関する楽しい実験を行います。
対象：どなたでも
定員：各回先着40人",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/418531.html,,どなたでも,イベント、子ども、文化・芸術、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/46/418531.html,2025/3/22,2025/3/23,
341002,133,広島県,広島市,【サイエンスショー】「びっくり実験大集合！」（江波山気象館）  　　　   　　　　   　　　　　　　　　,,,2025/3/20,2025/3/20,"(1)11時00分～11時30分　(2)14時00分～14時30分
※",,,"気象や科学に関する楽しい実験を行います。
対象：どなたでも
定員：各回先着40人",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/418530.html,,どなたでも,イベント、子ども、文化・芸術、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/46/418530.html,2025/3/20,2025/3/20,
341002,134,広島県,広島市,【サイエンスショー】「びっくり実験大集合！」（江波山気象館） 　　　   　　　　   　　　　　　　　　,,,2025/3/15,2025/3/16,"(1)11時00分～11時30分　(2)14時00分～14時30分
※",,,"気象や科学に関する楽しい実験を行います。
対象：どなたでも
定員：各回先着40人",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/418529.html,,どなたでも,イベント、子ども、文化・芸術、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/46/418529.html,2025/3/15,2025/3/16,
341002,490,広島県,広島市,【サイエンスショー】「びっくり実験大集合！」（江波山気象館）　　　　   　　　　   　　　　　　　　　,,,2025/3/8,2025/3/9,"(1)11時00分～11時30分　(2)14時00分～14時30分
※",,,"気象や科学に関する楽しい実験を行います。
対象：どなたでも
定員：各回先着40人",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/417497.html,,どなたでも,イベント、子ども、文化・芸術、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/46/417497.html,2025/3/8,2025/3/9,
341002,491,広島県,広島市,【サイエンスショー】「びっくり実験大集合！」（江波山気象館）　　　   　　　　   　　　　　　　　　,,,2025/3/1,2025/3/2,"(1)11時00分～11時30分　(2)14時00分～14時30分
※",,,"気象や科学に関する楽しい実験を行います。
対象：どなたでも
定員：各回先着40人",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/417494.html,,どなたでも,イベント、子ども、文化・芸術、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/46/417494.html,2025/3/1,2025/3/2,
341002,574,広島県,広島市,令和6年度第2回広島市医療安全推進協議会の開催について（お知らせ）,,,2025/3/21,2025/3/21,,,,,無料,,健康福祉局 保健部 医療政策課,,,,,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/70/14647.html,,,,,https://www.city.hiroshima.lg.jp,/soshiki/70/14647.html,2025/3/21,2025/3/21,
341002,695,広島県,広島市,体験型のイベント「防災まなんで　あそ防火！」を開催します,,,2025/3/16,2025/3/16,９時から１２時まで,,,"　屋外会場では広島市消防局の消防車５台を展示し、実際の活動資機材に触れることが可能です。また、はしご車搭乗や強風体験、子ども用活動服の試着、水消火器訓練などの体験が可能です。
　屋内会場では煙や地震の体験をすることができます。
　会場でQRコードアンケートに回答いただいた場合、記念品をプレゼントします。",無料,,消防局 安佐北消防署 予防課,,,,広島市総合防災センター,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/294/416964.html,,,,,https://www.city.hiroshima.lg.jp,/soshiki/294/416964.html,2025/3/16,2025/3/16,
341002,922,広島県,広島市,女性のための健康セミナー,,,2025/3/5,2025/3/14,,,,,無料,,佐伯区役所 厚生部 地域支えあい課,,,,,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/site/saekiku/364253.html,,妊娠中・親子,子ども、健康・保健,,https://www.city.hiroshima.lg.jp,/site/saekiku/364253.html,2025/3/5,2025/3/14,
341002,994,広島県,広島市,【オンライン限定】令和６年度広島市発達障害者支援講演会の開催について,,,2025/3/1,2025/4/8,【配信期間】令和7年3月1日（土曜日）から令和7年4月8日（火曜日）まで　,,,"オンラインで知ろう、学ぼう　発達障害のこと【テーマ】発達障害のある人とのコミュニケーションのコツ～障害があると言うけれど～

※【期間限定】広島市公式YouTubeチャンネルで配信します。
　広島市民ならどなたでも御視聴になれます。
　（申込制、無料、定員なし）",無料,,こども未来局 こども青少年支援部,,,,【オンライン限定】広島市公式YouTubeチャンネル,,,,,,,,2025/3/31,,必要（期間あり）,https://www.city.hiroshima.lg.jp/soshiki/84/4664.html,,どなたでも,イベント、子ども、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/84/4664.html,2025/3/1,2025/4/8,2025/3/31
