都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,情報登録日,情報更新日,備考
26000,0000007795,京都府,京都市北区,貴了庵,キリョウアン,,,京都府京都市北区平野鳥居前町5,,35.033360 ,135.733745 ,休日：第2土曜日、日曜日、祝日ただし、不定休有り,,,10時30分～17時（入館16時30分）,,"入庵料　1,000円（抹茶と菓子付）※要予約※月1回、日曜日も受け付けています、お問い合わせください。日本刺繍一日体験受講料・材料費　22,000円～（税込）所要時間／約3時間※要予約（一週間前までに）",平成21年（2009）10月に平野神社近くに移転し『貴了庵』としてオープン。昔ながらの町家をそのままいかし、京都の伝統工芸「京繍」の作品の展示、着物・帯などのおあつらえ、刺繍小物の販売や京刺繍教室・一日体験を行っている。京繍は絹織物などに絹糸・金銀糸を刺繍していく。能衣装や着物・掛軸など季節のしつらえに合わせた作品を観ることができる。,,市バス「わら天神前」下車、徒歩8分,3台、要予約,車椅子不可（町家の日本家屋のため車椅子で入っていただくことができません。）車椅子対応トイレ無し筆談対応可,貴了庵,075-200-4617,,,,http://www.nagakusa.info,2009-07-13,2021-02-05,新型コロナウイルス感染症拡大防止対策として、入店時に検温・消毒・マスクの着用をお願いしています。
26000,0000003242,京都府,京都市北区,泉仙　大慈院店,イヅセン　ダイジインテン,,,京都府京都市北区紫野大徳寺町4,,35.041803 ,135.744823 ,休日：12/28～12/31,,,11時～16時（ラストオーダー）,,"3,500円～（税込）",大徳寺の塔頭・大慈院の境内にある鉄鉢料理の店。禅僧が托鉢の時、持ち歩く鉄の碗・鉄鉢に盛られた料理が名物。,,市バス「大徳寺前」下車、徒歩5分,,車椅子不可,泉仙　大慈院店,075-491-6665,,,,http://www.kyoto-izusen.com/,2009-07-13,2021-02-09,新型コロナウイルス感染症拡大防止対策として下記の取り組みを行っています。・お客様へ入店時の消毒のお願い・店内の消毒・従業員の検温、体調管理、マスク着用・席の間隔をあけ、ついたてを設置など
26000,0000004058,京都府,京都市北区,くるっとパーク紫明通,クルットパークシメイドオリ,,,京都府京都市北区紫野宮東町44197,,35.038461 ,135.753776 ,,,,0時～24時（24時間営業）,,〈普通車〉8時～20時　40分/200円、最大料金900円20時～翌8時　60分/100円、最大料金300円,113台※高さ制限2.30m,,,,,一般財団法人京都市都市整備公社,075-361-7431,,,,http://www.kyotopublic.or.jp,2009-07-13,2021-02-15,無人
26000,0000003468,京都府,京都市北区,鹿苑寺（金閣寺）,ロクオンジ（キンカクジ）,,,京都府京都市北区金閣寺町1,,35.039381 ,135.729244 ,,,,9時～17時,,一般　400円小・中学生　300円,昭和62年（1987）の大修理でいっそう輝きを増し、北山文化の象徴として国内外に知られる名刹。足利義満が応永4年（1397）西園寺家の山荘を譲り受け、義満の死後、鹿苑寺と名付けられた。金閣は舎利殿として立てられた金箔の三層楼閣が鏡湖池に映える。,,市バス（101、204、205系統）「金閣寺道」下車市バス（12、59系統）「金閣寺道」下車,"大型バス50台/1時間1,000円、乗用車/1時間300円、二輪/1時間100円※8時40分～16時50分",車椅子一部可車椅子対応トイレ有り点字案内有り,鹿苑寺（金閣寺）,075-461-0013,,,,http://www.shokoku-ji.jp/,2009-07-13,2021-02-05,
26000,0000009493,京都府,京都市北区,源光庵,ゲンコウアン,,,京都府京都市北区鷹峯北鷹峯町47,,35.054792 ,135.731709 ,休日：無（ただし、土曜日、日曜日、祝日など、法要のある場合は一時拝観停止有り）,,,9時～17時,,大人　400円（中学生以上）※11月は500円子供　200円（小学生）,源光庵は鷹峯にある曹洞宗の寺。もとは貞和2年（1346）、大徳寺の徹翁国師が隠居所として開いたものだが、元禄7年（1694）卍山禅師が開山となり、これより曹洞宗となる。本堂前に広がる庭園は、四角い「迷いの窓」と丸い「悟りの窓」の両方から鑑賞することができる。また本堂の天井には伏見城の遺構と伝えられ、血天井とよばれている。〈坐禅〉個人対象　定例第1日曜日、7時～9時まで参禅会。ミニ法話有り。（1月、8月、11月、12月は休会）団体対象　定例外に希望により設定。ただし、事前に要問い合わせ、要予約。※ご利益：開運、霊芝観世音菩薩,,市バス「鷹峯源光庵前」下車,普通車約20台、バス1台※11月はバスの駐車不可、普通車の駐車不可の場合有り。,車椅子不可,源光庵,075-492-1858,,,,http://genkouan.or.jp/,2011-12-16,2021-03-04,工事のため令和元年6月から令和4年4月頃まで拝観中止です。（定例参禅会も工事の間休止します。）詳細はホームページ（http://genkouan.or.jp）をご確認ください。
26000,0000000084,京都府,京都市北区,建勲神社,ケンクンジンジャ,,,京都府京都市北区紫野北舟岡町49,,35.038697 ,135.743200 ,休日：無休,,,拝観自由授与所　9時～17時,,無料,戦乱の世に終止符を打ち、天下統一の道筋をつけた織田信長の業績をたたえ、明治天皇によって創建された。本殿、拝殿、貴賓館、社務所などの建物が整然と並ぶ境内は、東山を見晴らす絶景の地にある。,,市バス「建勲神社前」下車、徒歩9分,,,建勲神社,075-451-0170,,,,http://kenkun-jinja.org,2009-07-13,2021-01-14,
26000,0000007556,京都府,京都市北区,大谷大学博物館,オオタニダイガクハクブツカン,,,京都府京都市北区小山上総町　大谷大学内 響流館1階,,35.043195 ,135.758911 ,休日：日曜日、月曜日、および本学の定める休日,,,10時～17時（入館は16時30分まで）※事前予約制とする場合があります。開館予定はホームページ（http://www.otani.ac.jp/kyo_kikan/museum/）をご確認ください。,,企画展　無料特別展　有料（一般、大学生のみ）,大谷大学は寛永5年（1665）に東本願寺の学寮として京都の地に創立されたことにはじまる。明治34年（1901）には東京巣鴨に移転開校し、近代的な大学としてスタートした。そののち大正2年（1913）に現在の地に移転して今日に至っている。平成13年（2001）に近代化100年（創立336年）を迎えるにあたり、真宗総合学術センター・響流館を新設し、創立以来収集してきた多くの資料を広く展示、公開する博物館施設が併設され、平成15年（2003）10月に真宗・仏教文化財を中心に展示・公開する大学博物館として開館した。,,地下鉄烏丸線「北大路」駅下車すぐ市バス「北大路バスターミナル」下車すぐ京都バス「烏丸北大路」下車、徒歩3分,,車椅子可（自家用車で来学される場合は事前に連絡をお願いします。要介助）貸出し用車椅子有り（ご希望の方は受付カウンターにお申し出ください。）車椅子対応トイレ有り（博物館前通路にあります。）補助犬の同行につきましては、事前にご相談ください。その他、ベビーチェアを女性用トイレ内に設置しています。AED（自動体外式除細動機）は響流館1階エントランスに設置しています。,大谷大学博物館,075-411-8483,,,,http://www.otani.ac.jp/kyo_kikan/museum/,2009-07-13,2021-02-09,新型コロナウイルス感染症拡大防止対策として下記の取り組みを行っています。・スタッフの検温、マスク着用・入構時の健康チェック、検温・入館時の手指消毒
26000,0000000012,京都府,京都市北区,ガラシャ/グラススタジオ北やま,ガラシャ/グラススタジオキタヤマ,,,京都府京都市北区小山西元町10　北山通新町角,,35.049785 ,135.754437 ,休日：火曜日、水曜日,,,10時30分～18時30分,,"ペンダント体験他　2,500円～（税別）※材料費込み・持ち物不用※要予約",ステンドグラスは注文制作の他、ランプ、パネル、アクセサリー、小物、万華鏡などを展示販売。ショップは吹きガラス作家による日常のガラス中心に。隣接スペースでは、ステンドグラス教室、材料販売、体験教室（2時間～）ができます。,,市バス「上堀川」下車、東へ徒歩3分地下鉄烏丸線「北山」駅下車、西へ徒歩10分,おたずねください。,車椅子可（店内へは段差が有ります。狭い店内ですが対応させて頂いています。お声かけください。）車椅子対応トイレ無し筆談対応可補助犬同行可,ガラシャ/グラススタジオ北やま,075-491-4689,,,,http://www.kyotogracia.jp,2009-07-13,2021-02-15,e-mail：k-054@kvj.biglobe.ne.jp※新型コロナウイルス感染症拡大防止対策として、入店時にはマスク・消毒をお願いします。
26000,0000003749,京都府,京都市北区,島津アリーナ京都（京都府立体育館）,シマヅアリーナキョウト（キョウトフリツタイイクカン）,,,京都府京都市北区大将軍鷹司町,,35.022866 ,135.728562 ,休日：第1・第2・第5水曜日、年末年始,,,9時～21時,,"第1競技場　全面　15,500円～1,058,860円　部分　5,100円～17,950円第2競技場　全面　6,120円～81,290円　部分　2,950円～10,500円会議室　1,020円～14,580円トレーニングルーム　350円※予約は同館へ直接（使用施設、使用区分により受付期間、料金等が大きく異なるので要注意）","〈設置目的〉（1）府民の健康で文化的な生活の向上に寄与するためのスポーツの振興を図る。（2）行事・催物その他の用に提供する。　〈施設の特色〉スポーツ行事のほか催物などの文化的行事にも利用できる多目的施設。〈施設の内容〉第1競技場　バスケット・バレー・テニス（3面）、バドミントン（12面）、卓球台（20台～40台）、観客席／2階固定席5,016席、1階移動観覧席480席、その他仮設席設置可能第2競技場　バスケット（1面）、バレー（2面）、バドミントン（4面）、卓球台（16台）その他会議室（全10室、10人～81人収容、36平方メートル～144平方メートル、貴賓室仕様、審判控室仕様、ドーピング検査室仕様有り、全室冷暖房設備・LAN設備有り）、トレーニングルーム（個人使用）",,JR嵯峨野線「円町」駅下車、徒歩8分市バス「府立体育館前」下車すぐ市バス「大将軍」、またはJRバス「大将軍」下車、徒歩3分市バス「等持院道」下車、徒歩4分,台数が少ないので出来るだけ公共の交通機関をご利用ください。,車椅子可（2階観覧席に車椅子スペースを11台分確保、専用出入り口有り）貸し出し用車椅子有り（3台、無料）車椅子対応トイレ有り（1階と2階にそれぞれ1か所ずつ、計2か所）2階事務室において筆談対応可競技場案内板、階段に点字案内有り点字ブロック有り補助犬同行可屋根付き障がい者用駐車スペース有り（2台）,島津アリーナ京都（京都府立体育館）,075-462-9191,,,,http://www.kyoto-furitutaiikukan.jp/,2009-07-13,2021-06-29,新型コロナウイルス感染症拡大防止対策として下記の取り組みを行っています。・新型コロナウイルス感染拡大予防ガイドライン推進事業所ステッカー掲示・入館時の検温、消毒・職員の検温、体調管理
26000,0000000276,京都府,京都市北区,平野神社,ヒラノジンジャ,,,京都府京都市北区平野宮本町,,35.032626 ,135.731986 ,休日：無休,,,6時～17時（桜期21時頃まで）,,無料,平安遷都にあたり平城宮後宮から遷座。「平野皇大神」を祀る。源氏・平氏の氏神として信仰を集めた。古くより【平野の夜桜】で知られ、4月10日の桜花祭では満開の桜の下をふれ太鼓を先頭に露払の鬼、天平の織姫、流鏑馬列、御鳳輦、元禄の染織娘、王朝公家による東遊・曲水遊など、約200名による華やかな時代列が続く。桜は約60種400本、早咲きは3月初旬から、遅咲きは5月初旬まで楽しめる。平野造りの本殿は重要文化財。※ご利益：開運、厄除,,市バス「衣笠校前」下車、徒歩2分,普通車17台　料金/40分 200円,車椅子可（要介助）車椅子対応トイレ有り補助犬同行可,平野神社,075-461-4450,,,,http://www.hiranojinja.com,2009-07-13,2021-02-05,
