spot_id,name_local,name_ko,translation_status,description,areas,categories,source_url,disposition,classification,reason
26993,ふくや味の明太子工場ハクハク,,official_korean_unavailable,1948年創業。日本で初めて漬け込み式明太子の製造・販売を手掛けた「ふくや」の明太子工場です。 ふくや味の明太子工場では工場見学をはじめ、お子様から大人までお楽しみいただける明太子作り体験を毎日開催。 明太子を堪能できるメニューをご用意したカフェコーナーやお土産を購入できる売店を併設しています。カフェコーナーではお子さまでも食べられる辛くない明太子もご用意しております。 また、博多の伝...,博多駅|博多旧市街|EAST COAST,その他|ファミリー,https://yokanavi.com/spots/26993,excluded,individual_food_business,name matched non-primary rule: レストラン|カフェ|喫茶|食堂|料理店|ラーメン|うどん|そば|寿司|鮨|焼肉|居酒屋|バー$|珈琲|コーヒー|ベーカリー|味のめんたい|明太子
26995,味のめんたい 福太郎,아지노멘타이 '후쿠타로',official_korean,「見て・知って・楽しんで」を合言葉に、無料の工場見学が楽しめるお得な施設。明太子の製造工程や歴史をビデオで見た後、ガラス越しに計量や箱詰作業が見学できる。海の中をイメージした館内で、明太子が製造される過程を学ぼう。試食やプレゼントなどのお楽しみも。,南,その他|ファミリー,https://yokanavi.com/spots/26995,excluded,individual_food_business,name matched non-primary rule: レストラン|カフェ|喫茶|食堂|料理店|ラーメン|うどん|そば|寿司|鮨|焼肉|居酒屋|バー$|珈琲|コーヒー|ベーカリー|味のめんたい|明太子
27079,ホテル イル・パラッツォ,호텔 일 파랏조,official_korean,日本に8施設だけの “スモール・ラグジュアリー・オブ・ザ・ワールド”に加盟できたホテル。 コンセプトは“プライベート空間”。 一本の小径が配されたエントランスや個室感覚のダイニングなど、 他の宿泊客が気にならない“プライバシー”に配慮した造りとなっている。 黒を基調としたホテルの随所には、シャンデリアやライトアップが施され、ラグジュアリー感を演出。 通常のホテルとは異をなる特別な...,天神・薬院,建築物,https://yokanavi.com/spots/27079,excluded,lodging,name matched non-primary rule: ホテル|旅館|民宿|ゲストハウス|宿泊|キャンプ場
235805,王貞治ベースボールミュージアム Supported by 博多グリーンホテル,,official_korean_unavailable,野球人・王貞治の魅力を核としたスポーツミュージアム。 王貞治氏の軌跡を最新の展示手法で表現する「ヒストリーゾーン」と、王貞治氏の野球への想いを体験型アトラクションに凝縮し、打つ、投げる、捕るなど様々なチャレンジが楽しめる「89（やきゅう）パーク」などのエリアを楽しめます。 料金 大人（16歳以上）: 1800円 小人（7歳～15歳）: 900円 ※ハイシーズンは料金が異なる場合が...,シーサイドももち・早良,その他|レジャー・アウトドア|スポーツ|ファミリー,https://yokanavi.com/spots/235805,excluded,lodging,name matched non-primary rule: ホテル|旅館|民宿|ゲストハウス|宿泊|キャンプ場
27129,ボートレース福岡,후쿠오카 경정,official_korean,福岡市と福岡都市圏広域行政事業組合が運営する公営競走場。 昭和28年以来，福岡市の中心街“天神”から徒歩約15分と利便性にも優れ，安心して遊べる身近なレジャースポットとして親しまれています。 スタンドからは福岡ポートタワー，福岡都市高速道路，博多湾に発着する船も眺められ，日常の生活を忘れ，のどかな別世界の時間を過ごせます。 さらに，週末には場内でさまざまなイベントが開催しており，芝生広...,天神・薬院,その他,https://yokanavi.com/spots/27129,excluded,non_primary_category,no primary sightseeing category: その他
27119,博多温泉 富士の苑,하카타온천 후지노엔,official_korean,博多駅の南５キロ、清流那珂川の中流河畔に位置。昭和46年、101メートルを掘削し、47度の高温と１日200トンの豊富な湯量で賑わう都市型温泉旅館。泉質はカルシウムナトリウム塩化物泉でラドン、ホウ酸等を多量に含み、体がとても温まり色白になる性質があります。神経痛や皮膚病に効能があり、飲むと消化器系にも良いとされています。日帰り入浴、御宴会、御宿泊に是非一度お立寄り下さい。 客室数：10室／レス...,南,その他,https://yokanavi.com/spots/27119,excluded,non_primary_category,no primary sightseeing category: その他
27148,川端通商店街,카와바타 상점가에 대하여,official_korean,博多でもっとも歴史がある商店街。およそ400ｍのアーケードには約130店舗が軒を連ねます。博多人形をはじめとしたおみやげ店、山笠グッズを集めた店、玄界灘の幸や人気ラーメン店もあり、博多散策の定番スポット。金・土・日曜やイベント時には、商店街の中にあるイベント広場で名物の川端ぜんざいも味わえます。夕方5時には完売するため、早めに行くのがオススメ！,博多旧市街,その他,https://yokanavi.com/spots/27148,excluded,non_primary_category,no primary sightseeing category: その他
85804,福岡市中央卸売市場青果市場(ベジフルスタジアム),베지후루스타디엄 (후쿠오카시 중앙도매시장 청과시장),official_korean,市内3か所にあった青果市場・西部市場・東部市場の3市場を移転統合し、2016年2月に開場しました。 高度な品質管理と物流の効率化で、新鮮かつ安全・安心な青果物を福岡市民に供給しています。 青果物の常設販売はありませんが、特別にそれらを販売するイベント「ベジフル感謝祭」を毎月第3土曜日に開催しています。 ベジフル感謝祭では、野菜や果物だけでなく、干物やお花、鮮魚など豊富な商品も購入できます。,EAST COAST,その他,https://yokanavi.com/spots/85804,excluded,non_primary_category,no primary sightseeing category: その他
26973,福岡市中央卸売市場鮮魚市場（長浜鮮魚市場）,후쿠오카시 수산시장 시장회관,official_korean,新鮮な海の幸で知られる博多の台所。ビルの中には、魚っちんぐプラザなど楽しく学べる施設があり、こちらでは福岡市鮮魚市場の1日や、日本で獲れる魚の漁法などを教えてくれる。また、新鮮な魚介類がいただける食事処も充実。,天神・薬院,その他,https://yokanavi.com/spots/26973,excluded,non_primary_category,no primary sightseeing category: その他
80784,福岡市科学館,후쿠오카시 과학관,official_korean,2017年10月に開館し、名誉館長を務めるのは九州大学・大学院出身の宇宙飛行士・若田 光一氏。 220席のシートがゆったりと配置された6階のドームシアター(プラネタリウム)のドームの直径は25メートルの大きさを誇り、3Dデジタルサラウントシステムにより、驚異の立体感と臨場感を体感できます。 5階の基本展示室では、無限の宇宙、わたしたちをとりまく環境、身近な生活を支える科学技術、生命のふし...,大濠・六本松,その他,https://yokanavi.com/spots/80784,excluded,non_primary_category,no primary sightseeing category: その他
26955,西新リヤカー部隊（西新中央商店街）,니시진 리어카부대,official_korean,福岡市早良区の西新中央商店街、道の中央ににズラリとならぶリヤカーの行列。通称「リヤカー部隊」。 西新行商組合が、産地直送の野菜や、近海で獲れる魚介類、花などをリヤカーに積んで売っている。どのリヤカーの商品も安くて新鮮。通りには連日、地域の人々はもちろん、遠方からも馴染み客がやってきて買い求めている。販売しているのは高齢の方々がほとんどだが威勢のいいかけ声とともにいつも活気に満ち溢れている。,シーサイドももち・早良,その他,https://yokanavi.com/spots/26955,excluded,non_primary_category,no primary sightseeing category: その他
27017,'【パブリックアート】着衣の横たわる母と子,,official_korean_unavailable,作者は20世紀を代表するイギリスの現代彫刻家、ヘンリー・ムーア。福岡市政100周年を記念し、市民からの基金によって設置された。子供を包み込むようにして博多駅前に横たわるその姿は、博多を訪れる人までも優しく包み込んでくれるようだ。,博多駅,アートスポット|文化・芸術|建築物,https://yokanavi.com/spots/27017,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
27018,'【パブリックアート】風のプリズム,,official_korean_unavailable,中洲の水上公園に建つ。1983年から始まった、「彫刻のあるまちづくり」プロジェクトの第1号作品で、作者は新宮晋。「大陸からの風を受けて回転し、光を拡散する」というテーマのもとに制作された。,天神・薬院,アートスポット|文化・芸術|建築物,https://yokanavi.com/spots/27018,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
236855,010 BUILDING,,official_korean_unavailable,天神・博多周辺の水辺空間を活用した、福岡市の新しいプロジェクト「リバーフロントNEXT」の一環として、キャナルシティ博多に隣接する那珂川周辺に複合施設「010 BUILDING」が1オープンしました！ 食とエンターテインメントを融合したカルチャー発信地で体験できる、今までになかった新しいナイトコンテンツです。 〇観客も一緒に物語をつくる イマーシブシアター「THEATER 010...,,その他,https://yokanavi.com/spots/236855,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
238517,Artist Cafe Fukuoka,,official_korean_unavailable,「Artist Cafe Fukuoka」では、アーティストのスタートアップ支援（相談やマッチング、イベント開催等）を行うとともに、アーティスト・イン・レジデンスの拠点、ギャラリー機能を持っています。アーティストが活動を広げられること、アーティストとして活動をはじめやすい土壌をつくること、市民にとってアートが日常になる空間や体験の提供を行うことを目的としています。 コミュニティスペース内の...,大濠・六本松,アートスポット|文化・芸術,https://yokanavi.com/spots/238517,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
194696,BOSS E・ZO FUKUOKA（ボス イーゾ フクオカ）,,official_korean_unavailable,絶景アトラクションや体験型の最新ミュージアムなど、世界に誇れる革新的コンテンツが満載の地上7階建てのエンターテインメントビル！1年365日楽しめます！ 3階 フードホールフロア 3階には様々な革新的な「食」のエンタメを演出する、テラス席を備えた複数テナントによるフードホールフロアがあり、「日本初上陸」「九州初上陸」「有名店による新ブランド」など“新しい＆美味しい”が詰まってい...,シーサイドももち・早良,その他|文化・芸術|レジャー・アウトドア|スポーツ|ファミリー,https://yokanavi.com/spots/194696,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
213532,KARADOMARI VILLAGE（唐泊ヴィレッジ）,,official_korean_unavailable,博多から1時間以内、福岡県福岡市に位置する【唐泊ヴィレッジ】。 「自然の中で人と人との繋がり深める」をコンセプトにほっとできる場所を提供してくれます。キャンプ場でありながら、サウナ、焚き火バー（宿泊者無料）、徒歩1分圏内にプライベートビーチがあり、様々な体験ができます。夜には、満天の星をビーチや草原など自分の好きな場所でご覧いただけます。山と海どちらも満喫したい方におすすめです。 人と人...,WEST COAST,レジャー・アウトドア|ファミリー,https://yokanavi.com/spots/213532,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
213684,LADY WIND & SUP,,official_korean_unavailable,ビギナーでも大丈夫! 話題のSUPに挑戦しよう! 新しいマリンスポーツ「SUP」。パドルを漕ぎながら、海からの景色を楽しんでみよう。ウエットスーツレンタルやビギナーレッスンもあるので、初めての方でも安心ですよ♪（要予約）,WEST COAST,その他|レジャー・アウトドア|スポーツ,https://yokanavi.com/spots/213684,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
236783,MARK IS 福岡ももち,,official_korean_unavailable,MARK IS 福岡ももちは、シーサイドももちにある、paypayドームに隣接する大型の商業施設です。 １階から４階のフロアには、専門店やレストラン、アミューズメントなど、さまざまなお店が並んでいます。,,ファミリー|デパート・複合施設|おみやげ（食品・酒）|ファッション,https://yokanavi.com/spots/236783,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
257391,Sanrio characters Dream!ng Park,,official_korean_unavailable,「Dream!ng Park」は、サンリオのキャラクターの世界に触れることができるだけでなく、キャラクターたちと友だちになり、一緒にゲームを遊び、思い出を写真やグッズにして持って帰ることができる、福岡初の新しいサンリオのキャラクター施設です。 入場料は無料で、お土産にもピッタリな福岡限定のグッズなどを販売するほか、「デジタル」と「遊び」を融合したゲームをはじめここでしか体験できない新し...,シーサイドももち・早良,その他|ファミリー|デパート・複合施設|おみやげ（食品・酒）|ファッション,https://yokanavi.com/spots/257391,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
27019,「無題」,,official_korean_unavailable,若くしてAIDSで亡くなったニューヨークのストリートイベンター、キース・へリングが制作。平面作品を垂直に立てただけのような、シンプルな形状が特徴的だ。,天神・薬院,建築物,https://yokanavi.com/spots/27019,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
27022,【パブリックアート】かぼちゃ（屋外彫刻）,,official_korean_unavailable,「前衛の女王」の異名をとったアーティスト・草間彌生の作品で、福岡市美術館の敷地内にある野外アートのひとつと。表面の黒いドットと特徴的な色彩が、訪れる人々の視線をとらえて離さない。,大濠・六本松,アートスポット|文化・芸術|建築物,https://yokanavi.com/spots/27022,excluded,not_published_in_official_korean_guide,"preserved in the complete Japanese official catalog, but excluded from the Korean-traveler denominator because the official Korean guide does not publish this spot"
