都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,文化財分類,所在地,電話番号,所有者等,文化財指定日,備考
202142,400080001,長野県,茅野市,尖石石器時代遺跡,トガリイシセッキジダイイセキ,国特別史跡,長野県茅野市豊平南大塩,0266-76-2386,茅野市ほか,1952/3/29,1993/4/6追加指定
202142,400080002,長野県,茅野市,上之段石器時代遺跡,ウエノダンセッキジダイイセキ,国史跡,長野県茅野市北山湯川,0266-76-2386,茅野市,1942/10/14,
202142,400080003,長野県,茅野市,駒形遺跡,コマガタイセキ,国史跡,長野県茅野市米沢北大塩,0266-76-2386,茅野市ほか,1998/1/16,2014/10/6、2015/10/7追加指定
202142,400080004,長野県,茅野市,高島藩主諏訪家墓所,タカシマハンシュスワケボショ,国史跡,長野県茅野市ちの上原,0266-76-2386,賴岳寺,2017/2/9,
202142,400080005,長野県,茅野市,土偶　１箇,ドグウ　1コ,国宝（考古資料）,長野県茅野市豊平東嶽（尖石縄文考古館）,0266-76-2386,茅野市,1995/6/15,
202142,400080006,長野県,茅野市,土偶　１箇　附 土器　８点,ドグウ　1コ　ツケタリ　ドキ　8テン,国宝（考古資料）,長野県茅野市豊平東嶽（尖石縄文考古館）,0266-76-2386,茅野市,2014/8/21,
202142,400080007,長野県,茅野市,カモシカ,カモシカ,国特別天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1955/2/15,
202142,400080008,長野県,茅野市,イヌワシ,イヌワシ,国天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1965/5/12,
202142,400080009,長野県,茅野市,ヤマネ,ヤマネ,国天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1975/6/26,
202142,400080010,長野県,茅野市,紙本墨書守矢家文書　155点,シホンボクショモリヤケモンジョ　155テン,長野県宝（古文書）,神長官守矢史料館,0266-76-2386,個人,1966/8/11,
202142,400080011,長野県,茅野市,白岩観音堂　１棟,シライワカンノンドウ　1トウ,長野県宝（建造物）,長野県茅野市ちの塚原,0266-76-2386,塚原林野利用農業協同組合,1989/2/23,
202142,400080012,長野県,茅野市,信州の特色ある縄文土器（158点のうち47点）,シンシュウノトクショクアルジョウモンドキ　158テンノウチ47テン,長野県宝（考古資料）,長野県茅野市豊平東嶽ほか,0266-76-2386,茅野市（尖石縄文考古館保管）ほか,2018/9/27,
202142,400080013,長野県,茅野市,池ノ平御坐岩遺跡,イケノダイラゴザイワイセキ,長野県史跡,長野県茅野市北山柏原,0266-76-2386,柏原財産区,1962/9/27,
202142,400080014,長野県,茅野市,諏訪大社上社前宮神殿跡,スワタイシャカミシャマエミヤゴウドノアト,長野県史跡,長野県茅野市宮川安国寺,0266-76-2386,諏訪大社,1964/8/20,
202142,400080015,長野県,茅野市,諏訪氏城跡　上原城,スワシジョウセキ　ウエハラジョウ,長野県史跡,長野県茅野市ちの上原,0266-76-2386,上原区,1971/5/27,
202142,400080016,長野県,茅野市,諏訪大社の御柱祭り,スワタイシャノオンバシラマツリ,長野県無形民俗文化財,長野県茅野市茅野市　他,0266-76-2386,諏訪大社式年造営御柱大祭保存会,1994/8/16,
202142,400080017,長野県,茅野市,ミヤマシロチョウ等１０種,ミヤマシロチョウトウ１０シュ,長野県天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1975/2/24,
202142,400080018,長野県,茅野市,ホンシュウモモンガ,ホンシュウモモンガ,長野県天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1975/11/4,
202142,400080019,長野県,茅野市,ホンドオコジョ,ホンドオコジョ,長野県天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1975/11/4,
202142,400080020,長野県,茅野市,阿弥陀如来,アミダニョライ,茅野市有形文化財（彫刻）,長野県茅野市豊平南大塩,0266-76-2386,心光寺,1967/2/1,
202142,400080021,長野県,茅野市,阿弥陀如来,アミダニョライ,茅野市有形文化財（彫刻）,長野県茅野市豊平下古田,0266-76-2386,真徳寺,1967/2/1,
202142,400080022,長野県,茅野市,薬師如来,ヤクシニョライ,茅野市有形文化財（彫刻）,長野県茅野市玉川穴山,0266-76-2386,長円寺,1967/2/1,
202142,400080023,長野県,茅野市,古御堂の須弥壇と欄間,フルミドウノシュミダントランマ,茅野市有形文化財（彫刻）,長野県茅野市玉川北久保,0266-76-2386,北久保区,1967/2/1,
202142,400080024,長野県,茅野市,三輪神社,ミワジンジャ,茅野市有形文化財（彫刻）,長野県茅野市宮川茅野,0266-76-2386,東西三輪社総代代表,1967/2/1,
