市町村コード,都道府県名,市区町村名,ID,名称,名称カナ,名称通称,名称英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記,画像,画像ライセンス,概要,概要英語,説明,説明英語,備考
272078,大阪府,高槻市,1,金銅石川年足墓誌 附木櫃残闕銅釘付一括,コンドウイシカワトシタリボシ,,,国宝,美術工芸品,大阪歴史博物館(寄託）,大阪市,,,,,,1,面,,個人,1952-03-29,,,,,,,,,,,
272078,大阪府,高槻市,2,普門寺方丈 附棟札,フモンジホウジョウ,,,重要文化財,建造物,,富田町,,,,,,1,棟,5120905002198,普門寺,1977-01-28,,,,,,,,,,,
272078,大阪府,高槻市,3,木造  聖観音立像　2躯,モクゾウショウカンノンリュウゾウ,,,重要文化財,美術工芸品,神峯山寺,原,,,,,,2,躯,7120905002064,神峯山寺,1950-08-29,,,,,,,,,,,
272078,大阪府,高槻市,4,木造　阿弥陀如来坐像,モクゾウショウアミダニョライザゾウ,,,重要文化財,美術工芸品,神峯山寺,原,,,,,,1,躯,7120905002064,神峯山寺,1950-08-29,,,,,,,,,,,
272078,大阪府,高槻市,5,木造　聖観音立像,モクゾウショウカンノンリュウゾウ,,,重要文化財,美術工芸品,奈良国立博物館(寄託）,奈良市,,,,,,1,躯,2120905002201,本山寺,1950-08-29,,,,,,,,,,,
272078,大阪府,高槻市,6,木造　毘沙門天立像,モクゾウビシャモンテンリュウゾウ,,,重要文化財,美術工芸品,本山寺,原,,,,,,1,躯,2120905002201,本山寺,1950-08-29,,,,,,,,,,,
272078,大阪府,高槻市,7,木造　千手観音坐像,モクゾウセンジュカンノンザゾウ,,,重要文化財,美術工芸品,安岡寺,浦堂本町,,,,,,1,躯,1120905002029,安岡寺,1974-06-08,,,,,,,,,,,
272078,大阪府,高槻市,8,木造　菩薩坐像,モクゾウボサツザゾウ,,,重要文化財,美術工芸品,慶瑞寺,昭和台町,,,,,,1,躯,5120905002074,慶瑞寺,1989-06-12,,,,,,,,,,,
272078,大阪府,高槻市,9,大阪府安満宮山古墳出土品一括　銅鏡5面、鉄製品9点、ガラス小玉一括附苧麻布片2点,オオサカフアマミヤヤマコフンシュツドヒン,,,重要文化財,美術工芸品,今城塚古代歴史館(寄託）,郡家新町,,,,,,1,括,6000012060002,文化庁,2000-06-27,,,,,,,,,,,
272078,大阪府,高槻市,10,和田家文書,ミキタケモンジョ,,,重要文化財,美術工芸品,堺市博物館(寄託）,堺市,,,,,,,,,個人,2019-07-23,,,,,,,,,,,
272078,大阪府,高槻市,11,石造　灯籠,セキゾウトウロウ,,,国認定,美術工芸品,上宮天満宮,天神町,,,,,,1,基,5120905002041,上宮天満宮,1942-05-30,,,,,,,,,,,
272078,大阪府,高槻市,12,大阪医科大学看護専門学校校舎（旧大阪高等医学専門学校別館）　,オオサカイカダイガクカンゴセンモンガッコウコウシャ,,,登録有形文化財,建造物,,大学町,,,,,,1,棟,5120905001893,大阪医科薬科大学,2003-07-17,,,,,,,,,,,
272078,大阪府,高槻市,13,長谷川家住宅主屋,ハセガワケジュウタクシュオク,,,登録有形文化財,建造物,,,,,,,,1,棟,,個人,2004-08-17,,,,,,,,,,,
272078,大阪府,高槻市,14,古畑家住宅 主屋　他7棟,コバタケジュウタク,,,登録有形文化財,建造物,,,,,,,,8,棟,,個人,2008-07-23,,,,,,,,,,,
272078,大阪府,高槻市,15,行信教校 講堂棟　他1棟,ギョウシンキョウコウ,,,登録有形文化財,建造物,,東五百住町,,,,,,2,棟,6120905003039,行信教校,2013-06-21,,,,,,,,,,,
272078,大阪府,高槻市,16,横山家住宅 主屋　他4棟,ヨコヤマケジュウタク,,,登録有形文化財,建造物,,,,,,,,5,棟,,個人,2013-12-24,,,,,,,,,,,
272078,大阪府,高槻市,17,旧京都大学高槻農場 本館及び付属屋　他3棟,キョウトダガクタカツキノウジョウ,,,登録有形文化財,建造物,,八丁畷町,,,,,,4,棟,4000020272078,高槻市,2022-02-17,,,,,,,,,,,
272078,大阪府,高槻市,18,今城塚古墳 附新池埴輪製作遺跡,イマシロヅカコフン,,,史跡,,,郡家新町、上土室,,,,,,,,,高槻市他,1958-02-18,,,,,,,,,,,
272078,大阪府,高槻市,19,嶋上郡衙跡 附寺跡,シマガミグンガアト,,,史跡,,,清福寺町、川西町、郡家新町,,,,,,,,,高槻市他,1971-05-27,,,,,,,,,,,
272078,大阪府,高槻市,20,阿武山古墳,アブヤマコフン,,,史跡,,,奈佐原他,,,,,,,,8000030270209,奈佐原財産区,1983-08-30,,,,,,,,,,,
272078,大阪府,高槻市,21,安満遺跡,アマイセキ,,,史跡,,,八丁畷町,,,,,,,,,高槻市他,1993-11-19,,,,,,,,,,,
272078,大阪府,高槻市,22,闘鶏山古墳,ツゲヤマコフン,,,史跡,,,氷室町、上土室,,,,,,,,,高槻市他,2002-12-19,,,,,,,,,,,
272078,大阪府,高槻市,23,普門寺庭園,フモンジテイエン,,,名勝,,,富田町,,,,,,,,5120905002198,普門寺,1981-08-28,,,,,,,,,,,
272078,大阪府,高槻市,24,本山寺　石造　宝篋印塔,ホンザンジ セキゾウ ホウキョウイントウ,,,府指定有形文化財,建造物,本山寺,原,,,,,,1,基,2120905002201,本山寺,1978-08-04,,,,,,,,,,,
