行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
リサイクルブックフェア(出石),2024/10/5,10:00,2024/10/5,15:00,保存期限を経過した雑誌・不要となった本を無料で提供。,出石振興局1階 出石市民ホール,図書館出石分館,0796-21-9010,,,出石,35.058,135.6029
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/10/5,13:00,2024/10/5,14:00,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,35.7316,136.7166
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/10/6,10:30,2024/10/6,11:30,図書館による託児サービス,図書館竹野分館,図書館本館,0796-23-6151,,,竹野,35.6499,134.7578
キノコ・粘菌観察会,2024/10/6,13:00,2024/10/6,15:00,キノコの森を訪ねる,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
そよかぜ朗読会,2024/10/6,10:30,2024/10/6,,朗読ボランティア「そよかぜ」による朗読会,図書館本館　いこいの間,図書館本館,0796-23-6151,,,豊岡,34.6929,135.1424
第28回伊藤清永賞子ども絵画展,2024/10/6,9:30,2024/10/20,16:30,子どもの時から文化芸術に触れ、感動する感性を育て、伊藤清永氏の心と共に歩む絵画展。伊藤清永賞をはじめ入賞･入選作品100点を展示。,美術館「伊藤清永記念館」,美術館「伊藤清永記念館」,0796-52-5456,,https://www.city.toyooka.lg.jp/1019810/1019847/itoh-museum/,出石,35.4618,134.8729
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/10/7,14:00,2024/10/7,15:00,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,,城崎,35.6284,134.8133
豊岡ノーマイカーデー,2024/10/9,0:00,2024/10/9,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
豊岡市戦没者追悼式、豊岡市戦没者慰霊法要,2024/10/10,10:00,2024/10/10,12:00,先の大戦で亡くなられた方々に対し心からの哀悼の誠を捧げるとともに、市民の平和への強い決意を表すため、追悼式及び慰霊法要を開催する。,豊岡市民会館,豊岡市民会館,0796-24-5504,,,豊岡,35.5407,134.8249
第60回企画展　但馬山名氏と山名四天王　展示解説,2024/10/12,,2024/10/12,,担当学芸員が、展示資料を中心に但馬山名氏と山名四天王について解説する。,歴史博物館「但馬国府・国分寺館」,歴史博物館「但馬国府・国分寺館」,0796-42-6111,,https://www3.city.toyooka.lg.jp/kokubunjikan/,日高,35.4697,134.7676
“第4回Night フォトコンテスト in 但馬?作品展示会,2024/10/12,,2024/11/12,,内容：夜を感じさせる但馬の景色・行事をテーマとした写真コンテストの応募作品展　　　　　　　　　　　　　　　出展団体：ごろっと但馬,但馬ドーム　センター棟ギャラリー,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
多文化交流サロン,2024/10/12,13:30,2024/10/12,,外国人市民が日本で生活していくために大切なことを学びます。防災のことや生活オリエンテーションを実施します。日本や外国の文化、行事等を通じた交流事業も行います。,WACCU TOYOOKA(Aity４階) 学習室,（一社）豊岡市国際交流協会,0796-24-5931,,,豊岡,35.5559,134.8004
豊岡市身体障害者スポーツ大会,2024/10/12,10:30,2024/10/12,15:00,身体障害者相互の親睦を目的としたスポーツ大会を開催します。,総合体育館,豊岡市身体障害者福祉協会,0796-24-3019,,,豊岡,35.5392,134.827
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/10/13,14:00,2024/10/13,15:00,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
アートスクール～劇場を創る舞台技術～PART3 「演劇照明入門講座」,2024/10/13,10:00,2024/10/13,17:00,舞台照明デザイナー・吉本有輝子氏による演劇照明入門講座。機材の扱い方、デザイン、オペレーションなどをわかりやすく学べます。,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,,,豊岡,35.5445,134.8149
コウノトリ野鳥観察会,2024/10/13,13:00,2024/10/13,15:00,園内でコウノトリと野鳥を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
出石だんじり祭り,2024/10/13,9:00,2024/10/13,,町内を巡行しただんじりが集まり、激しくぶつかり合う勇壮な喧嘩だんじり。,出石町内,弘道地区コミュニティ協議会,0796-52-5810,,,出石,35.4616,134.8747
第224回サロンコンサート,2024/10/14,12:30,2024/10/14,,「豊岡の観世九皐会」による謡いを発表,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,"場所：豊岡市民プラザ/交流サロン
参加料無料",,豊岡,35.5445,134.8149
2024年度公開講座 第４回出石の歴史を楽しむ,2024/10/14,19:30,2024/10/14,21:00,今年の第14回永楽館歌舞伎の見どころについて、松竹株式会社関西演劇部演出家の水口一夫さんから対談形式でお話を伺います。,出石庁舎２階　大会議室,出石振興局地域振興課,0796-21-9025,,,出石,35.4614,134.8751
とよおかスポーツフェスティバル2024,2024/10/14,9:00,2024/10/14,15:00,スポーツの日にちなみ、市民のみなさんに気軽にスポーツに親しんでいただくため、ジョギング、ニュースポーツ体験等、年齢を問わず楽しめるスポーツを紹介する。,ウェルストーク豊岡,文化・スポーツ振興課,0796-21-9023,,,豊岡,35.5427,134.8277
城崎温泉だんじり祭り,2024/10/14,8:00,2024/10/15,,200年以上も前から続く、伝統と格式のある、四所神社（ししょじんじゃ）の祭り。毎年、10月14日（宵宮）と15日（本宮）に行われます。,城崎温泉街,（一社）城崎温泉観光協会,0796-32-3663,,,城崎,35.626,134.8096
松本夕椰絵画展,2024/10/16,10:00,2024/10/21,0:00,絵画展,図書館本館　いこいの間,図書館本館,0796-23-6151,終了時刻は閉館時間に準ずる。,,豊岡,35.541,134.8219
