行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問合せ先電話番号,URL,エリア,緯度,経度,担当部署,担当部署電話番号,
ニトリJD.LEAGUE 2025 第９節豊岡ラウンド,2025/6/14,10:30,2025/6/15,,"女子ソフトボールにおける国内最上位リーグに所属する、地元兵庫のシオノギ、デンソー（愛知県）、大垣ミナモ（岐阜県）、タカギ北九州（福岡県）の４チームが但馬ドームで熱戦を繰り広げる。
",全但バス但馬ドーム,ニトリJD.LEAGUE豊岡ラウンド実行委員会事務局,0796-42-2505,https://jdleague.jp/,日高,35.4937,134.6868,文化・スポーツ振興課,0796-21-9023,
としょかんのじかん,2025/6/14,10:30,2025/6/14,12:00,おはなし会、おはなしのくにさんとあそぼう,図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,豊岡,35.541,134.8219,教育総務課図書館,0796-23-6151,
杞柳細工後継者育成教室,2025/6/14,13:30,2026/3/28,16:30,"・日時　６月１４日～２０２６年３月の土曜日（全２０回）　午後１時３０分～４時３０分
・内容　伝統工芸士による未来の工芸士を目指すための指導
・対象　概ね５０歳以下の方　若干名
・費用　年額３万円（材料費別）
・申込み　６月１０日（火）までに問い合わせ先に電話",玄武洞ミュージアム,兵庫県杞柳製品協同組合,0796-23-3821,,豊岡,35.5894,134.8033,環境経済課,0796-23-4480,
但馬ドームセンター棟ギャラリー,2025/6/15,,2025/7/4,,「写真の世界へようこそ」　出展団体：学校厚生会写真サークル,但馬ドームセンター棟ギャラリー,全但バス但馬ドーム,0796-45-1901,,日高,35.4937,134.6869,日高：地域振興課,0796-21-9056,
第17回神鍋高原キャベツまつり,2025/6/15,10:00,2025/6/15,,"神鍋高原特産のキャベツ販売
キャベツ焼振る舞い、キャベツ運び(小学生まで)、キャベツ大食い大会(大人の部)
※内容が変更になる場合あり",道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,日高,35.4992,134.675,日高：地域振興課,0796-21-9056,
田んぼの学校,2025/6/15,9:30,2025/6/15,12:00,初夏のビオトープ,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552,コウノトリ共生課,0796-21-9017,
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/6/15,10:30,2025/6/15,11:30,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,豊岡,35.541,134.8219,教育総務課図書館,0796-23-6151,
としょかん映画会,2025/6/20,10:30,2025/6/20,12:10,コーヒーはホワイトで(2024年/100分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,豊岡,35.541,134.8219,教育総務課図書館,0796-23-6151,
としょかん映画会,2025/6/21,13:30,2025/6/21,15:10,コーヒーはホワイトで(2024年/100分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,豊岡,35.541,134.8219,教育総務課図書館,0796-23-6151,
植物観察会,2025/6/22,13:00,2025/6/22,15:00,植物の観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552,コウノトリ共生課,0796-21-9017,
