行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
ふれあいコンサートin城崎,2024/11/1,13:25,2024/11/1,14:40,"講師　清水紘子さん（ピアニスト）
内容　トーク＆ピアノのコンサート
参加　無料（申込不要）
主催　豊岡市人権教育推進協議会城崎支部/豊岡市立城崎中学校
共催　青少年育成城崎町民会議

城崎中学校の文化祭プログラムとしてお話とピアノ演奏のコンサートを開催します。
どなたでもご参加いただけます。ぜひお越しください。",城崎中学校　体育館,城崎振興局　地域振興課,0796-21-9065,,,城崎,35.6274,134.8033
第26回全日本身体障害者野球選手権大会,2024/11/2,,2024/11/3,,"全国7ブロックから勝ち抜いてきたチームが日本一を目指して熱戦を繰り広げる
","但馬ドームドーム棟
グラウンド",全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
リサイクルブックフェア(城崎),2024/11/2,10:00,2024/11/2,15:00,"保存期限を経過した雑誌・不要となった
本を無料で提供。","城崎庁舎3階 城崎
コミュニティセンター
会議室",図書館城崎分館,0796-21-9072,,,城崎,35.5401,134.8216
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/11/2,14:00,2024/11/2,15:00,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,,城崎,35.6284,134.8133
Tajima アートフェスティバル,2024/11/2,13:00,2024/11/2,,但馬地域で活動する10代の若者たちによるステージ発表と展示。,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,,,豊岡,35.5445,134.8149
加陽湿地まつり,2024/11/3,10:00,2024/11/3,14:00,ラムサール条約登録の加陽湿地で、地元産の野菜販売や各種お楽しみ企画が行われる。,加陽水辺公園,コウノトリ共生課,0796-21-9017,,,豊岡,35.5054,134.8308
キノコ・粘菌観察会,2024/11/3,13:00,2024/11/3,15:00,良菌を探そう,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
鶴見茶屋,2024/11/3,10:00,2024/11/3,,豊岡総合高校の茶道部によるお茶会,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
第52回出石お城まつり,2024/11/3,9:00,2024/11/3,16:00,参勤交代の様子を伝える、大人大名行列槍振りが町内を練り歩く。華やかな衣装を身に着けた殿様、奴、小姓などからなる子ども大名行列も。,出石城跡周辺,"出石お城まつり実行委員会
 (但馬國出石観光協会)",0796-52-4806,,,出石,35.4606,134.8746
"ママパパへの読書タイムプレゼント
～図書館 託児サービス～",2024/11/4,14:00,2024/11/4,15:00,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,,但東,35.4702,134.9499
