行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
【小中高生舞台芸術体験講座】 北村成美こどもダンスワークショップ,2024/5/3,10:00,2024/5/3,16:00,北村成美氏による小学生対象のコンテンポラリーダンスワークショップ,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,"日時：2024年5月3日（金・祝）①午前の部10：00～12：00　②午後14：00～16：00
場所：豊岡市民プラザ/ほっとステージ
対象：小学生の方（保護者の同意が必要です）
料金：無料",http://platz-npo.com/wp/event/%E3%81%93%E3%81%A9%E3%82%82%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%9D%E3%83%A9%E3%83%AA%E3%83%BC%E3%83%80%E3%83%B3%E3%82%B9%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97,豊岡,35.5445,134.8149
城崎温泉　しょうぶ湯まつり,2024/5/3,7:00,2024/5/5,,"無病息災を願って、期間限定で各外湯で「しょうぶ湯」が行われます。
※15時開湯の外湯もあります。",城崎温泉街各外湯,（一社）城崎温泉観光協会,0796-32-3663,,,城崎,35.6266,134.8126
神鍋ジュニアサッカースプリングカーニバル,2024/5/3,9:00,2024/5/5,17:00,近畿一円のサッカーチームが集い、交流を深める大会。,全但バス但馬ドーム・神鍋高原内グラウンド,日高神鍋観光協会,0796-45-0800,㈱ニチレク　072-748-3356,https://www.nichireku.com/se/240505kannabe_sp/240505bosyu.html,日高,35.4934,134.6869
第38回　北前まつり,2024/5/3,9:30,2024/5/3,14:00,北前太鼓、竹野中学校ブラスバンドの演奏等のステージイベント、町民参加の踊りやパレードなどが行われる催事。,竹野北前館周辺,北前まつり実行委員会(竹野北前館内),0796-47-2020,,,竹野,35.6624,134.7617
ミニミニ作品展「ちいさな世界」,2024/5/3,9:30,2024/6/30,17:00,中学生ミニチュアクリエイターCielが創り出すちいさなちいさな世界。,日本・モンゴル民族博物館,日本・モンゴル民族博物館,0796-56-1000,,https://www3.city.toyooka.lg.jp/monpaku/,但東,35.4925,134.9946
芸観大生による中高生のための演劇WS「演劇ってなんだろう？」,2024/5/4,10:30,2024/5/5,16:00,"芸術文化観光専門職大学生による中高生のための演劇ワークショップ。
5/4(土祝)「物語をつくろう！」「なにがおもしろい？」
5/5(日祝)「上手にウソをつく！？」「なかよくつくる工夫」",豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,"日時
5/4(土・祝)：10:30-12:30「物語をつくろう！」
14:00-16:00「なにがおもしろい？」
5/5(日・祝)：10:30-12:30「上手にウソをつく！？」
14:00-16:00「なかよくつくる工夫」

場所：豊岡市民プラザ/リハーサル室
対象：中学生～高校生くらいの年齢の人
料金：参加無料
",http://platz-npo.com/wp/event/%E8%8A%B8%E8%A6%B3%E5%A4%A7%E7%94%9F%E3%81%AB%E3%82%88%E3%82%8B%E4%B8%AD%E9%AB%98%E7%94%9F%E3%81%AE%E3%81%9F%E3%82%81%E3%81%AE%E6%BC%94%E5%8A%87ws%E3%80%8C%E6%BC%94%E5%8A%87%E3%81%A3%E3%81%A6%E3%81%AA,豊岡,35.5445,134.8149
吉田萌『ヴァカンス』上演に向けたリサーチ・プロジェクト「ないものの話をしながら土をこねる」成果発表,2024/5/5,13:00,2024/5/5,15:30,俳優・演出家の吉田萌による「異なる二つの場所を行き来する身体」をテーマにした新作演劇のためのリサーチプロジェクト。ワークショップで集められたエピソードをもとに創作するパフォーマンスの試演会。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,http://kiac.jp/event/2776/,城崎,35.6291,134.7995
サウンドストークコンサート,2024/5/5,13:00,2024/5/5,15:00,豊岡総合高校吹奏楽部の演奏ほか,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
昆虫観察会,2024/5/5,9:30,2024/5/5,11:30,水辺の昆虫を探そう,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
吉田萌『ヴァカンス』上演に向けたリサーチ・プロジェクト　試演会,2024/5/5,13:00,2024/5/5,15:30,俳優・演出家の吉田萌による「異なる二つの場所を行き来する身体」をテーマにした新作演劇のためのリサーチプロジェクト。ワークショップで集められたエピソードをもとに創作するパフォーマンスの試演会。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,http://kiac.jp/event/2776/,城崎,35.6291,134.7995
