行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
キノコ・粘菌観察会,2024/9/1,9:30,2024/9/1,11:30,菌で秋を探す,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
鉛筆彫刻人シロイによる実演会,2024/9/1,10:00,2024/9/1,14:30,とても繊細で細密な作品の鉛筆彫刻。電子顕微鏡を使い、どのようにして新たな”芯”芸術が誕生するのか？ぜひ、目の前でご覧ください。,日本・モンゴル民族博物館,日本・モンゴル民族博物館,0796-56-1000,"開催時間
①10:00～10:30
②11:00～11:30
③13:00～13:30
④14:00～14:30

",https://www3.city.toyooka.lg.jp/monpaku/,但東,35.4925,134.9946
そよかぜ朗読会,2024/9/1,10:30,2024/9/1,,朗読ボランティア「そよかぜ」による朗読会,図書館本館　いこいの間,図書館本館,0796-23-6151,,,豊岡,34.6929,135.1424
働きたい女性のためのデジタルマーケティングセミナー　開講式,2024/9/3,10:00,2024/9/3,13:00,働きたい女性のためのデジタルマーケティングセミナー受講者を対象とした開講式・オリエンテーション・交流会を開催,豊岡稽古堂　交流室1-4,豊岡市多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1029006/1029656.html,豊岡,35.5441,134.8173
豊岡経営改善創業塾2024,2024/9/6,13:30,2024/9/27,16:00,"起業に関心のある方、新事業展開や既存事業の見直しをお考えの方などを対象にした「豊岡経営改善創業塾」を開催します。
経営全般から人材活用、財務、販路開拓等を専門家から幅広く学ぶセミナーです。
第1回「成果を出す経営の為の時間戦略」　9月6日（金）　
第2回「イチから学ぶ　会社数字の見方と分析」　9月13日（金）
第3回「実践力が身に着く　インスタグラム集客法」　9月20日（金）
第4回セミナー「失敗しない　はじめての人材採用」　9月27日（金） 
※いずれも13時30分～16時",じばさんTAJIMA６階　豊岡商工会議所　会議室,豊岡商工会議所　中小企業相談所,0796-22-4456,,https://www.city.toyooka.lg.jp/sangyo/kigyoshien/sogyoshien/1027084.html,豊岡,35.5399,134.8258
豊岡演劇祭2024,2024/9/6,,2024/9/23,,豊岡演劇祭は、劇場だけではなく温泉街、海岸、高原、神社の境内に設けられた木造の農村舞台など、まちのいたるところが舞台になるのが大きな特徴です。全国の舞台芸術ファンの期待に応えるプログラムに、国際共同企画、若手カンパニーやストリートパフォーマンスなども合わせると国内外から約70の団体がこの地に集まります。,豊岡市民プラザ、江原河畔劇場、出石永楽館、城崎国際アートセンター他,豊岡演劇祭実行委員会事務局（豊岡市役所観光文化部観光政策課）,0796-21-9016,,https://toyooka-theaterfestival.jp/,市内全域,35.5475,134.82
国府己書かたつむりサークル作品発表会,2024/9/7,,2024/10/8,,"内容：コースターサイズの小さなものから、畳サイズの大きなものまで色々な作品を展示。
出展団体：国府己書かたつむりサークル
",但馬ドーム　センター棟ギャラリー,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/9/7,10:45,2024/9/7,11:45,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
第223回サロンコンサート,2024/9/7,12:30,2024/9/7,,「スリーエレメンツ」によるミニライブ,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,"場所：豊岡市民プラザ/交流サロン
参加料無料",,豊岡,35.5445,134.8149
ぬいぐるみのとしょかんおとまり会,2024/9/7,14:00,2024/9/7,,3歳から小学2年生を対象にしたぬいぐるみのお泊まり会。,図書館本館,図書館本館,0796-23-6151,8月14日から受付開始,,豊岡,35.541,134.8219
