行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
有子山城築城450周年記念　但馬・丹波・播磨 地酒フェア,2024/12/1,11:30,2024/12/1,16:00,有子山城築城450周年を記念し、但馬・丹波・播磨地域のお酒を購入、試飲ができる地酒フェアを記念シンポジウムと同時開催します。,出石庁舎前広場・市民ホール,出石振興局地域振興課,0796-21-9025,,,出石,35.4618,134.8747
寄せ植え教室,2024/12/1,,2024/12/1,,正月用寄せ植え教室　定員20人,道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,,日高,35.4992,134.6752
ネイチャークラフト,2024/12/1,13:00,2024/12/1,15:00,木の実やツルでリースづくり,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
出石町青少年健全育成推進大会,2024/12/1,13:30,2024/12/1,,青少年指導者への感謝状贈呈、福住小学校・出石中学校・出石高等学校による体験活動発表、兵庫県警サイバー情報発信室　本田英理さんによる講演会,出石多目的ホール,出石：地域振興課,0796-21-9025,,,出石,,
そよかぜ朗読会,2024/12/1,10:30,2024/12/1,10:50,朗読ボランティア「そよかぜ」による朗読会,図書館本館　いこいの間,図書館本館,0796-23-6151,,,豊岡,34.6929,135.1424
有子山城築城450周年シンポジウム,2024/12/1,9:00,2024/12/1,,有子山城築城450周年を記念し、有子山城を居城とした山名氏と近隣諸勢力との攻防をテーマに専門家によるパネルディスカッションを行う。,出石永楽館,出石振興局地域振興課,0796-21-9025,,,出石,35.4619,134.8715
一般公募　普通救命講習,2024/12/1,9:00,2024/12/1,11:00,普通救命講習を行う,日高地区コミュニティセンター（日高農村環境改善センター）,日高地区コミュニティセンター（日高農村環境改善センター）,0796-24-1119,,,日高,35.4706,134.7717
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/12/2,14:00,2024/12/2,15:00,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,,城崎,35.6284,134.8133
神鍋高原冬山開き神事,2024/12/4,9:30,2024/12/4,,ウインターシーズン中に神鍋へ訪れる人々の安心安全、スキー場の繁盛を祈願し神事を行う。,奥神鍋スキー場,一社）日高神鍋観光協会,0796-45-0800,,,日高,35.5038,134.6527
きのさき見て歩き,2024/12/6,9:20,2024/12/6,13:30,歳時記を活用して、飯谷・楽々浦・戸島湿地をめぐる。,図書館城崎分館,図書館城崎分館,0796-21-9072,コミュニティ城崎　0796-21-9071,,城崎,34.6451,134.9974
事業承継 無料個別相談会,2024/12/6,11:00,2024/12/6,15:15,"個人事業主・中小企業の事業承継に精通した兵庫県事業承継・引継ぎ支援センターの相談員による出張相談会を開催します。
完全予約制・先着順ですので、開催日の１週間前までにお申し込みください。",豊岡市商工会本部（豊岡市日高町祢布920　豊岡市役所日高振興局2階）,兵庫県事業承継・引継ぎ支援センター,078-303-2299,豊岡市商工会本所　0796-42-4751,https://www.city.toyooka.lg.jp/sangyo/kigyoshien/sogyoshien/1022664.html,日高,35.4703,134.771
わくわくトライング,2024/12/7,10:00,2024/12/7,13:00,えほんの読み聞かせのあとお好み焼きを作ります。,城崎地区コミュニティセンター,図書館城崎分館,0796-21-9072,"参加費：200円
申し込み：先着順12名",,城崎,35.6286,134.8135
しめ縄づくり教室,2024/12/7,,2024/12/7,,お正月用のしめ縄教室　定員各6名,道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,,日高,35.4992,134.6753
豊岡みらいチャレンジ塾2024　第5回セミナー,2024/12/7,13:30,2024/12/7,16:30,"豊岡みらいチャレンジ塾は、メディアやシンクタンク、人材育成、NPOなどの分野で活躍するゲストと豊岡市内で活躍するロールモデル、仲間との対話を通して、思いをカタチにするために必要な知識とスキルを身につける女性のためのプログラムです。プログラムは全5回で、第5回の最終セミナーを下記の内容で開催します。
第5回「一歩を踏み出そう！」
第一部：提言プレゼンテーション　市長・副市長に提言しよう！
第二部：チャレンジ宣言",豊岡市役所　3階庁議室,豊岡市多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1029006/1029688.html,豊岡,35.547,134.818
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/12/8,10:30,2024/12/8,11:30,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
コウノトリ野鳥観察会,2024/12/8,13:00,2024/12/8,15:00,園内でコウノトリと野鳥を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
認知能力・非認知能力を育てる 中国語母語教室,2024/12/8,10:00,2024/12/8,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
手作りみそワークショップ,2024/12/10,,2024/12/10,,しょう油の花房　みそソムリエによる、無添加の手作りみそ作りワークショップ　　　定員20名,日高農林産物加工研修所,道の駅｢神鍋高原｣,0796-45-1331,,,日高,35.4657,134.7724
豊岡ノーマイカーデー,2024/12/11,0:00,2024/12/11,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
ロームシアター京都「レパートリーの創造」 市原佐都子／Q　新作『キティ』レジデンス成果発表,2024/12/12,19:30,2024/12/12,,劇作家・演出家・小説家で、城崎国際アートセンター芸術監督の市原佐都子が、ロームシアター京都のシリーズ「レパートリーの創造」として2025年2月に初演予定の新作の滞在制作を行う。生と性の規範を根底から覆す”宇宙規模”の最新作の創作過程を、成果発表として公開する。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,https://kiac.jp/event/3110/,城崎,35.6291,134.7995
第35回但馬ドーム杯グラウンド･ゴルフ交流大会決勝,2024/12/12,,2024/12/12,,但馬ドームグラウンド･ゴルフクラブ会員を対象とした交流大会,但馬ドーム ドーム棟グラウンド,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/12/14,14:00,2024/12/14,15:00,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,,但東,34.6451,134.9974
第60回企画展　但馬山名氏と山名四天王　展示解説,2024/12/14,,2024/12/14,,担当学芸員が、展示資料を中心に但馬山名氏と山名四天王について解説する。,歴史博物館「但馬国府・国分寺館」,歴史博物館「但馬国府・国分寺館」,0796-42-6111,,https://www3.city.toyooka.lg.jp/kokubunjikan/,日高,34.6451,134.9974
多文化交流サロン,2024/12/14,13:30,2024/12/14,,外国人市民が日本で生活していくために大切なことを学びます。防災のことや生活オリエンテーションを実施します。日本や外国の文化、行事等を通じた交流事業も行います。,WACCU TOYOOKA(Aity４階) 学習室,（一社）豊岡市国際交流協会,0796-24-5931,,,豊岡,35.5559,134.8004
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/12/15,14:00,2024/12/15,15:00,図書館による託児サービス,図書館日高分館,図書館本館,0796-23-6151,,,日高,35.4703,134.7711
田んぼの学校,2024/12/15,9:30,2024/12/15,12:00,ネイチャークラフト,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
年越しのそば打ちを楽しもう,2024/12/15,9:00,2024/12/15,13:00,"・石臼そば挽
・そば打ち",クリーンパーク北但,クリーンパーク北但,0796-21-9110,メール：event@hokutan.jp,http://www.hokutan.jp,竹野,35.589,134.7271
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/12/19,14:00,2024/12/19,15:00,図書館による託児サービス,図書館竹野分館,図書館本館,0796-23-6151,,,竹野,35.6499,134.7578
としょかん映画会,2024/12/20,10:30,2024/12/20,12:30,『ペルセポネーの泪』(2021年/102分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
としょかん映画会,2024/12/21,13:30,2024/12/21,15:30,『ペルセポネーの泪』(2021年/102分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
クリスマスイベント　馬頭琴クリスマスミニライブ,2024/12/21,13:00,2024/12/21,14:30,"馬頭琴演奏家の福井則之氏によるミニライブ。
ライブ後、参加者各自が持ち寄った500円程度のプレゼントを交換しあう。
最後に、モンゴルの肉シュウマイ「ボーズ」を参加者みんなで試食する。

",日本・モンゴル民族博物館,日本・モンゴル民族博物館,0796-56-1000,,https://www3.city.toyooka.lg.jp/monpaku/,但東,35.4925,134.9946
しめ縄づくり,2024/12/22,9:30,2024/12/22,11:30,お正月のしめ縄づくり,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
ホワイトストークコンサート,2024/12/22,17:30,2024/12/22,19:00,地元で活躍するミュージシャンによる楽しいクリスマス音楽コンサート,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/12/22,10:30,2024/12/22,11:30,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,35.4616,134.8752
認知能力・非認知能力を育てる 中国語母語教室,2024/12/22,10:00,2024/12/22,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
かにサンタのクリスマスイベント,2024/12/24,10:30,2024/12/24,,"かにサンタからのクリスマスプレゼント！抽選で松葉蟹や但馬牛等を手に入れるチャンス。
※プレゼント内容は変更する場合があります。",JR城崎温泉駅前広場,（一社）城崎温泉観光協会,0796-32-3663,,,城崎,35.6238,134.8132
早川葉南子 + 森下 瑶『hybrid』試演会,2024/12/27,19:00,2024/12/27,,ともにヨーロッパを拠点にする早川葉南子と森下瑶の2人によるそれぞれが培ってきた表現を交差させて生み出すデュオダンス作品の試演会。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.6291,134.7995
豊岡ノーマイカーデー,2024/12/27,0:00,2024/12/27,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
