行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問合せ先電話番号,備考,URL,エリア,緯度,経度
出石地域こころをつなぐ市民集会,2025/3/1,13:30,2025/3/1,15:15,"人権コンサート
出演　ちめいど（兄弟デュオ）
演題　今を生きる私たちひとりひとりが名主役",出石多目的ホール,豊岡市出石振興局地域振興課,0796-21-9025,,,出石,35.4742,134.8686
2025まるごとモンゴルひなまつり,2025/3/1,10:00,2025/3/2,15:30,博物館内全体を会場に開催する子ども向けの参加型体験イベント。馬頭琴のミニライブをはじめ、羊のフェルトアート作りやフラワーハーバリウム作り、ジェルキャンドルといった各種ワークショップも開催（有料のワークショップもあり）。,日本・モンゴル民族博物館,日本・モンゴル民族博物館,0796-56-1000,,https://www3.city.toyooka.lg.jp/monpaku/,但東,35.4925,134.9946
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/3/2,10:30,2025/3/2,11:30,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,,城崎,35.5367,134.827
アカガエル調査,2025/3/2,13:00,2025/3/2,15:00,アカガエルの卵塊探し,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
そよかぜ朗読会,2025/3/2,10:30,2025/3/2,,朗読ボランティア「そよかぜ」による朗読会,図書館本館　いこいの間,図書館本館,0796-23-6151,,,豊岡,34.6929,135.1424
但馬ドームセンター棟ギャラリー,2025/3/3,,2025/3/28,,紫陽書道展,センター棟ギャラリー,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/3/5,14:00,2025/3/5,15:00,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
第15回但馬ドームCUPグラウンド･ゴルフ大会,2025/3/8,,2025/3/8,,日本グラウンド･ゴルフ協会公認の、県全域から愛好家が集結する但馬を代表する大会,但馬ドーム ドーム棟グラウンド,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
コウノトリ野鳥観察会,2025/3/9,13:00,2025/3/9,15:00,園内でコウノトリと野鳥を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/3/10,14:00,2025/3/10,15:00,図書館による託児サービス,図書館竹野分館,図書館本館,0796-23-6151,,,竹野,35.537,134.8276
豊岡ノーマイカーデー,2025/3/12,0:00,2025/3/12,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
IPPO TOYOOKA　起業セミナー,2025/3/14,18:00,2025/3/14,20:00,起業支援のプロを講師に招き、支援に携わった実例をもとに、起業に向けて必要なステップや最先端の起業ノウハウをお伝えします。参加費は無料です。完全予約制・先着順ですので、事前にお申込みください。,コワーキングスペース FLAP TOYOOKA（豊岡市大磯町1番79号　じばさんTAJIMA5階）,豊岡市役所　環境経済課　経済政策係,0796-23-4480,"IPPO TOYOOKA
Eメール：ippo@pl-j.com",,豊岡,35.5398,134.8258
としょかん映画会,2025/3/14,10:30,2025/3/14,,『星新一の不思議な不思議な短編ドラマ』(2022年/150分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
出石初午大祭,2025/3/14,9:00,2025/3/16,,冬の但馬に春を告げ、商売繁盛・五穀豊穣を願う三たん(但馬・丹後・丹波)一の大祭。,出石城跡周辺,豊岡市商工会出石支部,0796-52-2113,,,出石,35.4605,134.8745
としょかん映画会,2025/3/15,13:30,2025/3/15,,『星新一の不思議な不思議な短編ドラマ』(2022年/150分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
田んぼの学校,2025/3/16,9:30,2025/3/16,12:00,早春のビオトープ,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/3/17,10:30,2025/3/17,11:30,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,,但東,34.6451,134.9974
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/3/21,10:30,2025/3/21,11:30,図書館による託児サービス,図書館日高分館,図書館本館,0796-23-6151,,,日高,35.4703,134.7711
多文化交流サロン,2025/3/22,13:30,2025/3/22,,外国人市民が日本で生活していくために大切なことを学びます。防災のことや生活オリエンテーションを実施します。日本や外国の文化、行事等を通じた交流事業も行います。,WACCU TOYOOKA(Aity４階) 学習室,NPO法人にほんご豊岡あいうえお,0796-20-4037,,,豊岡,35.5559,134.8004
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/3/23,10:30,2025/3/23,11:30,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,35.4616,134.8752
植物観察会,2025/3/23,13:00,2025/3/23,15:00,早春の植物を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
竹野小学校閉校式・記念行事,2025/3/24,10:30,2025/3/24,11:05,今年４月の竹野学園開校に伴い、３月末をもって閉校することとなった竹野小学校の閉校式及び記念行事を行います。,竹野小学校　体育館,豊岡市教育委員会　教育総務課　学校再編・施設整備室,0796231117,,,竹野,35.553,134.8232
竹野中学校閉校式,2025/3/24,9:20,2025/2/24,9:55,今年４月の竹野学園開校に伴い、３月末をもって閉校することとなった竹野中学校の閉校式を行います。,竹野中学校　体育館,豊岡市教育委員会　教育総務課　学校再編・施設整備室,0796231117,,,竹野,35.5441,134.8205
豊岡ノーマイカーデー,2025/3/28,0:00,2025/3/28,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
第43回清滝さくらまつり,2025/3/29,,2025/3/30,,"バザーの開催・夜間桜のライトアップ

※桜の開花状況によって開催日時が変更になります。",清滝地区コミュニティセンター周辺,清滝地区コミュニティセンター,45-1534,,,日高,0,0
エロワ・オータンス・ンダ『Le Palmier』試演会,2025/3/29,14:00,2025/3/29,17:00,コートジボワールの振付家・ダンサーのエロワ・オータンス・ンダによる、病気や孤立といった自身の過酷な実体験をもとに創作中のソロダンス作品の試演会。「ヤシの木」を意味するタイトルが物語るように、生命の力強さや儚さを身体を通して表現する。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.6291,134.7995
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/3/29,10:30,2025/3/29,11:30,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
