行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
コーンカーン・ルーンサワーン「タイ舞踊ワークショップ」,2024/7/5,19:00,2024/7/5,21:00,"タイのさまざまな伝統舞踊の訓練を受け、伝統を現代へつなぐことを試みているタイの新しい世代の振付家コーンカーン・ルーンサワーンにタイ舞踊の基礎的な表現を習ってみましょう。
【対象】どなたでも　【定員】10名程度
【持ち物】動きやすい服装でお越しください。",城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,http://kiac.jp/event/2950/,城崎,35.6291,134.7995
事業承継 無料個別相談会,2024/7/5,11:00,2024/7/5,16:30,"個人事業主・中小企業の事業承継に精通した兵庫県事業承継・引継ぎ支援センターの相談員による出張相談会を開催します。
完全予約制・先着順ですので、開催日の１週間前までにお申し込みください。",豊岡商工会議所（豊岡市大磯町1番79号　じばさんTAJIMA6階）,兵庫県事業承継・引継ぎ支援センター,078-303-2299,豊岡商工会議所　0796-22-4456,https://www.city.toyooka.lg.jp/sangyo/kigyoshien/sogyoshien/1022664.html,豊岡,89.7555,143.9648
豊岡みらいチャレンジ塾2024,2024/7/6,13:30,2024/7/6,16:30,"豊岡みらいチャレンジ塾は、メディアやシンクタンク、人材育成、NPOなどの分野で活躍するゲストと豊岡市内で活躍するロールモデル、仲間との対話を通して、思いをカタチにするために必要な知識とスキルを身につける女性のためのプログラムです。プログラムは全5回で、第1回のキックオフセミナー(一般公開)を7月6日土曜日に下記の内容で開催します。
テーマ「女性の力を、地域の力に！」
　第1部：スペシャル対談　長野智子さん×浜田敬子さん
　第2部：ゲストとの対話セッション
　第3部：「ありたい姿」の言語化ワークショップ (講師：蒲生智会さん)
",豊岡市役所3階　庁議室,多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1008845/1019238/1029688.html,豊岡,35.5446,134.82
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/7/6,10:45,2024/7/6,11:45,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
ミュージック☆バッグ2024 ～音楽をカバンにつめてさぁ行こう～,2024/7/6,18:00,2024/7/6,20:00,毎月開催しているサロンコンサートにご出演いただいた方を中心に、様々なジャンルの地元ミュージシャンが出演するコンサートです。出演者全員にコラボレーションは必聴です！,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,場所：豊岡市民プラザ/ほっとステージ,http://platz-npo.com/wp/event/%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%83%E3%82%AF%E2%98%86%E3%83%90%E3%83%83%E3%82%B0%EF%BD%9E%E9%9F%B3%E6%A5%BD%E3%82%92%E3%82%AB%E3%83%90%E3%83%B3%E3%81%AB%E3%81%A4%E3%82%81%E3%81%A6%E3%81%95,豊岡,35.5445,134.8149
鉛筆彫刻人シロイによる実演会,2024/7/6,10:00,2024/7/6,14:30,とても繊細で細密な作品の鉛筆彫刻。電子顕微鏡を使い、どのようにして新たな”芯”芸術が誕生するのか？ぜひ、目の前でご覧ください。,日本・モンゴル民族博物館,日本・モンゴル民族博物館,0796-56-1000,"開催時間
①10:00～10:30
②11:00～11:30
③13:00～13:30
④14:00～14:30",https://www3.city.toyooka.lg.jp/monpaku/,但東,35.4925,134.9946
プチマルシェ,2024/7/7,,2024/7/7,,但馬の女性による手作り雑貨とワークショップ、お菓子等の販売,道の駅「神鍋高原」,道の駅｢神鍋高原｣,0796-45-1331,,,日高,35.4991,134.6752
自衛隊避難訓練コンサート2024,2024/7/7,,2024/7/7,,"陸上自衛隊第3音楽隊を招き、演奏中に地震が起こったと想定して、避難訓練を兼ねたコンサートを実施。
６月17日（月）必着で、往復はがきで事前申し込みされた方が対象（応募者多数の場合は抽選）",豊岡市民会館,豊岡市民会館,0796-23-0255,,https://www.city.toyooka.lg.jp/1019810/1019844/shiminhall/1002106/1029557.html,豊岡,35.5405,134.8249
キノコ・粘菌観察会,2024/7/7,9:30,2024/7/7,11:30,森の宝石探し,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
認知能力・非認知能力を育てる 中国語母語教室,2024/7/7,10:00,2024/7/7,14:00,中国語の母語教室。料理教室。,五荘地区コミュニティセンター,芸術文化観光専門職大学　姚瑶（ようよう）研究室,796230341,,,豊岡,35.5475,134.8114
