行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問合せ先電話番号,URL,エリア,緯度,経度
市制20周年記念事業「豊岡のってECO」,2025/8/1,0:00,2025/8/3,,「豊岡のってECO」に合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円（小学生250円）。,豊岡市役所,都市整備課,0796-23-1712,https://www.city.toyooka.lg.jp/kurashi/dorokotsu/kotsusokushin/1033492.html,市内全域,35.5445,134.8202
柳まつり,2025/8/1,0:00,2025/8/2,23:59,柳の宮例大祭、神輿の巡行、稚児行列、豊岡おどり、豊岡商工会議所青年部フェスティバル等,柳の宮神社、豊岡駅通商店街(大開通),豊岡商工会議所,0796-22-4456,,豊岡,35.5439,134.82
おはなしランド　夏休み編,2025/8/2,10:30,2025/8/2,,読み聞かせ・夏の工作,図書館城崎分館,図書館城崎分館,0796-21-9072,,城崎,35.6284,134.8133
シールアートの世界を体験しよう,2025/8/2,13:30,2024/8/3,14:30,モンゴル「スフバートル広場」の夜景を描いた巨大な下絵にシールを貼る体験。,日本・モンゴル民族博物館,日本・モンゴル民族博物館,0796-56-1000,https://www3.city.toyooka.lg.jp/monpaku/,但東,35.4925,134.9946
第62回企画展　北但大震災100年－まちに刻まれた記憶－　展示解説,2025/8/2,,2025/8/2,,"担当学芸員が展示内容を詳しく解説します。
午前10時～、午後２時～の２回開催予定。",歴史博物館「但馬国府・国分寺館」,歴史博物館「但馬国府・国分寺館」,0796-42-6111,https://www3.city.toyooka.lg.jp/kokubunjikan/,日高,36.968,132.6682
西日本医科学生総合体育大会ラグビー競技,2025/8/3,,2025/8/13,,"西日本の医学部、医科大学による総合体育大会（ラグビー競技）
",神鍋高原各グラウンド        　,一社）日高神鍋観光協会,0796-45-0800,,日高,35.4984,134.6768
平和を願う朗読劇・豊岡2025「祈り-1945」,2025/8/3,,2026/8/3,,"～永遠の平和と命の大切さを訴える朗読劇～
ヒロシマ・ナガサキの原爆被災の記録から、手記や詩歌で構成したオリジナル台本で上演する朗読劇の第18回公演。市民による上演実行委員会が、制作から朗読までを手がけ、学校やコミュニティーセンターでの公演も実施しています。

※ヒロシマ・ナガサキの原爆被害の写真パネル・文集など、展示を同時開催します。

入場料：一般 500円/高校生以下無料
託児あり",豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,http://platz-npo.com/index.html,豊岡,35.5445,134.8149
キノコ・粘菌観察会,2025/8/3,9:30,2025/8/3,,キノコ・粘菌観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552
そよかぜ朗読会,2025/8/3,10:30,2025/8/3,10:50,朗読ボランティア「そよかぜ」による朗読会,図書館本館　いこいの間,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
ZIMOTOMOフェス,2025/8/4,16:00,2025/8/4,20:45,"城崎振興局事業の城崎・港地域若者会議の取り組みで、20代前半の若者が城崎温泉ふるさと祭り実行委員会と連携して、「地元愛が深まる」ようなフェスを開催します。
フェスでは、ステージイベントと麦わら細工製作体験コーナーを実施します。
",喜多町駐車場,城崎振興局,0796-21-9065,,城崎,35.6268,134.8117
