ジャンル,名称,名称（よみ）,緯度,経度,郵便番号,住所1,住所2,電話番号,FAX番号,説明文,開催時期,HP　URL,
センター施設,地場産くるめ,じばさんくるめ,33.31958045,130.5551532,839-0809,福岡県久留米市東合川5-8-5,,0942-44-3700,,筑後の伝統工芸品や物産が、地域産業、生産組合の24業者から出品、展示されており、即売も行っています。久留米絣関係の資料室や郷土の土産品コーナーに人気があります。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000037&isSpot=1,
センター施設,久留米市天文台,くるめしてんもんだい,33.26743059,130.4323786,830-0203,福岡県久留米市城島町浜293,久留米市青少年ふれあいセンター内,0942-62-6226,,口径40cmの反射望遠鏡を備えた本格的な施設です。毎週土曜日に無料で開催される「天体観測会」は誰でも気軽に参加することができます。またたく星や、広い宇宙にロマン感じる天文台です。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000053&isSpot=1&isEvent=,
その他（その他）,来てん見てん山苞の道,きてんみてんやまづとのみち,33.323042,130.673923,839-1213,福岡県久留米市田主丸町,,,,"耳納山中腹の全長約5,5キロメートルの農面道路を「山包の道（ヤマヅトノミチ）」と名付けて、周辺にあるギャラリーや工房などを一斉開放します。また、地域住民による手作り品や農産物なども販売し、自然を満喫できるイベントです。",,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000087&isSpot=1&isEvent=,
その他（名所）,石橋文化センター,いしばしぶんかせんたー,33.3129064,130.5304719,839-0862,福岡県久留米市野中町1015,,0942-33-2271,0942-39-7837,株式会社ブリヂストン創業者石橋正二郎氏より郷土久留米市に寄贈されました。。バラやツバキなど四季折々の花が彩る広大な庭園を有し、久留米市美術館をはじめ、音楽ホールや図書館を備える複合文化施設です。花と緑にあふれた園内は、市民の憩いの場として、芸術文化の拠点として、多くの人々に親しまれています。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000033&isSpot=1&isEvent=,
その他（名所）,ブリヂストン通り,ぶりぢすとんどおり,33.324826,130.506071,,福岡県久留米市京町、旭町,,,,通りの両側に植えられた２１５本のケヤキは、四季折々に多彩な表情を見せ、赤レンガ敷きの歩道を歩く人々に安らぎと潤いを与えます。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000246&isSpot=1&isEvent=,
その他（名所）,からくり太鼓時計,からくりだいこどけい,33.320375,130.502339,830-0022,福岡県久留米市城南町2-21,,,,郷土の偉人「からくり儀右衛門(ぎえもん)」こと「田中久重」の生誕200年及び久留米市制施行110周年、九州鉄道開通久留米駅設置110周年を記念して、JR久留米駅前広場に、平成11年11月13日に設置しました。からくり時計は、からくり儀右衛門 が製作した「太鼓時計」をモチーフに、定時になると、時計盤が回転し、儀右衛門人形が現れ、自分が成作考案した作品の一部を身振り手振りで説明する仕掛けです。演出時間は午前8時から午後7時までの毎正時に約5分間。実演には、久留米市出身やゆかりの方々（中村八大、松田聖子、チェッカーズ等）の音楽（BGM）が流れます。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000044&isSpot=1&isEvent=,
フィールド・アスレチック,サイクルファミリーパーク,さいくるふぁみりーぱーく,33.300952,130.546601,839-0851,福岡県久留米市御井町2028-7,,0942-45-5656,0942-45-8511,久留米サイクルファミリーパークは、家族連れが気軽に遊べる自転車のテーマパークとして、競輪場の東側に作られた広々とした公園です。 園内には、おもしろ自転車や、家族で楽しむことが出来る2～4人乗りの自転車、本格的なマウンテンバイクコースなど様々な自転車や「サイクルコース」があります。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000057&isSpot=1&isEvent=,
レンタサイクル,レンタサイクル,れんたさいくる,,,,福岡県久留米市市内各所,,0942-31-1717,0942-31-3210,,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=400000001007&isSpot=1&isEvent=,
郷土景観,三潴の黒松,みづまのくろまつ,,,,福岡県久留米市三潴町,,,,百数十年前、作庭家阿理成（ほとりじょう）の手伝いをしていた三潴在住の岩熊荘太郎が、庭園樹「黒松」の原型を完成させました。伝統に支えられた整枝技法により、一年中、美しい色と形が楽しめます。,,,
郷土芸能,そろばん踊り,そろばんおどり,,,,福岡県久留米市,,,,全国的に知られる久留米の代表的な唄のひとつ。もともと明治期に唄われていた「久留米の機織り娘」と言う曲でした。昭和47年に始まった「久留米水の祭典」ではそろばんをもって踊りながら行進するようになりました。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000096&isSpot=1&isEvent=,
近代的建造物,ＪＲ久留米駅,じぇーあーるくるめえき,33.320563,130.501239,,福岡県久留米市,,,,平成22年、九州新幹線久留米駅が併設された新駅舎が完成しました。筑後川や櫨などの四季折々の花木が描かれたステンドグラスが、東西の玄関口と構内通路「ほとめき広場」を彩り、訪れる人びとを温かく迎えます。,,,
近代的建造物,久留米市役所,くるめしやくしょ,33.31931986,130.5082048,830-8520,福岡県久留米市城南町15-3,,0942-30-9059,,「今世紀を創った世界建築家100人」にも選ばれた菊竹清訓氏設計による市庁舎。その最上階にある展望ロビーからの眺めは、筑後川や宝満川、背振山、雲仙普賢岳まで、筑後平野の大パノラマです。,,,
公園,平原公園,ひらばるこうえん,33.319485,130.715145,839-1211,福岡県久留米市田主丸町森部1312,,,,標高300mで筑紫平野や筑後川の全景を一望におさめる森林公園。春には桜(約800本)やつつじ。秋には紅葉に彩られ、周辺は平原古墳群が点在し、花見などで賑い、鷹取山登山道の入口もあります。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000086&isSpot=1&isEvent=,
