団体コード,団体名,自治体サイトのオープンデータページURL,オープンデータ掲載サイトのURL1,オープンデータ掲載サイトのURL1の名称,オープンデータ掲載サイトのURL1の概要,オープンデータ掲載サイトのURL2,オープンデータ掲載サイトのURL2の名称,オープンデータ掲載サイトのURL2の概要,オープンデータ掲載サイトのURL3,オープンデータ掲載サイトのURL3の名称,オープンデータ掲載サイトのURL3の概要,初回登録日,更新日,主な分類,API有無,ライセンス
011002,北海道札幌市,http://www.city.sapporo.jp/kikaku/ictplan/opendata/,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=30,（札幌市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://data.pf-sapporo.jp/,札幌市ICT活用プラットフォーム　DATA-SMART CITY SAPPORO,札幌市や民間企業等が提供するオープンデータを掲載しています。データを簡単に見つけて利用できる「データカタログ」と、データを活用・分析し、地図やグラフ等でわかりやすく表示する「ダッシュボード」などで構成されています。,,,,,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
012025,北海道函館市,https://www.city.hakodate.hokkaido.jp/docs/2016072200055/,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=31,（函館市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,http://www.city.hakodate.hokkaido.jp/docs/2016072200055/,函館市オープンデータポータル,函館市では，インターネットによる公共情報の公開にあたって，二次利用の自由を明示するとともに，広く機械判読に適した形式による提供に努め，オープンデータ化を積極的に推進します。,,,,,,人口・世帯、運輸・観光、社会保・衛生、その他,無,CC-BY
012033,北海道小樽市,https://www.city.otaru.lg.jp/categories/kubun/opendata/,http://www.city.otaru.lg.jp/sisei_tokei/kojin_joho/open_deta/,小樽市オープンデータ,小樽市が保有する情報を、機械判読可能で二次利用が容易な形式のオープンデータとして公開し、その利活用が進展することで、サービス又はビジネスが新たに創出されることが期待でき、市民生活の利便性の向上及び経済の活性化の実現を可能とします。,,,,,,,,,人口・世帯,無,CC-BY
012041,北海道旭川市,https://www.city.asahikawa.hokkaido.jp/700/jouhouseisaku/jouhouseisaku004/d054760.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=32,（旭川市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,http://www.city.asahikawa.hokkaido.jp/700/jouhouseisaku/jouhouseisaku004/d054760.html,旭川市オープンデータライブラリ,旭川市では，人口統計や避難所一覧，子育てに関する情報等をオープンデータとして公開しています。今後，順次公開データの拡充を行う予定です。,,,,,,人口・世帯、教育・文化・スポーツ・生活、司法・安全・環境、住民向け情報(暮らしの情報)、救急・消防,無,CC-BY
012050,北海道室蘭市,https://www.city.muroran.lg.jp/administration/?content=1939,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=33,（室蘭市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://murorancity-opendata-muroran.hub.arcgis.com/search?tags=open%2520data,むろらんオープンデータライブラリー（ArcGIS Open Data）,室蘭市のオープンデータについて記載しています。,https://www.city.muroran.lg.jp/administration/?content=1939,むろらんオープンデータライブラリ,室蘭市が保有する様々なデータを準備が整ったものから順次公開しています。特に、都市計画現況図や航空写真など、地図系のデータが多いことと、広報紙や民間バスの時刻表データなどの公開が特色です。,,2024/9/17,教育・文化・スポーツ・生活、司法・安全・環境、住民向け情報(暮らしの情報)、行政活動情報、国土・気象、運輸・観光,有,CC-BY
012068,北海道釧路市,https://www.city.kushiro.lg.jp/opendata/index.html,https://www.city.kushiro.lg.jp/opendata/index.html,釧路市オープンデータサイト,釧路市では地域課題の解決や経済活性化を図ることを目的に、オープンデータの取組を進めています。<br>本市が保有する様々なデータを、準備が整ったものから順次公開していく予定です。,,,,,,,2022/10/4,,人口・世帯、農林水産業、企業・家計・経済、エネルギー・水、教育・文化・スポーツ・生活、行財政、司法・安全・環境、社会保障・衛生、国際,無,CC-BY
012076,北海道帯広市,https://www.city.obihiro.hokkaido.jp/soumubu/jouhoushisutemuka/opendata.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=34,（帯広市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.city.obihiro.hokkaido.jp/shisei/seisaku/toshi/opendata/1006509/index.html,帯広市オープンデータ,帯広市の保有する人口・世帯数、公共施設一覧、広報紙などの情報をオープンデータとして公開しています,,,,2019/9/17,,施設、農林水産業、刊行物、人口・世帯,無,CC-BY
012084,北海道北見市,https://www.city.kitami.lg.jp/administration/town/detail.php?content=11475,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=245,（北見市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.city.kitami.lg.jp/administration/town/detail.php?content=11475,北見市オープンデータの取り組みについて,北見市のオープンデータの取り組みを説明するサイトです。<br>オープンデータは当該サイト内にある外部リンク「北海道オープンデータポータルサイト」で公開してます。,,,,2022/12/27,,人口・世帯,有,CC-BY
012092,北海道夕張市,https://www.city.yubari.lg.jp/gyoseijoho/shisakukeikaku/johoseisakuit/opendata.html,,,,,,,,,,2023/3/1,,,,
012106,北海道岩見沢市,https://www.city.iwamizawa.hokkaido.jp/content/detail/3159292/,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=35,（岩見沢市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.city.iwamizawa.hokkaido.jp/content/detail/3159292/,岩見沢市のオープンデータについて,岩見沢市の保有する人口・世帯数、AED設置施設一覧などの情報をオープンデータとして公開しています,,,,2021/3/31,,人口・世帯、防災,無,CC-BY
012114,北海道網走市,https://www.city.abashiri.hokkaido.jp/060soshiki/020dennsannsystem/open-data/index.html,https://www.city.abashiri.hokkaido.jp/060soshiki/020dennsannsystem/open-data/index.html,網走市オープンデータカタログ,網走市の保有する人口統計や避難所一覧、公共施設一覧等の情報をオープンデータとして公開しています。,,,,,,,2020/11/4,,人口・世帯、住民向け情報（暮らしの情報）、観光情報、子育て、高齢者・介護、防災、救急・消防、施設、統計、文化史跡,無,CC-BY
012122,北海道留萌市,https://www.e-rumoi.jp/soumu/page11_00172.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=36,（留萌市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.e-rumoi.jp/soumu/page11_00172.html,留萌市オープンデータサイト,多方面での情報の活用を推進し、地域の活性化に寄与するため、ウェブサイトで公開する公共データのオープン化を推進します。,,,,2022/5/19,,選挙,無,CC-BY
012131,北海道苫小牧市,https://www.city.tomakomai.hokkaido.jp/shisei/shisei/ict/opendata.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=37,（苫小牧市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,2021/3/26,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
012149,北海道稚内市,https://www.city.wakkanai.hokkaido.jp/shisei/opendata/,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=38,（稚内市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.city.wakkanai.hokkaido.jp/shisei/opendata/,稚内市オープンデータ,稚内市では国が進めるデジタル化と並行し、オープンデータの取り組みを進めています。<br>今後も引き続き、公開対象データの拡大を目指します。,,,,2023/4/7,,司法・安全・環境;社会保障・衛生;,無,CC BY
