全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,設置者,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,SSID,提供エリア,URL,備考
341002,,,広島県広島市,原爆ドーム,,Atomic Bomb Dome,341002,,広島県広島市中区大手町1-10,,,,,,34.395483 ,132.453592,,,,,,,,,,,
341002,,,広島県広島市,平和記念資料館（東館）,,Hiroshima Peace Memorial Museum,341002,,広島県広島市中区中島町1-2,,,,,,34.391498, 132.453553,,,,,,,,,,,
341002,,,広島県広島市,平和記念資料館（本館）,,Hiroshima Peace Memorial Museum,341002,,広島県広島市中区中島町1-2,,,,,,34.391498, 132.453553,,,,,,,,,,,
341002,,,広島県広島市,縮景園,,Shukkeien,341002,,広島県広島市中区 上幟町2-11,,,,,,34.399395,132.467093,,,,,,,,,,,
341002,,,広島県広島市,広島県立美術館,,Hiroshima Prefectural Art Museum,341002,,広島県広島市中区上幟町2-22,,,,,,34.399833 ,132.466261,,,,,,,,,,,
341002,,,広島県広島市,広島市まんが図書館,,Hiroshima City Manga Library,341002,,広島県広島市南区比治山公園1番4号,,,,,,34.387675,132.474515,,,,,,,,,,,
341002,,,広島県広島市,広島駅南口地下広場案内所,,"TOURIST INFORMATION CENTER, JR Hiroshima Station",341002,,広島県広島市南区松原町9-1,,,,,,34.396231,132.474678,,,,,,,,,,,
341002,,,広島県広島市,広島港（五日市岸壁）※,,,341002,,,,,,,,,,,,,,,,,,,,
341002,,,広島県広島市,おりづるタワー,,HIROSHIMA ORIZURU TOWER,341002,,広島県広島市中区大手町1丁目2-1 ,,,,,,34.395679,132.454733,,,,,,,,,,,
341002,,,広島県広島市,本通商店街,,HonDori　Shopping Street,341002,,,,,,,,34.392927,132.459674,,,,,,,,,,,
341002,,,広島県広島市,金座街商店街,,Kinzagai　Shopping Street,341002,,,,,,,,34.393309,132.46216,,,,,,,,,,,
341002,,,広島県広島市,アリスガーデン,,Alice Garden,341002,, 広島県広島市中区新天地８,,,,,, 34.391838,132.462114 ,,,,,,,,,,,
341002,,,広島県広島市,MAZDA Zoom-Zoomスタジアム,,Mazda Zoom-Zoom Stadium Hiroshima,341002,,広島県広島市南区 南蟹屋2丁目3-1,,,,,,34.391273,132.484578,,,,,,,,,,,
341002,,,広島県広島市,広島電鉄電停（広島駅）,,Hiroshima Station,341002,, 広島県広島市南区松原町４,,,,,,34.396321,132.475188,,,,,,,,,,,
341002,,,広島県広島市,広島電鉄電停（原爆ドーム前）,,Genbaku Dome-mae,341002,, 広島県広島市中区大手町１丁目１０,,,,,,34.396297,132.454113,,,,,,,,,,,
341002,,,広島県広島市,広島電鉄電停（本通）,,Hondori,341002,, 広島県広島市中区紙屋町２丁目３,,,,,,34.393623,132.456999,,,,,,,,,,,
341002,,,広島県広島市,広島電鉄電停（袋町）,,Fukuro-machi ,341002,, 広島県広島市中区袋町５,,,,,,34.391569,132.456355,,,,,,,,,,,
341002,,,広島県広島市,広島電鉄電停（土橋）,,Dobashi,341002,, 広島県広島市中区堺町２丁目６,,,,,,34.394655,132.446271,,,,,,,,,,,
341002,,,広島県広島市,広島電鉄電停（横川駅）,,Yokogawa Station,341002,, 広島県広島市西区横川町３丁目２−３０,,,,,,34.409556,132.450495,,,,,,,,,,,
341002,,,広島県広島市,広島電鉄電停（広電西広島）,,Hiroden-nishi-hiroshima,341002,, 広島県広島市西区己斐本町１丁目１８,,,,,,34.397143,132.427742,,,,,,,,,,,
341002,,,広島県広島市,瀬戸内海汽船,,SETO INLAND SEA LINES,341002,,,,,,,,34.3574313,132.4585318,,,,,,,,,,,
341002,,,広島県広島市,瀬戸内シーライン,,,341002,,,,,,,,,,,,,,,,,,,,
341002,,,広島県広島市,瀬戸内フェリー広島～松山,,,341002,,,,,,,,,,,,,,,,,,,,
341002,,,広島県広島市,ひろしま美術館,,Hiroshima Museum of Art,341002,,広島市中区基町3－2 中央公園内,,,,,,34.398696,132.458112 ,,,,,,,,,,,
341002,,,広島県広島市,広島駅総合案内所,,Hiroshima Tourist Information,341002,,広島県広島市南区松原町2-37 JR広島駅・新幹線口構内2階,,,,,,34.398047,132.475606 ,,,,,,,,,,,
341002,,,広島県広島市,広島高速1号線 温品PA(下り),,Hiroshima expressway public corporation Nukushina Parking area,341002,,広島県広島市東区温品町,,,,,,34.421312,132.520409,,,,,,,,,,,
341002,,,広島県広島市,広島港宇品旅客ターミナル,,Port of Hiroshima-Ujina Passenger Terminal,341002,,広島県広島市南区宇品海岸1丁目13-26,,,,,,34.352407,132.455347,,,,,,,,,,,
341002,,,広島県広島市,広島市湯来交流体験センター,,Yuki Experience Centre,341002,,広島県広島市佐伯区湯来町多田2563-1　湯来ロッジ隣,,,,,,34.473778,132.240753,,,,,,,,,,,
341002,,,広島県広島市,広島市国民宿舎湯来ロッジ,,yukilode,341002,,広島県広島市佐伯区湯来町多田2563-1,,,,,,34.473566,132.239922,,,,,,,,,,,
341002,,,広島県広島市,KOI PLACE（ひろでん会館跡地）,,KOIPLACE,341002,,広島市西区己斐本町1丁目18-3（コイハウス内）,,,,,,34.397207,132.428331,,,,,,,,,,,
341002,,,広島県広島市,そごう広島店,,SOGO HIROSHIMA,341002,,広島県広島市中区基町6-27,,,,,,34.39599 ,132.45714,,,,,,,,,,,
341002,,,広島県広島市,広島市文化交流会館,,"Concert Hall, Hotel",341002,,広島市中区国泰寺町一丁目6番34号,,,,,,34.386725,132.454945,,,,,,,,,,,
341002,,,広島県広島市,広島市役所 市民ロビー,,Hiroshima City Office,341002,,広島県広島市中区国泰寺町1丁目6-34,,,,,,34.386725,132.454945,,,,,,,,,,,
341002,,,広島県広島市,広島市役所 観光政策部フロア,,Hiroshima City Office,341002,,広島県広島市中区国泰寺町1丁目6-34,,,,,,34.386725,132.454945,,,,,,,,,,,
341002,,,広島県広島市,広島市役所 議会ロビー,,Hiroshima City Office,341002,,広島県広島市中区国泰寺町1丁目6-34,,,,,,34.386725,132.454945,,,,,,,,,,,
341002,,,広島県広島市,平和記念公園レストハウス,,Rest House Hiroshima City Tourist Information Center,341002,,広島県広島市中区中島町1-1,,,,,,34.393786,132.453275,,,,,,,,,,,
341002,,,広島県広島市,アステールプラザ,,ASTER PLAZA,341002,,広島県広島市加古町 4-17,,,,,,34.387594,132.44807,,,,,,,,,,,
341002,,,広島県広島市,広島市交通科学館,,Hiroshima City Transportation Science Museum,341002,,広島県広島市安佐南区長楽寺2丁目12-2,,,,,,34.47063,132.428229,,,,,,,,,,,
341002,,,広島県広島市,上村汽船（第八きりくし）,,Kirikushi-Nishioki Port,341002,,,,,,,,34.28434,132.475663,,,,,,,,,,,
341002,,,広島県広島市,上村汽船（第十きりくし）,,Kirikushi-Nishioki Port,341002,,,,,,,,34.28434,132.475663,,,,,,,,,,,
341002,,,広島県広島市,広島駅周辺（猿猴川沿い）,,Riverside Stop,341002,,広島県広島市南区松原町,,,,,,34.3954371,132.4699228,,,,,,,,,,,
341002,,,広島県広島市,観光サイン（立町）,,Tourist sign (Tatemachi),341002,,広島県広島市中区立町２−２９,,,,,,34.3942945,132.4596591,,,,,,,,,,,
