rank,city,official_name_ja,display_name_ko,official_name_en,official_source_url,anchor_type,official_source_type,classification,mcp_one_to_one_status,mcp_product_count,gap_score,matched_product_titles,matched_product_urls,evidence_levels,tour_detail_evidence_levels,evidence_policies,match_evidence,follow_up_action
1,후쿠오카,ぐりんぐりん,구린구린,,https://yokanavi.com/spots/27027,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
2,후쿠오카,アクロス福岡,아크로스 후쿠오카,,https://yokanavi.com/spots/26820,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
3,후쿠오카,キャナルシティ博多,캐널시티 하카타,,https://yokanavi.com/spots/26792,place,tourism_facility,검증된 대표 경험,1대다 대응 확인,3,0.0,"[당일] 눈과 입이 즐거운 식도락의 도시, 후쿠오카 시티투어 (비디오 가이드) #1+1 | [유후인/벳푸/후쿠오카 프라이빗] 일본 큐슈 2일 프라이빗 투어 (FUK-2020) | [후쿠오카/유후인/벳푸/구마모토 프라이빗] 일본 큐슈 3일 알찬 투어 (FUK-2030)",https://experiences.myrealtrip.com/products/3841906 | https://experiences.myrealtrip.com/products/4159277 | https://experiences.myrealtrip.com/products/4159287,tour_detail_confirmed | tour_detail_confirmed | tour_detail_confirmed,해당 없음,투어 상세 일정·소개·포함사항에서 실제 장소 방문을 직접 확인했다. | 투어 상세 일정·소개·포함사항에서 실제 장소 방문을 직접 확인했다. | 투어 상세 일정·소개·포함사항에서 실제 장소 방문을 직접 확인했다.,"전체 일정 · 코스1 · 캐널시티 하카타: 캐널시티 하카타 '스타필드', '타임스퀘어', '아이파크몰'과 같은 복합 쇼핑몰입니다. 다양한 패션 소품 상점부터 음식점, 카페, 영화관 등이 있죠. 또한, 이곳에서는 분수 쇼도 있어서 볼거리와 즐길 거리가 가득합니다. | 전체 일정 · 코스1 · ◆ 캐널 시티 히카타: ◆ 캐널 시티 히카타 캐널시티 하카타는 단순한 쇼핑몰이 아니라 '도시속의 하나의 도시' '즐거움이 교차하는 미래도시형 공간'을 컨셉으로 15만평의 부지위에 만든 미래도시 입니다. 6개 대형건물이 마치 하나의 쇼핑몰을 이루듯 모여있고, 그 사이를 길이 180m의 인공운하가 구불구불 흐르면서 역동적인 공간을 연출하고 있습니다. | 전체 일정 · 코스1 · ◆ 캐널 시티 히카타: ◆ 캐널 시티 히카타 캐널시티 하카타는 단순한 쇼핑몰이 아니라 '도시속의 하나의 도시' '즐거움이 교차하는 미래도시형 공간'을 컨셉으로 15만평의 부지위에 만든 미래도시 입니다. 6개 대형건물이 마치 하나의 쇼핑몰을 이루듯 모여있고, 그 사이를 길이 180m의 인공운하가 구불구불 흐르면서 역동적인 공간을 연출하고 있습니다.",번역명/상세일정/파트너 후보 검토
4,후쿠오카,世界の建築家通り,세계의 건축가 거리,,https://yokanavi.com/spots/27025,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
5,후쿠오카,天神地下街,덴진 지하상점가,,https://yokanavi.com/spots/27127,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
6,후쿠오카,福岡市赤煉瓦文化館,후쿠오카시 아카렌가 문화관,,https://yokanavi.com/spots/26950,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
7,후쿠오카,福岡銀行本店,후쿠오카은행 본점,,https://yokanavi.com/spots/27020,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
8,후쿠오카,'【パブリックアート】天神西交差点広場／平和の門ほか,덴진 니시교차로 광장,,https://yokanavi.com/spots/27021,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
9,후쿠오카,福岡アジア美術館,후쿠오카 아시아미술관（일시 휴관 중）,,https://yokanavi.com/spots/26794,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
10,후쿠오카,福岡市美術館,후쿠오카시 미술관,,https://yokanavi.com/spots/26815,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
11,후쿠오카,「博多町家」ふるさと館,하카타마치야 후루사토칸,,https://yokanavi.com/spots/26812,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
12,후쿠오카,はかた伝統工芸館（ ※2025年5月2日（金曜日）博多区博多駅前一丁目に移転オープン！）,하카타 전통공예관 ※2025년 5월 2일(금요일) 하카타구 하카타역 앞 잇쵸메에 이전 오픈!,,https://yokanavi.com/spots/27178,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
13,후쿠오카,キャナルシティ劇場,캐널시티 극장,,https://yokanavi.com/spots/26818,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
14,후쿠오카,博多伝統芸能館,하카타 전통 예능관,,https://yokanavi.com/spots/119804,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
15,후쿠오카,博多座,하카타자,,https://yokanavi.com/spots/26817,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
16,후쿠오카,大濠公園能楽堂,오호리공원 노가쿠당,,https://yokanavi.com/spots/26992,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
17,후쿠오카,福岡おもちゃ美術館,후쿠오카 장난감 미술관,,https://yokanavi.com/spots/235901,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
18,후쿠오카,福岡市博物館,후쿠오카시 박물관,,https://yokanavi.com/spots/26814,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
19,후쿠오카,福岡県立美術館,후쿠오카현립 미술관,,https://yokanavi.com/spots/26821,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
20,후쿠오카,アイランドシティ中央公園,아일랜드시티 중앙 공원,,https://yokanavi.com/spots/27026,place,tourism_facility,MCP 추가 수집 필요,없음,0,,없음,없음,없음,해당 없음,없음,없음,번역명/상세일정/파트너 후보 검토
