全国地方公共団体コード,ID,"地方
公共団体名",名称(必須）,名称_カナ,名称_通称,名称_英語,文化財分類(必須）,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度(必須）,経度(必須）,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,最終更新履歴
273619,273619CP0001,泉南郡熊取町,来迎寺本堂,ライゴウジホンドウ,,Raigouji Temple Main Hall,重要文化財,建造物,,273619,,大阪府泉南郡熊取町和田3765,大阪府,泉南郡熊取町,和田,3-3765,,34.38659,135.36163,標高,70.5,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,1,棟,,来迎寺,1949/5/30,,,,,,,,,来迎寺本堂は、鎌倉時代の建築様式を持っており、昭和２４年、国指定の重要文化財の指定を受けました。寺の創建・沿革などは不明ですが、瓦の端部を細くし、１枚ずつずらすように葺きあげる「行基葺」が特徴です。,"This temple, built in the style of the Kamakura Period, was designated as an Important Cultural Property of Japan in 1949.
One of its key features is the Gyoki-buki style of roofing, in which the sdges of the tiles are thin, and the tiles partially overlap each other.",,,2025/6/23
273619,273619CP0002,泉南郡熊取町,降井家書院,フルイケショイン,,,重要文化財,建造物,,273619,,大阪府泉南郡熊取町大久保中2-6-13,大阪府,泉南郡熊取町,大久保中,2-6-13,,34.401907,135.343888,標高,26.7,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,1,棟,,,,,,,,,,江戸時代に隆盛をふるった降井家の現存する書院は数寄屋風を加味した造りで、江戸時代の熊取の生活を垣間見ることができる貴重な歴史建造物です。ただし、見ることができるのは年一度の一般公開時のみ（11月上旬）。,"A study built in the shoin style with glimpses of 
the sukiya style, too, this is part of the Furui 
residence, a well-to-do family of the Edo period 
(1600?1868). It is open to the public briefly in 
early November, so come and get a peek at life 
in Kumatori in that era.",降井家は江戸時代、岸和田藩の七人庄屋をつとめた旧家で、書院は地方の庄屋の邸宅に付属する好例とみなされ、昭和27年(1952)、国の重要文化財になりました。八畳の上段の間と十二畳の次の間からなり、江戸時代初期の建築と考えられています。数寄屋風をたぶんに加味した造りは、熊取の庄屋の生活の一端をうかがうことができます。,,,,2025/6/23
273619,273619CP0003,泉南郡熊取町,中家住宅,ナカケジュウタク,,The Naka Family Residence,重要文化財,建造物,,273619,,大阪府泉南郡熊取町五門西1-11-18,大阪府,泉南郡熊取町,五門西,1-11-18,,34.40076,135.34846,標高,31,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,1,棟,,熊取町,1964/5/29,月火木金土日,10:00,16:30,"1，2，8月は土日曜日と祝日のみ可。
上記以外の月は、水曜日が不可（ただし祝日の場合は翌日が不可）。
12/29～1/3は不可",,,,,江戸時代、岸和田藩の七人庄屋の筆頭をつとめた中家の居宅で、昭和３９年に国指定重要文化財に指定されました。独立性の強い土間は近畿地方でも最大規模です。また平安時代後期に後白河法皇が熊野詣の際に立ち寄り、行宮（仮設の御所）とされたと伝えられています。,"A house from the Edo Period, known as the Naka House, which belonged to the venerable Naka family, the family of the village headman. In 1964, it was designated as an Important Cultural Property of Japan. The house features one of the largest doma of earthen floors in the Kinki rergion. In the Heian Period, Emperor Go-Shirakawa is believed to have called in and lodged here on his way to visit the Kumano shrines.",,,2025/6/23
273619,273619CP0004,泉南郡熊取町,日根荘遺跡土丸・雨山城跡,ヒネノショウイセキツチマル・アメヤマジョウアト,,Tsuchimaru Ameyama Castle Ruins,史跡,,,273619,,大阪府泉南郡熊取町大字野田72ほか,大阪府,泉南郡熊取町,大字野田,72ほか,,34.36815,135.36576,標高,312,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,,,,熊取町ほか,2013/10/17,,,,,,,,,熊取町大字野田の雨山の山頂には、本丸跡・千畳敷・月見亭と呼ばれる平坦地や井戸があり、室町時代（南北朝時代を含む）に橋本正高などの武将が、紀州と和泉を結ぶ粉河街道の要衝に位置するこの場所を選んで山城を築いたと伝わっています。また泉佐野市の城の山山頂の土丸城跡とを結ぶ広範囲に、多くの遺構や土器・瓦がみつかり、二つの山城が一つの巨大な山城であったことが判明したため、この山城の名称を両城からとって、土丸・雨山城跡に統一し、泉佐野市に存在した九条家の荘園日根荘をはじめとする周囲一円を抑えていたと考えられることから、国史跡日根荘遺跡に追加指定されました。,,,,2025/6/23
273619,273619CP0005,泉南郡熊取町,雨山のヤマモモ,アメヤマノヤマモモ,,,"大阪府指定
天然記念物",,,273619,,大阪府泉南郡熊取町大字野田,大阪府,泉南郡熊取町,大字野田,,,34.36815,135.36576,標高,312,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,1,本,,大森神社,2016/4/5,,,,,,,,,"熊取町大字野田の雨山山頂に樹高8.5メートル、幹周り3.8メートル、枝張12メートルを測るひときわ大きなヤマモモがあります。
山頂にあって冬の強い季節風の影響を受けるために樹高が低いものの、高地でありながらこれだけの大きさがあることが珍しく、また、巨大な山城が築かれた雨山の中央部にある古木であることなどが評価され、平成28年4月5日に大阪府の天然記念物（植物）の指定を受けました。
樹齢については現在のところ不明ですが、江戸時代の地誌『和泉志』の日根郡の部に、泉佐野の大木・土丸や熊取の高田付近にヤマモモが自生していたことが記されています。",,,,2025/6/23
273619,273619CP0006,泉南郡熊取町,東円寺跡出土軒丸瓦及び軒平瓦,トウエンジアトシュツドノキマルカワラオヨビノキヒラカワラ,,,"町指定
美術工芸品",,熊取交流センター,273619,,大阪府泉南郡熊取町五門西1-10-1,大阪府,泉南郡熊取町,五門西,1-10-1,熊取交流センター,34.40106,135.34975,階数,1,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,1,括,,熊取町教育委員会,1996/3/13,,,,,,,,,熊取町役場の南側の「トヨジ」「大門」などの小字名が残る水田では、古くから瓦が出土しており、寺院が存在していたことが知られています。 出土した蓮華文軒丸瓦と唐草文軒平瓦の文様は平安時代末期頃のこの寺院固有のもので、大変貴重です。,,,,2025/6/23
273619,273619CP0007,泉南郡熊取町,熊取神踊り（雨山踊り）用具,クマトリコオドリ（アメヤマオドリ）ヨウグ,,,"町指定
有形民俗文化財",,熊取交流センター,273619,,大阪府泉南郡熊取町五門西1-10-1,大阪府,泉南郡熊取町,五門西,1-10-1,熊取交流センター,34.40106,135.34975,階数,1,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,3,口,,熊取町教育委員会,1996/3/13,,,,,,,,,"熊取の神踊りは、和泉地域に広く分布した「太鼓踊り」の一種で雨乞いの踊りです。
 その一つに「雨山踊り」があり、現在締太鼓（明治6年）と、歌本（江戸末期のものを含む）が残っており、熊取独自の貴重な民俗文化財です。",,,,2025/6/23
273619,273619CP0008,泉南郡熊取町,伊勢型紙,イセカタガミ,,,"町指定
美術工芸品",,熊取交流センター,273619,,大阪府泉南郡熊取町五門西1-10-1,大阪府,泉南郡熊取町,五門西,1-10-1,熊取交流センター,34.40106,135.34975,階数,1,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,268,点,,熊取町教育委員会,1996/3/13,,,,,,,,,三重県鈴鹿市白子・寺家の型紙師によって生産された染色用の型紙で、江戸時代に全国にひろがっていきました。町指定の型紙は、大宮の個人から寄贈されたもので、本町に「紺屋」（染物屋）が存在していたことがわかる貴重な資料です。,,,,2025/6/23
273619,273619CP0009,泉南郡熊取町,雨山,アメヤマ,,Mt.Ameyama,"町指定
名勝",,,273619,,大阪府泉南郡熊取町大字野田72ほか,大阪府,泉南郡熊取町,大字野田,72ほか,,34.36815,135.36576,標高,312,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,,,,熊取町ほか,1996/3/13,,,,,,,,,標高312メートル、山頂には雨山神社が鎮座し、古くから雨乞いの山として信仰を集める熊取の象徴的な山です。旱魃時には村人が雨乞いのために登りました。現在でも9月1日、雨山の麓の成合地区が「八朔」という行事を行っています。,,,,2025/6/23
273619,273619CP0010,泉南郡熊取町,橋本宗吉電気実験の地,ハシモトソウキチデンキジッケンノチ,,,"町指定
史跡",,,273619,,大阪府泉南郡熊取町五門西1-11-18,大阪府,泉南郡熊取町,五門西,1-11-18,重要文化財中家住宅,34.4008,135.34836,標高,31,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,,,,熊取町,1996/3/13,,,,,,,,,江戸時代中頃、蘭学者橋本宗吉と中家当主が中家住宅邸内の松を使って電気誘導の実験を行いました。この実験は、宗吉の著書『阿蘭陀始制エレキテル究理原』に「泉州熊取谷にて天の火をとりたる図説」として紹介され、わが国の電気学の発展に大きく寄与しました。,,,,2025/6/23
