全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考
402036,,000000000001,久留米市,地場産くるめ,ジバサンクルメ,,,402036,136005,福岡県久留米市東合川5丁目8-5,福岡県,久留米市,東合川5丁目,8-5,,33.31958045,130.5551532,,,,,,,,,筑後の伝統工芸品や物産が、地域産業、生産組合の24業者から出品、展示されており、即売も行っています。久留米絣関係の資料室や郷土の土産品コーナーに人気があります。,,,,,,,,,,,,,,,,,,,,,,0942-44-3700,,,,,839-0809,,,https://welcome-kurume.com/spots/detail/fe8b8ca3-cf92-4cd2-b85e-82bd494adf10,
402036,,000000000002,久留米市,久留米市天文台,クルメシテンモンダイ,,,402036,71000,福岡県久留米市城島町浜293,福岡県,久留米市,城島町浜,293,,33.26743059,130.4323786,,,,,,,,,口径40cmの反射望遠鏡を備えた本格的な施設です。毎週土曜日に無料で開催される「天体観測会」は誰でも気軽に参加することができます。またたく星や、広い宇宙にロマン感じる天文台です。,,,,,,,,,,,,,,,,,,,,,,0942-62-6226,,,,,830-0203,,,,
402036,,000000000003,久留米市,来てん見てん山苞の道,キテンミテンヤマヅトノミチ,,,402036,,福岡県久留米市田主丸町,福岡県,久留米市,田主丸町,,,33.323042,130.673923,,,,,,,,,"耳納山中腹の全長約5,5キロメートルの農面道路を「山包の道（ヤマヅトノミチ）」と名付けて、周辺にあるギャラリーや工房などを一斉開放します。また、地域住民による手作り品や農産物なども販売し、自然を満喫できるイベントです。",,,,,,,,,,,,,,,,,,,,,,,,,,,839-1213,,,https://welcome-kurume.com/spots/detail/dd15f83b-08f0-4ca0-be7e-cfa7c327536c,
402036,,000000000004,久留米市,石橋文化センター,イシバシブンカセンター,,,402036,132000,福岡県久留米市野中町1015,福岡県,久留米市,野中町,1015,,33.3129064,130.5304719,,,,,,,,,株式会社ブリヂストン創業者石橋正二郎氏より郷土久留米市に寄贈されました。。バラやツバキなど四季折々の花が彩る広大な庭園を有し、久留米市美術館をはじめ、音楽ホールや図書館を備える複合文化施設です。花と緑にあふれた園内は、市民の憩いの場として、芸術文化の拠点として、多くの人々に親しまれています。,,,,,,,,,,,,,,,,,,,,,,0942-33-2271,,,,,839-0862,,,https://welcome-kurume.com/spots/detail/0e14e9cd-f9a1-4a1e-aa3b-e88f6f14fd24,
402036,,000000000005,久留米市,ブリヂストン通り,ブリヂストンドオリ,,,402036,,福岡県久留米市京町、旭町,福岡県,久留米市,京町、旭町,,,33.324826,130.506071,,,,,,,,,通りの両側に植えられた２１５本のケヤキは、四季折々に多彩な表情を見せ、赤レンガ敷きの歩道を歩く人々に安らぎと潤いを与えます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402036,,000000000006,久留米市,からくり太鼓時計,カラクリダイコドケイ,,,402036,74000,福岡県久留米市城南町2-21,福岡県,久留米市,城南町,2-21,,33.320375,130.502339,,,,,,,,,郷土の偉人「からくり儀右衛門(ぎえもん)」こと「田中久重」の生誕200年及び久留米市制施行110周年、九州鉄道開通久留米駅設置110周年を記念して、JR久留米駅前広場に、平成11年11月13日に設置しました。からくり時計は、からくり儀右衛門 が製作した「太鼓時計」をモチーフに、定時になると、時計盤が回転し、儀右衛門人形が現れ、自分が成作考案した作品の一部を身振り手振りで説明する仕掛けです。演出時間は午前8時から午後7時までの毎正時に約5分間。実演には、久留米市出身やゆかりの方々（中村八大、松田聖子、チェッカーズ等）の音楽（BGM）が流れます。,,,,,,,,,,,,,,,,,,,,,,,,,,,830-0022,,,https://welcome-kurume.com/spots/detail/ba17882e-ea6e-4fc0-aab8-5974c630952c,
402036,,000000000007,久留米市,サイクルファミリーパーク,サイクルファミリーパーク,,,402036,153000,福岡県久留米市御井町2028-7,福岡県,久留米市,御井町,2028-7,,33.300952,130.546601,,,,,,,,,久留米サイクルファミリーパークは、家族連れが気軽に遊べる自転車のテーマパークとして、競輪場の東側に作られた広々とした公園です。 園内には、おもしろ自転車や、家族で楽しむことが出来る2～4人乗りの自転車、本格的なマウンテンバイクコースなど様々な自転車や「サイクルコース」があります。,,,,,,,,,,,,,,,,,,,,,,0942-45-5656,,,,,839-0851,,,https://welcome-kurume.com/spots/detail/05fa2ac3-36ca-47c9-96c7-ec24a14c747e,
402036,,000000000008,久留米市,レンタサイクル,レンタサイクル,,,402036,,福岡県久留米市,福岡県,久留米市,,,市内各所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0942-31-1717,,,,,,,,https://welcome-kurume.com/useful/bicycle/,
402036,,000000000009,久留米市,三潴の黒松,ミヅマノクロマツ,,,402036,,福岡県久留米市三潴町,福岡県,久留米市,三潴町,,,,,,,,,,,,,百数十年前、作庭家阿理成（ほとりじょう）の手伝いをしていた三潴在住の岩熊荘太郎が、庭園樹「黒松」の原型を完成させました。伝統に支えられた整枝技法により、一年中、美しい色と形が楽しめます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402036,,000000000010,久留米市,そろばん踊り,ソロバンオドリ,,,402036,,福岡県久留米市,福岡県,久留米市,,,,,,,,,,,,,,全国的に知られる久留米の代表的な唄のひとつ。もともと明治期に唄われていた「久留米の機織り娘」と言う曲でした。昭和47年に始まった「久留米水の祭典」ではそろばんをもって踊りながら行進するようになりました。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402036,,000000000011,久留米市,ＪＲ久留米駅,ジェーアールクルメエキ,,,402036,,福岡県久留米市,福岡県,久留米市,,,,33.320563,130.501239,,,,,,,,,平成22年、九州新幹線久留米駅が併設された新駅舎が完成しました。筑後川や櫨などの四季折々の花木が描かれたステンドグラスが、東西の玄関口と構内通路「ほとめき広場」を彩り、訪れる人びとを温かく迎えます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://welcome-kurume.com/photos/detail/cb1953dd-9c68-45d2-9c6e-b2e26e39e02d,
402036,,000000000012,久留米市,久留米市役所,クルメシヤクショ,,,402036,74000,福岡県久留米市城南町15-3,福岡県,久留米市,城南町,15-3,,33.31931986,130.5082048,,,,,,,,,「今世紀を創った世界建築家100人」にも選ばれた菊竹清訓氏設計による市庁舎。その最上階にある展望ロビーからの眺めは、筑後川や宝満川、背振山、雲仙普賢岳まで、筑後平野の大パノラマです。,,,,,,,,,,,,,,,,,,,,,,0942-30-9059,,,,,830-8520,,,https://welcome-kurume.com/spots/detail/33f4b433-986b-49c7-8cd5-3dbb6482593e,
402036,,000000000013,久留米市,平原公園,ヒラバルコウエン,,,402036,114000,福岡県久留米市田主丸町森部1312,福岡県,久留米市,田主丸町森部,1312,,33.319485,130.715145,,,,,,,,,標高300mで筑紫平野や筑後川の全景を一望におさめる森林公園。春には桜(約800本)やつつじ。秋には紅葉に彩られ、周辺は平原古墳群が点在し、花見などで賑い、鷹取山登山道の入口もあります。,,,,,,,,,,,,,,,,,,,,,,,,,,,839-1211,,,https://welcome-kurume.com/spots/detail/97da96ed-21f4-4e0f-867d-e8665b87480b,
402036,,000000000014,久留米市,久留米百年公園,クルメヒャクネンコウエン,,,402036,143000,福岡県久留米市百年公園2432-1,福岡県,久留米市,百年公園,2432-1,,33.321021,130.533987,,,,,,,,,平成元年、久留米市の市制100周年を記念し造営された久留米百年公園。芝生広場やイベント広場、多目的広場等があり、桜の時期には約200本の桜が咲く高良川の堤防や筑後川河川敷に接しています。,,,,,,,,,,,,,,,,,,,,,,0942-32-4882,,,,,839-0864,,,https://welcome-kurume.com/spots/detail/d83b256c-7157-4409-a6d9-a76e603df935,
402036,,000000000015,久留米市,久留米森林つつじ公園,クルメシンリンツツジコウエン,,,402036,153000,福岡県久留米市御井町299-354,福岡県,久留米市,御井町,299-354,,33.29870034,130.5739837,,,,,,,,,"高良大社の奥の院の東側の耳納スカイラインの途中にあるところが、久留米つつじで知られる「久留米森林つつじ公園」です。公園には100種61,000株のつつじが植えられ、4月中旬から連休までが見頃です。また、桜や楓などがあり春秋に彩りを添えています。　",,,,,,,,,,,,,,,,,,,,,,,,,,,839-0851,,,https://welcome-kurume.com/spots/detail/c32a775d-6f82-4835-9011-e6a1b1ee87cf,
402036,,000000000016,久留米市,発心公園,ホッシンコウエン,,,402036,42000,福岡県久留米市草野町草野664-1,福岡県,久留米市,草野町草野,664-1,,33.31352452,130.6366892,,,,,,,,,耳納北麓の自然に抱かれ、草野の古い町並みの山手にある発心公園はピクニックにはもってこいの公園です。 また、歴代藩主の花見の場所といわれ、春は約170本の桜が咲き誇り、毎年花見客で賑わいます。 夏は山の緑や涼を求め、発心川の谷で遊ぶ事ができ、秋はもみじ谷の紅葉がきれいです。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,839-0835,,,https://welcome-kurume.com/spots/detail/f334577c-73a8-44b1-a88a-a57200f8b9e7,
402036,,000000000017,久留米市,耳納連山,ミノウレンザン,,,402036,,福岡県久留米市市内東部,福岡県,久留米市,,,市内東部,,,,,,,,,,,筑後一の宮の高良大社が鎮座する耳納連山。古生代の終わりごろに（約２億年から３億年くらい前）、度重なる断層運動によって東西方向の山脈ができました。東西は、３０キロに及び、東から最高峰の鷹取山、発心山、耳納山、高良山と、屏風のように切り立って見えるところから「屏風山」ともいわれています。耳納連山には、数千基ともいわれる古墳があり、古代から人々はこの連山を特別なものと見ていたのでしょう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://welcome-kurume.com/spots/detail/d7afd869-4383-4413-ad29-2d6b741bbe09,
402036,,000000000018,久留米市,下馬場古墳,シモババコフン,,,402036,45000,福岡県久留米市草野町吉木2263ほか,福岡県,久留米市,草野町吉木,2263ほか,,33.313771,130.622782,,,,,,,,,下馬場古墳は、6世紀後半に築造されたと考えられ、前畑古墳や今は存在しない薬師下北・南古墳などとともに、吉木古墳群と呼ばれています。,,,,,,,,,,,,,,,,,,,,,,,,,,,839-0836,,,,
402036,,000000000019,久留米市,御塚・権現塚古墳,オンヅカ・ゴンゲンヅカコフン,,,402036,88000,福岡県久留米市大善寺町宮本,福岡県,久留米市,大善寺町宮本,,,33.2794464,130.477648,,,,,,,,,大善寺にある御塚・権現塚は市内にある古墳時代の遺跡として有名です。御塚は帆立貝式前方後円墳で全長123メートルの三重の周濠がめぐっています。また、権現塚は円墳で全長150メートルの周濠が二重にめぐっています。,,,,,,,,,,,,,,,,,,,,,,,,,,,830-0073,,,https://welcome-kurume.com/spots/detail/42db2e8a-61d7-40ed-8d6b-283fb070b839,
402036,,000000000020,久留米市,高良山神籠石,コウラサンコウゴイシ,,,402036,153000,福岡県久留米市御井町1,福岡県,久留米市,御井町,1,,,,,,,,,,,,神籠石（こうごいし）とは、山に巨石が並べられている遺跡のことで、「鬼が造ったもの」であるとか、「神域の結界を表すもの」であるなどと言われていましたが、現在では、飛鳥時代ごろに作られた山城であると考えられています。高良山の神籠石は、ほかの神籠石にさきがけて、学会に報告され、神籠石という遺跡の名前の発祥となりました。,,,,,,,,,,,,,,,,,,,,,,,,,,,839-0851,,,https://welcome-kurume.com/knows/story/kurume_story09.html,
