都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,情報登録日,情報更新日,備考
26000,0000000629,京都府,京丹後市,縁城寺,エンジョウジ,,,京都府京丹後市峰山町橋木873,,35.659433 ,135.069206 ,,,,拝観自由,,,「橋木の観音さん」として親しまれている。養老元年（717）にインドの僧、善無畏三蔵が創建した古刹。桓武天皇より勅願を頂き、弘法大師より発信貴山の山号をつけられた。寺宝の千手観音（非公開）、宝篋印塔は、国の重要文化財の指定をうけている。,,京都丹後鉄道宮豊線「峰山」駅から丹後海陸交通バスで「矢田橋」下車、徒歩30分,,,縁城寺,0772-62-0957,,,,,2009-07-13,2019-03-07,
26000,0000009451,京都府,京丹後市,間人のお宿炭平,タイザノオヤドスミヘイ,,,京都府京丹後市丹後町間人,,35.728973 ,135.087985 ,,,,,,,海と山に囲まれ、ひっそりと佇む小さなお宿。全ての客室から雄大な日本海、そして素晴らしい夕日を眺めることができます。,,京都丹後鉄道宮豊線「網野」駅から車で10分,,,間人のお宿炭平,0772-75-0005,,,,http://www.sumihei.com/,2011-07-26,2019-03-07,
26000,0000000630,京都府,京丹後市,磯砂山,イサナゴサン,,,京都府京丹後市峰山町鱒留,,35.548532 ,135.038110 ,,,,,,,"標高661m、頂上へ続く1,010段を登り切るのが、磯砂山登山の醍醐味。羽衣伝説の舞台となった山で、2つの登山コースがある。途中、天女が水浴びをしたと伝えられる「女池」が、また山頂には「天女のモニュメント」がある。山頂からの眺めは素晴らしく、大江山、天橋立、小天橋が一望できる。この山のふもとの「乙女神社」は、天女が生んだ3人の娘の一人を祀っており、お参りすると美女が授かるといわれている。",,京都丹後鉄道宮豊線「峰山」駅から丹後海陸交通バスで30分「大路口」下車、徒歩2時間程度で山頂へ（登山・ハイキングとして）,,,京丹後市商工観光部観光振興課,0772-69-0450,,,,,2009-07-13,2019-03-07,
26000,0000009486,京都府,京丹後市,熊野神社,クマノジンジャ,,,京都府京丹後市久美浜町,,35.612763 ,134.911196 ,,,,拝観自由,,,丹波道主命と川上摩須朗女の孫娘が皇后になったことを喜び、川上摩須によってかぶと山山頂に建立したと伝えられている。また、この地の旧地名「熊野郡」の名のもとになったともいわれます。久美浜湾と日本海が一望できるビューポイントかぶと山展望台もある。,,山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約40分,,,久美浜町観光総合案内所,0772-82-1781,,,,,2011-12-13,2019-03-08,
26000,0000000631,京都府,京丹後市,金刀比羅神社,コトヒラジンジャ,,,京都府京丹後市峰山町泉1165-2,,35.621201 ,135.060260 ,,,,拝観自由,,,江戸時代に7代藩主・京極高備（たかまさ）により、四国の金毘羅権現の分霊をお迎えしたもの。家内安全、学業成就、商売繁盛、縁結びなどのご利益があるといわれている。全国でも珍しい「狛猫」は、ちりめんで栄えた丹後の象徴である。,,京都丹後鉄道宮豊線「峰山」駅から丹後海陸交通バスで「金刀比羅神社前」下車,,,金刀比羅神社,0772-62-0225,,,,http://www.konpirasan.com/,2009-07-13,2019-03-07,
26000,0000008449,京都府,京丹後市,たんご朝市,タンゴアサイチ,,,京都府京丹後市網野町網野367,,35.681516 ,135.025512 ,,,,毎週日曜日8時～10時頃まで,,,アミティ丹後駐車場内で開催。地元の新鮮な野菜・鮮魚・海産物、季節のくだもの、ごはん、もち等を販売。,,京都丹後鉄道宮豊線「網野」駅から丹後海陸交通バスで「アミティ・網野庁舎前」下車すぐ山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約30分,,,公益財団法人丹後地域地場産業振興センター（アミティ丹後）,0772-72-5261,,,,http://www.tango.jibasan.jp,2009-07-13,2021-03-04,
26000,0000000634,京都府,京丹後市,吉原山城趾,ヨシハラヤマジョウシ,,,京都府京丹後市峰山町吉原,,35.606464 ,134.974471 ,,,,見学自由,,,標高181m、京都府の歴史的自然環境保全地域にも指定されている権現山にある峰山城跡。戦国の武将、一色、細川、京極藩主が蔵王権現を祀ったところから権現山とも呼ばれている。春の桜、秋の紅葉で格好の散策地になっている。,,京都丹後鉄道宮豊線「峰山」駅から丹後海陸交通バスで10分「峰山」下車、徒歩1時間程度で山頂へ,,,京丹後市教育委員会,0772-69-0640,,,,,2009-07-13,2019-03-07,
26000,0000008329,京都府,京丹後市,丹後温泉はしうど荘,タンゴオンセンハシウドソウ,,,京都府京丹後市丹後町間人632-1,,35.740601 ,135.102710 ,休日：第2・第4火曜日（7/20～8/20は無休）,,,宿泊　チェックイン　15時　チェックアウト　10時日帰入浴　平日　16時～22時（受付は21時30分まで）　土曜日、日曜日、祝日　13時～22時（受付は21時30分まで）料理のみの利用　昼　11時～　夜　17時～,,,丹後町間人（たいざ）の「立岩」を望むことのできるここ丹後温泉はしうど荘は、ナトリウム・カルシウム硫酸塩泉の良質な温泉で、動脈硬化の予防効果があると言われている。地元間人港に水揚げされる新鮮な食材を使った料理、特に冬の間人カニは絶品です。日本海の波の音を聴きながらの入浴ができる露天もあり、日帰り入浴もできる。予約をすれば食事のみの利用もできる。【泉質】ナトリウム・カルシウム硫酸塩温泉（弱アルカリ性・低張性温泉）【適応症】神経痛、筋肉痛、関節痛、リウマチ、皮膚病、動脈硬化症,,京都丹後鉄道宮豊線「峰山」駅から丹後海陸交通バスで「丹後市民局前」下車※京都丹後鉄道宮豊線「峰山」駅、または京都丹後鉄道宮豊線「網野」駅から送迎有り山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約30分,大型観光バス1台、乗用車25台,車椅子一部可（2階はエレベータ無しのため利用不可、要介助）,丹後温泉はしうど荘,0772-75-2212,,,,http://www.hashiudosou.com/,2009-07-13,2019-03-07,
26000,0000000636,京都府,京丹後市,大宮売神社,オオミヤメジンジャ,,,京都府京丹後市大宮町周枳1022,,35.591228 ,135.101869 ,,,,拝観自由,,,「丹後二の宮」として厚い信仰を集めており、祭神は大宮売神と若宮売神で、平安時代前期の『延喜式』にその名が見える。本殿前の石灯籠2基の右側1基には、「徳治2年3月7日」の刻名があり、鎌倉時代の貴重な石造美術品として、重要文化財に指定されている。また、境内全域が祭祀遺跡であり、同じ場所で神社へと発展する点は注目されている。,,京都丹後鉄道宮豊線「京丹後大宮」駅から丹後海陸交通バスで「周枳」下車、徒歩5分,,,大宮売神社,0772-64-2454,,,,,2009-07-13,2019-03-07,
26000,0000009650,京都府,京丹後市,神谷神社（神谷太刀宮）,カミタニジンジャ（カミタニタチノミヤ）,,,京都府京丹後市久美浜町新町,,35.604043 ,134.892513 ,,,,,,,祟神天皇の時代、四道将軍丹波道主命が出雲より八知矛神（大国主命）を迎えて神谷の地に祀り、道主命亡き後、人々がこれを追幕し現在地に神社を創建し、道主命所有の「国見の剣（くにみのつるぎ）」を神霊として祀り太刀宮と称した。国見の剣が「久美浜」の地名の起こりでもあるといわれる。境内西側の山にある巨岩、磐座（いわくら）は古代祭祀の跡と考えられる。,,京都丹後鉄道宮豊線「久美浜」駅下車、徒歩約10分,,,神谷神社（神谷太刀宮）,,,,,,2015-12-09,2019-03-08,
26000,0000000639,京都府,京丹後市,平地地蔵,ヘイジジゾウ,,,京都府京丹後市大宮町上常吉,,35.542420 ,135.083634 ,,,,拝観自由,,,台座を含むと高さ5.3mの府下で有数の石の立像で、江戸時代後期に建立された。右の頬にあざのような染みがあることから「アザ取り地蔵」とも呼ばれて親しまれている。冬になると、信仰する人々の手によって心尽くしのミノが着せられ、この辺りの名物となっている。京丹後市指定文化財,,京都丹後鉄道宮豊線「京丹後大宮」駅から丹後海陸交通バスで「上常吉」下車、徒歩5分,,,京丹後市教育委員会,0772-69-0640,,,,,2009-07-13,2019-03-07,
26000,0000009584,京都府,京丹後市,久僧海水浴場,キュウソカイスイヨクジョウ,,,京都府京丹後市丹後町久僧,,35.757384 ,135.172449 ,,,,,,,"2021年は8/15で海水浴場開設期間を終了広くて静かなビーチ。温泉施設まで徒歩5分。こちらから海水浴場パンフレットのダウンロードができます""",,京都丹後鉄道宮豊線「網野」駅から丹後海陸交通バス（経ヶ岬行き）で55分「久僧」下車、徒歩5分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約50分,30台,,京丹後市観光公社丹後町支部,0772-75-1500,,,,,2013-07-01,2021-08-17,
26000,0000000641,京都府,京丹後市,大野城址,オオノジョウシ,,,京都府京丹後市大宮町口大野,,35.582114 ,135.090789 ,,,,拝観自由,,,近代地誌類によれば、豊臣秀頼の武将で大坂冬の陣・夏の陣で活躍した大野治長の父、道犬を城主と伝える。深い緑に包まれた城跡は、三段の台地となっており、現在城跡には大野神社がある。,,京都丹後鉄道宮豊線「京丹後大宮」駅下車、徒歩5分,,,京丹後市教育委員会,0772-69-0640,,,,,2009-07-13,2019-03-07,
26000,0000008226,京都府,京丹後市,浜詰温泉,ハマヅメオンセン,,,京都府京丹後市網野町浜詰,,,,,,,,,,しっとりと肌に優しく女性の方に大変喜ばれています。【泉質】アルカリ性単純温泉（低張性アルカリ性高温泉）【適応症】神経痛、筋肉痛、関節痛、五十肩、運動まひ、関節のこわばり、くじき、慢性消化器病など,,京都丹後鉄道宮豊線「夕日ヶ浦木津温泉」駅から車で5分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから府道651号～国道312号～府道17号～国道178号,,,京丹後市観光公社網野町支部,0772-72-0900,,,,,2009-07-13,2019-06-17,源泉
26000,0000000644,京都府,京丹後市,最北子午線塔,サイホクシゴセントウ,,,京都府京丹後市網野町浅茂川,,35.693143 ,135.003127 ,,,,,,無料,日本海を望む景勝の地に建ち、日本標準時子午線東経135度の最北の地をしるす塔。網野町の頭文字の「A」をデザイン化したステンレス製の塔で、高さは5.5m。電源には太陽電池を使用し、日本標準時とグリニッジ標準時をデジタル表示している。,,京都丹後鉄道宮豊線「網野」駅から車で10分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約35分,,,京丹後市観光公社網野町支部,0772-72-0900,,,,,2009-07-13,2019-06-17,
26000,0000009610,京都府,京丹後市,夕日ヶ浦温泉　あまやどりの宿　雨情草庵,ユウヒガウラオンセン　ウジョウソウアン,,,京都府京丹後市網野町木津247,,35.659102 ,134.966728 ,休日：無休,,,宿泊　チェックイン　14時　チェックアウト　11時,,,客室は新潟より築150年の古民家を移築した「宗家」など、温泉露天風呂付はなれ。夕食は丹後の旬を贅沢に。11月からは地蟹料理もご用意します。前菜10皿から始まる食の芸術を目と舌でお楽しみください。,,京都丹後鉄道宮豊線「夕日ヶ浦木津温泉」駅から車で約5分（送迎有り、要予約）山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから車で約35分,普通車5台、無料,車椅子可（一部段差有り、要介助）,夕日ヶ浦温泉　あまやどりの宿　雨情草庵,0772-74-9009,,,,https://www.ama-yadori.com,2014-03-12,2019-03-07,
