都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,遺跡番号,遺跡名称,名称_カナ,遺跡の種類,遺跡の時代,所在地,電話番号,備考
202142,400090001,長野県,茅野市,1,大河原,オオガワラ,散布地,弥生,長野県茅野市北山,0266-76-2386,
202142,400090002,長野県,茅野市,2,城ノ平,ジョウノダイラ,散布地・生産遺跡,旧石器・縄文,長野県茅野市北山蓼科,0266-76-2386,
202142,400090003,長野県,茅野市,3,十文字平,ジュウモンジダイラ,散布地,旧石器,長野県茅野市北山緑山,0266-76-2386,
202142,400090004,長野県,茅野市,4,蓼科,タテシナ,集落跡,縄文,長野県茅野市北山蓼科,0266-76-2386,
202142,400090005,長野県,茅野市,5,渋川Ⅰ,シブカワイチ,散布地,旧石器,長野県茅野市北山蓼科,0266-76-2386,
202142,400090006,長野県,茅野市,6,渋川Ⅱ,シブカワニ,散布地,旧石器,長野県茅野市北山蓼科,0266-76-2386,
202142,400090007,長野県,茅野市,7,琵琶石岩陰,ビワイシイワカゲ,集落跡,旧石器・縄文,長野県茅野市北山白樺湖,0266-76-2386,
202142,400090008,長野県,茅野市,8,南岸,ナンガン,散布地,旧石器・平安,長野県茅野市北山白樺湖,0266-76-2386,
202142,400090009,長野県,茅野市,9,御座岩岩陰,ゴザイワイワカゲ,散布地,旧石器・縄文･弥生・平安・中世,長野県茅野市北山白樺湖,0266-76-2386,
202142,400090010,長野県,茅野市,10,御小屋之久保,オコヤノクボ,散布地,旧石器・縄文・平安,長野県茅野市北山白樺湖,0266-76-2386,
202142,400090011,長野県,茅野市,11,山の神,ヤマノカミ,集落跡,平安,長野県茅野市北山柏原,0266-76-2386,
202142,400090012,長野県,茅野市,12,奈良宇崎,ナラウザキ,集落跡,縄文・平安,長野県茅野市北山柏原,0266-76-2386,
202142,400090013,長野県,茅野市,13,栃窪岩陰,トチクボイワカゲ,散布地,旧石器・縄文・弥生・平安・近世,長野県茅野市北山柏原,0266-76-2386,
202142,400090014,長野県,茅野市,14,上の棚,ウエノタナ,集落跡,縄文,長野県茅野市北山柏原,0266-76-2386,
202142,400090015,長野県,茅野市,15,キツネ原,キツネッパラ,集落跡,縄文,長野県茅野市北山柏原,0266-76-2386,
