行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
図書館deこども落語会,2024/6/1,15:00,2024/6/1,16:00,地元で活躍中のこども落語家さんによる落語会。,図書館本館　視聴覚・講演室,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
2023「植村直己冒険賞」授賞式・記念講演会,2024/6/1,13:30,2024/6/1,16:00,2023「植村直己冒険賞」受賞者への記念品授与及び記念講演会,豊岡市立日高文化体育館,日高振興局地域振興課,0796-21-9056,,,日高,35.4688,134.7706
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/6/1,10:45,2024/6/1,11:45,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
第220回サロンコンサート,2024/6/2,12:30,2024/6/2,13:15,「よもぎだんご」によるアコースティックライブ,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,,,豊岡,35.5445,134.8149
キノコ・粘菌観察会,2024/6/2,13:00,2024/6/2,15:00,葉っぱの粘菌見つけ,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
但馬ドームセンター棟ギャラリー,2024/6/6,,2024/7/6,,"「書道同好会作品発表会」　
出展団体：日高書道同好会",全但バス但馬ドーム　センター棟ギャラリー,全但バス但馬ドーム,0796-45-1900,,,日高,35.4936,134.6868
高校女子ソフトボール兵庫県大会,2024/6/7,,2024/6/9,,県内各ブロックで勝ち抜いた高校女子ソフトボール約32チームが集い、兵庫県のトップを競う。,全但バス但馬ドーム　神鍋高原内グラウンド,日高神鍋観光協会,0796-45-0800,,,日高,35.4937,134.6869
ホタルの夕べ,2024/6/7,19:30,2024/6/7,21:00,ホタル観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
きのさき見て歩き,2024/6/7,9:30,2024/6/7,12:00,桃島池ほとり散策,図書館城崎分館,図書館城崎分館,0796-21-9072,,,城崎,35.6284,134.8133
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/6/8,14:00,2024/6/8,15:00,図書館による託児サービス,図書館竹野分館,図書館本館,0796-23-6151,,,竹野,35.6499,134.7578
多文化交流サロン,2024/6/8,13:30,2024/6/8,,外国人市民が日本で生活していくために大切なことを学びます。防災のことや生活オリエンテーションを実施します。日本や外国の文化、行事等を通じた交流事業も行います。,WACCU TOYOOKA(Aity４階) 学習室,（一社）豊岡市国際交流協会,0796-24-5931,,,豊岡,35.5559,134.8004
コウノトリ野鳥観察会,2024/6/9,13:00,2024/6/9,15:00,コウノトリと野鳥を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/6/9,10:30,2024/6/9,11:30,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,35.4616,134.8752
親善少年少女武道大会,2024/6/9,9:30,2024/6/9,,親善少年少女武道大会として、柔道、空手道、なぎなた、剣道、少林寺拳法の大会を行う。,総合体育館,総合体育館,0796-21-9023,,,豊岡,35.545,134.8226
認知能力・非認知能力を育てる 中国語母語教室,2024/6/9,10:00,2024/6/9,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
2024年度公開講座 出石の歴史を楽しむ,2024/6/11,19:30,2024/6/11,21:00,"2,000人の株主が支えたとされる出石鉄道について、元JR西日本社員の下田誠氏をお招きし、対談形式で出石鉄道の歴史について解説していただきます。",出石庁舎２階　大会議室,出石庁舎,0796-21-9025,,,出石,35.4616,134.8747
豊岡ノーマイカーデー,2024/6/12,0:00,2024/6/12,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
としょかん映画会,2024/6/14,10:30,2024/6/14,,『マイスモールランド』(2022年/114分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
としょかん映画会,2024/6/15,13:30,2024/6/15,,『マイスモールランド』(2022年/114分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
ニトリJD.LEAGUE 2024 第５節豊岡ラウンド,2024/6/15,10:30,2024/6/16,,"女子ソフトボールにおける国内最上位リーグに所属する、地元兵庫のシオノギ、豊田自動織機 （愛知県刈谷市）、日本精工（滋賀県湖南市）、タカギ（福岡県北九州市）の４チームが但馬ドームで熱戦を繰り広げる。
",全但バス但馬ドーム,ニトリJD.LEAGUE豊岡ラウンド実行委員会事務局,0796-42-2505,,https://jdleague.jp/,日高,35.4937,134.6868
