行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問合せ先電話番号,備考,URL,エリア,緯度,経度
法花寺万歳披露と新春落語,2025/1/5,10:30,2025/1/5,,福を呼ぶお正月の伝承芸能である法花寺万歳の披露,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
認知能力・非認知能力を育てる 中国語母語教室,2025/1/5,10:00,2025/1/5,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
豊岡ノーマイカーデー,2025/1/8,0:00,2025/1/8,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
宵田の十日恵比寿まつり,2025/1/10,,2025/1/10,,9日の宵恵比寿から10日の本祭りまで福を求めて多くのお参りがある。商売繁盛、家内安全、景気回復を祈願する。,西宮神社（日高町宵田）,一社）日高神鍋観光協会,0796-45-0800,,,日高,35.4636,134.7761
但馬ドームセンター棟ギャラリー,2025/1/11,,2025/2/9,,飯田浩規「天体写真展示」（仮）　　　出展団体：飯田浩規,全但バス但馬ドーム,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
第39回　プラザ寄席「ふれ愛亭」,2025/1/11,13:30,2025/1/11,,たんたん落語会・たんたん落語笑年団による寄席。創作楽器による音曲もあり。,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,場所：豊岡市民プラザ/ほっとステージ,,豊岡,35.5445,134.8149
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/1/11,14:00,2025/1/11,15:00,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,,但東,34.6451,134.9974
豊岡市消防本部消防出初式,2025/1/11,10:00,2025/1/11,12:00,式典・放水演技等を行う,消防本部・豊岡消防署,消防本部・豊岡消防署,0796-24-1119,,,豊岡,35.5311,134.82
コウノトリ野鳥観察会,2025/1/12,13:00,2025/1/12,15:00,園内でコウノトリと野鳥を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
田ノ口賽の神まつり(大わらじ･大ぞうり奉納),2025/1/13,8:00,2025/1/13,12:00,無病息災を祈って大わらじと大ぞうりを編み、賽(さい)の神に奉納する伝統行事,日高町田ノ口,一社）日高神鍋観光協会,0796-45-0800,,,日高,35.4721,134.6908
事業承継 無料個別相談会,2025/1/17,11:00,2025/1/17,16:30,"個人事業主・中小企業の事業承継に精通した兵庫県事業承継・引継ぎ支援センターの相談員による出張相談会を開催します。
完全予約制・先着順ですので、開催日の１週間前までにお申し込みください。",豊岡商工会議所（豊岡市大磯町1番79号　じばさんTAJIMA6階）,兵庫県事業承継・引継ぎ支援センター,078-303-2299,豊岡商工会議所　0796-22-4456,https://www.city.toyooka.lg.jp/sangyo/kigyoshien/sogyoshien/1022664.html,豊岡,35.5401,134.8257
としょかん映画会,2025/1/17,10:30,2025/1/17,,『アルジャーノンに花束を』(2006年/95分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
ソフトテニスクリニック～YONEXと部活動～,2025/1/18,,2025/1/19,,中高生を対象とした、YONEX(株)の一流ソフトテニスプレーヤーによるスポーツ講座,但馬ドーム ドーム棟グラウンド,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
としょかん映画会,2025/1/18,13:30,2025/1/18,,『アルジャーノンに花束を』(2006年/95分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
近畿中学校スキー選手権大会,2025/1/19,,2025/1/20,,近畿エリアから中学校選手が集合するスキー大会。,万場スキー場、神鍋カントリークラブ,一社）日高神鍋観光協会,0796-45-0800,,,日高,35.4921,134.6531
田んぼの学校,2025/1/19,9:30,2025/1/19,12:00,冬の動物・足跡探し,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
認知能力・非認知能力を育てる 中国語母語教室,2025/1/19,10:00,2025/1/19,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/1/20,13:00,2025/1/20,14:00,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,35.4616,134.8752
働きたい女性のためのデジタルマーケティングセミナー　修了式,2025/1/21,10:00,2025/1/21,12:00,働きたい女性のためのデジタルマーケティングセミナー受講者を対象とした修了式・オリエンテーション,WACCU TOYOOKA　学習室 (アイティ4階)),豊岡市多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1029006/1029656.html,豊岡,35.5445,134.8149
豊岡ノーマイカーデー,2025/1/24,0:00,2025/1/24,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
