行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問合せ先電話番号,備考,URL,エリア,緯度,経度
ソフトボールクリニック～「走･攻･守」徹底解剖～,2025/2/1,,2025/2/2,,小中学生・高校生を対象とした、園田学園女子大学ソフトボール部によるスポーツ講座,但馬ドームドーム棟グラウンド,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
第228回サロンコンサート,2025/2/1,12:30,2025/2/1,,出演：カタリコト（唄：安田敦美+ギター：山崎昭典）,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,"場所：豊岡市民プラザ/交流サロン
参加料無料",,豊岡,35.5445,134.8149
スノーシュー体験,2025/2/2,13:00,2025/2/2,15:00,動物の足跡さがしや雪遊び,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
そよかぜ朗読会,2025/2/2,10:30,2025/2/2,,朗読ボランティア「そよかぜ」による朗読会,図書館本館　いこいの間,図書館本館,0796-23-6151,,,豊岡,34.6929,135.1424
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/2/3,14:00,2025/2/3,15:00,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,,城崎,35.6284,134.8133
としょかん映画会,2025/2/7,10:30,2025/2/7,,『別れの曲』(1934年/91分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
としょかん映画会,2025/2/8,13:30,2025/2/8,,『別れの曲』(1934年/91分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
多文化交流サロン,2025/2/8,13:30,2025/2/8,,外国人市民が日本で生活していくために大切なことを学びます。防災のことや生活オリエンテーションを実施します。日本や外国の文化、行事等を通じた交流事業も行います。,WACCU TOYOOKA(Aity４階) 学習室,（一社）豊岡市国際交流協会,0796-24-5931,,,豊岡,35.5559,134.8004
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/2/9,10:30,2025/2/9,11:30,図書館による託児サービス,図書館竹野分館,図書館本館,0796-23-6151,,,竹野,35.6499,134.7578
大駱駝艦･田村一行舞踏公演 舞踏但馬風土記『千里の放浪』　,2025/2/9,14:00,2025/2/9,,"豊岡発の市民舞踏団「但馬鸛鵲楼(たじまかんじゃくろう)」と、世界的に活躍する舞踏カンパニー「大駱駝艦」より田村一行氏をお招きし、大駱駝艦メンバーとの舞踏公演を開催。この地に生きる人々や風土からインスピレーションを受け創作された豊岡発の舞踏作品をお届けします。
終演後アーティストトークを開催",豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,場所：豊岡市民プラザ/ほっとステージ,,豊岡,35.5445,134.8149
コウノトリ野鳥観察会,2025/2/9,13:00,2025/2/9,15:00,園内でコウノトリと野鳥を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
第61回企画展　ふるさとの宝もの－新田・中筋・神美地区の文化遺産－　展示解説,2025/2/9,13:30,2025/2/9,15:00,当館文化財調査員が、展示内容や調査時のこぼれ話などをお話する。,歴史博物館「但馬国府・国分寺館」,歴史博物館「但馬国府・国分寺館」,0796-42-6111,,https://www3.city.toyooka.lg.jp/kokubunjikan/,日高,35.4697,134.7676
ジオパークシンポジウム「石の文化が世界を結ぶ　糸魚川と山陰の事例」,2025/2/11,,2025/2/11,,糸魚川フォッサマグナミュージアム学芸員等の講演、豊岡市内のまち歩き,豊岡市役所本庁舎２階大会議室,山陰海岸ジオパーク推進協議会,o796-26-3783,,,豊岡,35.5445,134.8202
豊岡ノーマイカーデー,2025/2/12,0:00,2025/2/12,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
事業承継 無料個別相談会,2025/2/14,11:00,2025/2/14,15:15,"個人事業主・中小企業の事業承継に精通した兵庫県事業承継・引継ぎ支援センターの相談員による出張相談会を開催します。
完全予約制・先着順ですので、開催日の１週間前までにお申し込みください。",豊岡市商工会本部（豊岡市日高町祢布920　豊岡市役所日高振興局2階）,兵庫県事業承継・引継ぎ支援センター,078-303-2299,豊岡市商工会本所　0796-42-4751,https://www.city.toyooka.lg.jp/sangyo/kigyoshien/sogyoshien/1022664.html,日高,35.4703,134.771
田んぼの学校,2025/2/16,9:30,2025/2/16,12:00,冬のビオトープ,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
認知能力・非認知能力を育てる 中国語母語教室,2025/2/16,10:00,2025/2/16,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
一般公募　普通救命講習,2025/2/16,9:00,2025/2/16,11:00,普通救命講習を行う,消防本部・豊岡消防署,消防本部・豊岡消防署,0796-24-1119,,,豊岡,35.5311,134.82
2024年度山陰海岸ジオパークガイド養成講座in豊岡,2025/2/17,,2025/2/17,,基礎講習、専門講習、ガイド講習、実地研修,道の駅「神鍋高原」,観光政策課,0796-21-9016,,,日高,35.4992,134.675
女性のための「お金と未来」の相談会,2025/2/19,9:30,2025/2/19,12:30,"収入と支出のバランス設計、NISAやiDeCo、ライフステージ（人生の各段階）に応じた貯蓄計画、教育費・年金・保険などについて、ファイナンシャルプランナーなどの女性アドバイザーがわかりやすく丁寧にアドバイスをします。

相談員：但馬銀行の女性アドバイザー（ファイナンシャルプランナーなど）
開催時間：①9:30～、②10:30～、③11:30～　の3枠。※おひとり50分",WACCU TOYOOKA　学習室 (アイティ4階),豊岡市多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1019184/1029211.html,豊岡,35.5445,134.8149
日野浩志郎+古舘 健+藤田正嘉+谷口かんな+前田剛史『Phase Transition II』試演会,2025/2/21,19:30,2025/2/21,0:00,作曲家の日野浩志郎、メディアアーティストの古舘健、ヴィブラフォン奏者の藤田正嘉、打楽器奏者の谷口かんな、太鼓奏者の前田剛史らによる、アートセンターのホール空間を活用し、大きな打楽器群や立体音響を駆使した楽曲の試演会。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.6291,134.7995
水彩画教室作品展,2025/2/22,9:30,2025/3/9,16:30,美術館主催の水彩画教室受講生の作品展。,美術館「伊藤清永記念館」,美術館「伊藤清永記念館」,0796-52-5456,,https://www.city.toyooka.lg.jp/1019810/1019847/itoh-museum/,出石,35.4618,134.8729
植物観察会,2025/2/23,13:00,2025/2/23,15:00,冬の植物を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
認知能力・非認知能力を育てる 中国語母語教室,2025/2/23,10:00,2025/2/23,12:00,中国語の母語教室。発表会。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/2/24,14:00,2025/2/24,15:00,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,35.4616,134.8752
豊岡ノーマイカーデー,2025/2/28,0:00,2025/2/28,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
