全国地方公共団体コード,地方公共団体名,区名,エリア,カテゴリー,屋台ID,屋台開店情報連携ID,新規屋台,名称,名称_カナ,名称_英語,住所,郵便番号,所在地_全国地方公共団体コード,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,緯度,経度,Google Map,アクセス,電話番号,Instagram情報,利用可能曜日,定休日,定休日_英語,営業時間,開始時間,終了時間,多言語メニュー,外国語での接客可能,子連れOK,車いすOK,チャージ・お通し無し,予約可能,貸切可能,レシート発行,現金,キャッシュレス決済可能,クレジットカード対応,開業／廃業フラグ,リード文,リード文_英語,本文,予算,URL,よかなびURL,外観写真,メニュー画像１_日本語,メニュー画像１_英語,メニュー画像２_日本語,メニュー画像２_英語,画像１,画像２,画像３,画像４,画像５,画像_ライセンス
401307,福岡県福岡市,東区,その他,ラーメン/焼きラーメン/焼き鳥/おでん/餃子,122472,HL10039664,0,寅政,トラマサ,Toramasa,〒813-0044 福岡県福岡市東区千早5-9,813-0044,401307,福岡県福岡市東区千早5-9,福岡県,福岡市,千早５丁目,9,33.6555599,130.4402527,https://maps.app.goo.gl/EWH47goxpqPGomH69,ＪＲ鹿児島本線 千早駅 徒歩5分,090-7460-9026,,日曜日/月曜日/火曜日/水曜日/木曜日/金曜日/土曜日,不定休,Irregular Holidays,19:00～3:00,19:00,3:00,0,0,1,1,1,1,1,0,1,1,0,0,香椎の屋台ならココ！一度出向けば、料理と大将にハマる事間違いなし！,"This is the only food stall in Higashi Ward, Fukuoka City.","福岡市東区香椎に1軒だけポツンとある寅政は、ちょっと強面の大将が優しく出迎えてくれる屋台。とっつきにくいかと思いきや、どこか可愛く、とても穏やかでおしゃべり好き！モチロン料理も暖かくて繊細です。 定番料理から変りダネまで、何を食べても美味しく、また手間隙かけた心配りが感じられるお料理ばかり。香椎に遊びに行った際には、寄ってみてソンはナシ！の屋台です。【店主のオススメ！】納豆ラーメン　800円ラーメン　600円餃子（８個）　400円※金額は2023年12月時点のものです。【予約】<a href=""tel:09074609026"">電話受付</a>【関連サイト】・<a href=""https://tabelog.com/fukuoka/A4001/A400201/40045901/"">食べログ</a><iframe src=""https://www.google.com/maps/d/u/1/embed?mid=1s1NkZUKpsFr7eFQkwp6E-OIPeCoX5Iw&amp;ehbc=2E312F"" width=""100%"" height=""480""></iframe>",3000,,https://yokanavi.com/yatai/122472/,https://yokanavi.com/assets/uploads/2020/12/fbau800_s_0n5c.jpg,,,,,https://yokanavi.com/assets/uploads/2019/03/fbau800_s_0n5d.jpg,https://yokanavi.com/assets/uploads/2019/03/fbau800_s_0n5e.jpg,https://yokanavi.com/assets/uploads/2019/03/fbau800_s_0n5f.jpg,,,https://ckan.open-governmentdata.org/dataset/e06a31ee-2a80-4b5c-ad8b-a772bf2cf02b/resource/99a07119-c222-4a04-9bd8-1f91f50f7f9f/download/picinfo.pdf
401307,福岡県福岡市,博多区,中洲,ラーメン/焼き鳥/おでん,122473,HL10039673,0,おけい,オケイ,Okei,〒810-0801 福岡県福岡市博多区中洲5,810-0801,401307,福岡県福岡市博多区中洲5,福岡県,福岡市,中洲５丁目,,33.5948713,130.4041006,https://maps.app.goo.gl/kV6gZxn9KVC5KFzn9,地下鉄空港線（1号線） 中洲川端駅 徒歩5分,092-291-3041,,月曜日/火曜日/水曜日/木曜日/金曜日/土曜日,日曜日/祝日,Sunday/National Holiday,19:30～2:00,19:30,2:00,1,0,1,1,1,1,1,0,1,1,0,0,オーソドックスな料理をさりげなくがモットー,This is a food stall that serves orthodox cuisine.,"気取りのない物静かな大将ですが、そこにいるだけでやすらぎ感が店に広がり料理も焼き物を中心におでんなんかをあてに、一人飲みもここでは意外に様になります。お客は常連と観光客が半々です、ちょいと時間を作って行ってみれば良さがわかるはず。【店主のオススメ！】 ラーメン　650円土手焼き　700円※金額は2023年12月時点のものです。<a href=""https://yokanavi.com/assets/uploads/2023/06/okei1.jpg"" target=""_blank"" rel=""noopener""><img loading=""lazy"" class=""size-large "" src=""https://yokanavi.com/assets/uploads/2023/06/okei1.jpg"" alt="""" width=""100%"" height=""683"" /></a> <a href=""https://yokanavi.com/assets/uploads/2023/06/okei2.jpg"" target=""_blank"" rel=""noopener""><img loading=""lazy"" class=""size-large "" src=""https://yokanavi.com/assets/uploads/2023/06/okei2.jpg"" alt="""" width=""100%"" height=""683"" /></a> ※写真の金額は2023年5月時点のものです。【予約】<a href=""tel:0922913041"">電話受付</a>【貸切】8人以上で可能。【関連サイト】・<a href=""https://tabelog.com/fukuoka/A4001/A400102/40046887/"">食べログ</a><iframe src=""https://www.google.com/maps/d/u/1/embed?mid=1nTS5txb3qqXI4KCVtacnYPjFyoLJR_I&amp;ehbc=2E312F"" width=""100%"" height=""480""></iframe>",3000,,https://yokanavi.com/yatai/122473/,https://yokanavi.com/assets/uploads/2024/07/709c4e6861ea2164c154f0d2d90d0ba2.jpg,https://yokanavi.com/assets/uploads/2023/06/okei1.jpg,,https://yokanavi.com/assets/uploads/2023/06/okei2.jpg,,https://yokanavi.com/assets/uploads/2019/03/fbau801_s_0n5d.jpg,,,,,https://ckan.open-governmentdata.org/dataset/e06a31ee-2a80-4b5c-ad8b-a772bf2cf02b/resource/99a07119-c222-4a04-9bd8-1f91f50f7f9f/download/picinfo.pdf
401307,福岡県福岡市,博多区,中洲,ラーメン/焼きラーメン/おでん,122474,HL10039933,0,小島商店,コジマショウテン,Kojima shoten,〒810-0801 福岡県福岡市博多区中洲1-8（清流公園内）,810-0801,401307,福岡県福岡市博多区中洲1-8（清流公園内）,福岡県,福岡市,中洲１丁目,8（清流公園内）,33.5903239,130.4083572,https://maps.app.goo.gl/4QWqLYeg8R3X9HrW7,地下鉄空港線（1号線） 中洲川端駅 1番出口 徒歩10分,090-9575-1200,https://www.instagram.com/nakasunoyatai/,月曜日/火曜日/木曜日/金曜日/土曜日,日曜日/水曜日,Wednesday/Sunday,19:00～2:00,19:00,2:00,1,0,1,1,1,0,0,0,1,1,0,0,小島商店は、接客、丁寧な調理、屋台の雰囲気を大事にする屋台です。,"Kojima Shoten is a yatai that values ??customer service, careful cooking, and the atmosphere of the food stall.","小島商店は、接客、丁寧な調理、屋台の雰囲気を大事にする屋台です。リバーサイドの風を感じながら今夜も皆んなで乾杯しましょう。記念撮影等は気軽に声かけてくださいね？？【店主のオススメ！】 博多ラーメン　750円明太オムレツ　800円山芋と明太子の鉄板焼き　900円 ※金額は2023年12月時点のものです。<img loading=""lazy"" class=""size-large "" src=""https://yokanavi.com/assets/uploads/2023/06/4739d833b96a867d919134191cb7228a.jpg"" alt="""" width=""100%"" height=""683"" /> ※写真の金額は2023年5月時点のものです。【関連サイト】・<a href=""https://www.instagram.com/nakasunoyatai/"">instagram</a>・<a href=""https://ja-jp.facebook.com/nakasunoyataikojimashouten/"">facebook</a> ・<a href=""https://tabelog.com/fukuoka/A4001/A400102/40048426/"">食べログ</a><iframe src=""https://www.google.com/maps/d/u/1/embed?mid=1tWAkOxt7c4Xx8cPv40oOfo13ZP0baAU&amp;ehbc=2E312F"" width=""100%"" height=""480""></iframe>",3000,,https://yokanavi.com/yatai/122474/,https://yokanavi.com/assets/uploads/2023/05/0563bdb445553c63cc7f022f5b1e29bc.jpeg,https://yokanavi.com/assets/uploads/2023/06/4739d833b96a867d919134191cb7228a.jpg,,,,https://yokanavi.com/assets/uploads/2019/03/fbau802_s_0n5d.jpg,https://yokanavi.com/assets/uploads/2019/03/fbau802_s_0n5f.jpg,https://yokanavi.com/assets/uploads/2023/05/0563bdb445553c63cc7f022f5b1e29bc.jpeg,https://yokanavi.com/assets/uploads/2023/05/b625b7352e88e5d1044ba5de1fe6bef2.jpeg,https://yokanavi.com/assets/uploads/2020/12/fbau802_s_0n5h.jpg,https://ckan.open-governmentdata.org/dataset/e06a31ee-2a80-4b5c-ad8b-a772bf2cf02b/resource/99a07119-c222-4a04-9bd8-1f91f50f7f9f/download/picinfo.pdf
401307,福岡県福岡市,博多区,中洲,ラーメン/焼きラーメン/焼き鳥/おでん/餃子,122475,HL10040138,0,伸龍,シンリュウ,Shinryu,〒810-0801 福岡県福岡市博多区中洲1-8（清流公園内）,810-0801,401307,福岡県福岡市博多区中洲1-8（清流公園内）,福岡県,福岡市,中洲１丁目,8（清流公園内）,33.5904483,130.4081805,https://maps.app.goo.gl/XkVFa9h7w5AZru8N7,地下鉄空港線（1号線） 中洲川端駅 1番出口 徒歩10分,090-3605-3591,https://www.instagram.com/comeonshinryu/,月曜日/火曜日/水曜日/金曜日/土曜日,不定休,Irregular Holidays,18:00～1:30,18:00,1:30,1,1,1,1,1,0,0,0,1,1,0,0,中洲で30年以上。親子で仲良く元気に営業しています。,This yatai has been happily run by a parent and child in Nakasu for over 30 years.,"中洲で30年以上。 親子で仲良く元気に営業しています。ラーメン、焼鳥、おでんなどの昔からのメニューや、オリジナルメニューもあります。博多に来た際は、ぜひ〝元気な屋台、伸龍へ！″餃子×明太×チーズの最高コンビからなる「明太チーズ餃子」。博多エリアの屋台でこのメニューがいただけるのは「伸龍」だけ！そして奥が「焼ラーメン」。屋台発祥の焼ラーメンでありながら「伸龍」の焼ラーメンは一味違う！豚骨スープをベースに鉄板で蒸し焼きをしているのが特徴です。【店主のオススメ！】 明太チーズ餃子　750円焼きラーメン　950円ラーメン　750円※金額は2023年12月時点のものです。<a href=""https://yokanavi.com/assets/uploads/2023/11/IMG_6186-scaled.jpg"" target=""_blank"" rel=""noopener""><img loading=""lazy"" class=""size-large "" src=""https://yokanavi.com/assets/uploads/2023/11/IMG_6186-scaled.jpg"" alt="""" width=""100%"" height=""683"" /></a> ※写真の金額は2023年11月時点のものです。【特集記事】・<a href=""https://yokanavi.com/feature/226963/"">福岡の「老舗屋台」と「最新屋台」に見る職人の技。-屋台を作るプロフェッショナル-（前編）</a>【関連サイト】・<a href=""https://www.instagram.com/comeonshinryu/"">instagram</a> ・<a href=""https://twitter.com/come_on_shinryu"">Twitter（現X）</a> ・<a href=""https://tabelog.com/fukuoka/A4001/A400102/40004618/"">食べログ</a><iframe src=""https://www.google.com/maps/d/u/1/embed?mid=1mwOQZe5SxsY2Vy5aJCA4_iAdsuO5fO8&amp;ehbc=2E312F"" width=""100%"" height=""480""></iframe>",2000,https://gurunavi.com/ja/fbau803/rst/,https://yokanavi.com/yatai/122475/,https://yokanavi.com/assets/uploads/2022/07/1-2_yatai_MG_2732-scaled.jpg,https://yokanavi.com/assets/uploads/2023/11/IMG_6186-scaled.jpg,,,,https://yokanavi.com/assets/uploads/2023/03/661b8ca200aa92aaea7d2d0de94ce93c.jpeg,https://yokanavi.com/assets/uploads/2023/03/7a131143dd6c7a69d94aa89594bbce8c-scaled.jpeg,https://yokanavi.com/assets/uploads/2023/03/dbad3e8861dab215f574a02418c4cdb3-scaled.jpeg,https://yokanavi.com/assets/uploads/2022/07/9_shinryu_MG_2670-scaled.jpg,https://yokanavi.com/assets/uploads/2022/07/1-2_yatai_MG_2732-scaled.jpg,https://ckan.open-governmentdata.org/dataset/e06a31ee-2a80-4b5c-ad8b-a772bf2cf02b/resource/99a07119-c222-4a04-9bd8-1f91f50f7f9f/download/picinfo.pdf
401307,福岡県福岡市,博多区,中洲,餃子,122476,HL10040359,0,武ちゃん,タケチャン,Takechan,〒810-0801 福岡県福岡市博多区中洲1-8（清流公園内）,810-0801,401307,福岡県福岡市博多区中洲1-8（清流公園内）,福岡県,福岡市,中洲１丁目,8（清流公園内）,33.5901946,130.408607,https://maps.app.goo.gl/HxnWnej3DVv7cUpdA,地下鉄空港線（1号線） 中洲川端駅 1番出口 徒歩10分,090-8628-9983,,日曜日/月曜日/火曜日/水曜日/木曜日/金曜日/土曜日,不定休,Irregular Holidays,19:00～1:00,19:00,1:00,1,0,1,1,1,0,0,0,1,0,0,0,餃子屋で修業した大将が作る絶品餃子を是非ご賞味あれ！,This is a stall selling exquisite gyoza.,"タイトルに書いた通り、ここ武ちゃんのオススメはズバリ博多が誇る一口餃子です！ニンニク控えめの餃子は女性・接客業の方を問わず、ほとんどのお客様に注文されるほどの人気だそうです。自家製の柚子胡椒とは相性抜群で県外や遠方の方でも2度・3度と来られるそうです。親子三人でやっており、休日はほとんど料理の仕込みに費やしてるほど料理好きだそうです。ほかの屋台であまり見かけないどて鍋も絶品です。聞けば牛スジ、ほほ肉、こんにゃくを白みそでじっくり煮込んでるそうで、優しい香りと味わいが口いっぱいに広がります。【店主のオススメ！】 餃子（８個）　600円どて鍋　600円ホルモン　900円 ※金額は2023年12月時点のものです。【関連サイト】・<a href=""https://tabelog.com/fukuoka/A4001/A400102/40041197/"">食べログ</a><iframe src=""https://www.google.com/maps/d/u/1/embed?mid=1bridZfNok30V9fo8trH7qJKmduGc9_U&amp;ehbc=2E312F"" width=""100%"" height=""480""></iframe>",1500,,https://yokanavi.com/yatai/122476/,https://yokanavi.com/assets/uploads/2020/12/fbau804_s_0n5c.jpg,,,,,https://yokanavi.com/assets/uploads/2019/03/fbau804_s_0n5d.jpg,https://yokanavi.com/assets/uploads/2019/03/fbau804_s_0n5e.jpg,https://yokanavi.com/assets/uploads/2020/12/fbau804_s_0n5c.jpg,,,https://ckan.open-governmentdata.org/dataset/e06a31ee-2a80-4b5c-ad8b-a772bf2cf02b/resource/99a07119-c222-4a04-9bd8-1f91f50f7f9f/download/picinfo.pdf
401307,福岡県福岡市,博多区,中洲,ラーメン/焼き鳥/おでん,122477,,0,呑龍,ドンリュウ,Donryu,〒810-0801 福岡県福岡市博多区中洲1-8（清流公園内）,810-0801,401307,福岡県福岡市博多区中洲1-8（清流公園内）,福岡県,福岡市,中洲１丁目,8（清流公園内）,33.5900745,130.4087262,https://maps.app.goo.gl/n3A9GsFqkY5BnwEN8,地下鉄空港線（1号線） 中洲川端駅 1番出口 徒歩10分,092-291-3041,,日曜日/月曜日/火曜日/水曜日/木曜日/金曜日/土曜日,不定休,Irregular Holidays,18:00～2:00,18:00,2:00,1,0,1,1,1,0,0,0,1,0,0,0,お茶目な大将と優しい女将さんのノスタルジックな正統派屋台,A nostalgic orthodox food stall run by a mischievous owner and his kind wife.,"入った瞬間に優しい女将さんと、お茶目でどこかカワイイ大将がお出迎え！ご夫婦でやっている屋台です。 昔ながらの屋台で、やっぱりオススメはラーメンとおでん！ 特に優しい味のおでんは、家で食べるような味でたくさん食べれます。【店主のオススメ！】 ラーメン　800円おでん　1,000円焼き鳥　1,000円 ※金額は2023年12月時点のものです。【関連サイト】・<a href=""https://tabelog.com/fukuoka/A4001/A400103/40019936/"">食べログ</a><iframe src=""https://www.google.com/maps/d/u/1/embed?mid=10vC3Eh8hWMMJT2xEq9vO8R1YbVmP4DI&amp;ehbc=2E312F"" width=""100%"" height=""480""></iframe>",2500,,https://yokanavi.com/yatai/122477/,https://yokanavi.com/assets/uploads/2020/12/fbau805_s_0n5c.jpg,,,,,https://yokanavi.com/assets/uploads/2019/03/fbau805_s_0n5d.jpg,https://yokanavi.com/assets/uploads/2020/12/fbau805_s_0n5c.jpg,,,,https://ckan.open-governmentdata.org/dataset/e06a31ee-2a80-4b5c-ad8b-a772bf2cf02b/resource/99a07119-c222-4a04-9bd8-1f91f50f7f9f/download/picinfo.pdf
401307,福岡県福岡市,博多区,中洲,ラーメン/焼きラーメン/焼き鳥/餃子,122478,HL10040345,0,ひでちゃん,ヒデチャン,Hidechan,〒810-0801 福岡県福岡市博多区中洲1-8（清流公園内）,810-0801,401307,福岡県福岡市博多区中洲1-8（清流公園内）,福岡県,福岡市,中洲１丁目,8（清流公園内）,33.590221,130.4085471,https://maps.app.goo.gl/QtSYUdh2RGcS8c9e6,地下鉄空港線（1号線） 中洲川端駅 1番出口 徒歩10分,090-3733-0738,https://www.instagram.com/hidechan.ramen/,日曜日/月曜日/水曜日/木曜日/金曜日/土曜日,火曜日,Tuesday,18:00～2:00,18:00,2:00,1,1,1,1,1,0,1,0,1,0,0,0,博多の夜は屋台の明かりから……,End your day at this stall.,"やっぱり屋台と言えばラーメンと焼き物、焼き鳥を肴に一杯！もーたまりませんね。夏はビールに冬は日本酒、いや焼酎。とにかく呑んで騒いで一日の締めくくりはこの店。【店主のオススメ！】 ラーメン　770円焼きラーメン　1,100円餃子　550円 ※金額は2023年12月時点のものです。【貸切】10人以上で可能。【関連サイト】・<a href=""https://www.instagram.com/hidechan.ramen/"">instagram</a> ・<a href=""https://tabelog.com/fukuoka/A4001/A400102/40035784/"">食べログ</a><iframe src=""https://www.google.com/maps/d/u/1/embed?mid=1aq_FkcCklpmLVkKm8MCKyoTU6JExooQ&amp;ehbc=2E312F"" width=""100%"" height=""480""></iframe>",1500,,https://yokanavi.com/yatai/122478/,https://yokanavi.com/assets/uploads/2020/12/fbau806_s_0n5c.jpg,,,,,https://yokanavi.com/assets/uploads/2019/03/fbau806_s_0n5d.jpg,https://yokanavi.com/assets/uploads/2020/12/fbau806_s_0n5c.jpg,,,,https://ckan.open-governmentdata.org/dataset/e06a31ee-2a80-4b5c-ad8b-a772bf2cf02b/resource/99a07119-c222-4a04-9bd8-1f91f50f7f9f/download/picinfo.pdf
401307,福岡県福岡市,博多区,中洲,ラーメン/焼きラーメン/焼き鳥/おでん/餃子,122480,HL10039716,0,丸十,マルジュウ,Marujyu,〒810-0801 福岡県福岡市博多区中洲1-8（清流公園内）,810-0801,401307,福岡県福岡市博多区中洲1-8（清流公園内）,福岡県,福岡市,中洲１丁目,8（清流公園内）,33.5902508,130.4084427,https://maps.app.goo.gl/cEs2VeeTh9aWBPYc6,地下鉄空港線（1号線） 中洲川端駅 1番出口 徒歩10分,090-1199-8609,https://www.instagram.com/maru_jyuu_yatai/,日曜日/火曜日/水曜日/木曜日/金曜日/土曜日,第2日曜日/月曜日,Second Sunday/Monday,18:00～1:00,18:00,1:00,1,1,1,0,1,0,0,0,1,1,0,0,エネルギッシュな従業員がおいしさを倍増させてくれる,"At this food stall, energetic employees double the deliciousness.","博多名物のラーメンから焼きラーメンにやきとりおでんと品物はオーソドックスだがしっかりとした味がお客を呼ぶ。観光客が多いがその味には納得のお店です。【店主のオススメ！】 ラーメン　700円焼きラーメン　1,000円※金額は2023年12月時点のものです。【関連サイト】・<a href=""https://tabelog.com/fukuoka/A4001/A400102/40026205/"">食べログ</a> ・<a href=""https://www.instagram.com/maru_jyuu_yatai/?hl=ja"">instagram</a><iframe src=""https://www.google.com/maps/d/u/1/embed?mid=1yh6d1KV9JKuvpWFZTTYV4CzN5yVutJI&amp;ehbc=2E312F"" width=""100%"" height=""480""></iframe>",2500,,https://yokanavi.com/yatai/122480/,https://yokanavi.com/assets/uploads/2020/12/fbau808_s_0n5c.jpg,,,,,https://yokanavi.com/assets/uploads/2019/03/fbau808_s_0n5d.jpg,https://yokanavi.com/assets/uploads/2020/12/fbau808_s_0n5c.jpg,,,,https://ckan.open-governmentdata.org/dataset/e06a31ee-2a80-4b5c-ad8b-a772bf2cf02b/resource/99a07119-c222-4a04-9bd8-1f91f50f7f9f/download/picinfo.pdf
401307,福岡県福岡市,博多区,中洲,焼き鳥/おでん/その他,122481,,0,峰ちゃん,ミネチャン,Minechan,〒810-0801 福岡県福岡市博多区中洲1-8（清流公園内）,810-0801,401307,福岡県福岡市博多区中洲1-8（清流公園内）,福岡県,福岡市,中洲１丁目,8（清流公園内）,33.5901751,130.4086295,https://maps.app.goo.gl/QbhnAXX7yjupzJqd9,地下鉄空港線（1号線） 中洲川端駅 1番出口 徒歩10分,092-291-3041,,月曜日/火曜日/水曜日/木曜日/金曜日/土曜日,日曜日,Sunday,19:00～2:00,19:00,2:00,0,0,1,1,1,0,0,0,1,0,0,0,中洲を見ながら飲む酒は絶品！,"Even though this stall is located in the tourist area of ??Nakasu, local regulars also come here.","中洲の観光地に有って地元常連さんも行き来する屋台、屋台の歴史や博多の歴史を肴にするもよし、隣のお客さんと仲良くなるもよし。 大将と若大将が切り盛りする店で人気メニューがおでんらしく、今は息子さんが味を受け継いで常連さんの舌をがっちり鷲づかみ、他に焼き物、とくに牛タンステーキは絶品です。【関連サイト】・<a href=""https://tabelog.com/fukuoka/A4001/A400102/40029419/"">食べログ</a><iframe src=""https://www.google.com/maps/d/u/1/embed?mid=1vRsJuWWN1qbTzgXVOsfHQiTwpaPRdZ8&amp;ehbc=2E312F"" width=""100%"" height=""480""></iframe>",3000,,https://yokanavi.com/yatai/122481/,https://yokanavi.com/assets/uploads/2020/12/fbau809_s_0n5c.jpg,,,,,https://yokanavi.com/assets/uploads/2019/03/fbau809_s_0n5d.jpg,https://yokanavi.com/assets/uploads/2020/12/fbau809_s_0n5c.jpg,,,,https://ckan.open-governmentdata.org/dataset/e06a31ee-2a80-4b5c-ad8b-a772bf2cf02b/resource/99a07119-c222-4a04-9bd8-1f91f50f7f9f/download/picinfo.pdf
401307,福岡県福岡市,博多区,中洲,天ぷら/焼き鳥,122482,,0,屋台もり,ヤタイモリ,Mori,〒810-0801 福岡県福岡市博多区中洲4-1,810-0801,401307,福岡県福岡市博多区中洲4-1,福岡県,福岡市,中洲４丁目,1,33.5914059,130.4070188,https://maps.app.goo.gl/aJmJhbZuBYxC11N89,地下鉄空港線（1号線） 中洲川端駅 徒歩3分,092-761-6419,,月曜日/火曜日/水曜日/木曜日/金曜日/土曜日,日曜日,Sunday,18:00～1:00,18:00,1:00,0,0,0,0,0,0,0,0,1,0,0,0,酒が飲めない大将の軽快な喋りに酔いしれてみては,This is a stall specializing in tempura.,"この道40年てんぷらの屋台と決めてやってきたがその選択は間違いなかったと語る大将。天ぷら専門屋台は数少ないがほとんどはずれがなくこの店もその一店。サクサクの衣を熱々のうちに頬張ったあと口の中を日本酒で洗い流す瞬間が、日本人でよかったと思う瞬間です。【特集記事】・<a href=""https://yokanavi.com/feature/198647/"">屋台の醍醐味がココにある！ドキュメント7hours（セブンアワーズ）‐屋台に集う、それぞれのストーリー‐</a>【関連サイト】・<a href=""https://tabelog.com/fukuoka/A4001/A400102/40024514/"">食べログ</a><iframe src=""https://www.google.com/maps/d/u/1/embed?mid=1245hGSpa84_3XsgCuzDAeuzBGW8Yt4g&amp;ehbc=2E312F"" width=""100%"" height=""480""></iframe>",3000,https://gurunavi.com/ja/fbau810/rst/,https://yokanavi.com/yatai/122482/,https://yokanavi.com/assets/uploads/2018/05/F5BD7B1B-BEC4-411A-B51D-8A8560A371E3.jpeg,,,,,https://yokanavi.com/assets/uploads/2020/11/dbca788356f053bc60e58590e33a47a1-scaled.jpg,https://yokanavi.com/assets/uploads/2020/11/c746feec25339bd07486e2bed04154af-scaled.jpg,https://yokanavi.com/assets/uploads/2020/11/b95a518a6a19327206d052199f619bb6-scaled.jpg,https://yokanavi.com/assets/uploads/2018/05/F5BD7B1B-BEC4-411A-B51D-8A8560A371E3.jpeg,https://yokanavi.com/assets/uploads/2020/11/69a7a2a998ce3222bfd7801b7dcb4629-scaled.jpg,https://ckan.open-governmentdata.org/dataset/e06a31ee-2a80-4b5c-ad8b-a772bf2cf02b/resource/99a07119-c222-4a04-9bd8-1f91f50f7f9f/download/picinfo.pdf
