市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,アクセス方法,駐車場情報,バリアフリー情報,連絡先電話番号,URL
341002,1,広島県,広島市,縮景園,シュッケイエン,広島市中区上幟町2-11,34.400111,132.46734,月火水木金土日,9:00,18:00,10～3月は17:00まで、休園日12/29～12/31,260,"大人260円、高大生150円、小中生100円
団体20名以上、大人200円、高大生100円、小中生 80円",旧浅野藩の庭園、国名勝,広島駅から徒歩12分,駐車場1時間360円、バス1時間800円,,082-221-3620,https://shukkeien.jp/
341002,2,広島県,広島市,ひろしま遊学の森　広島県緑化センター,ヒロシマユウガクノモリ　ヒロシマケンリョッカセンター,広島市東区福田町10166-2,34.434576,132.565144,火水木金土日,9:00,16:00,休園日月曜日（祝・休日の場合、その翌日）、12/29～1/3,0,,自然に囲まれた公園で、125haの敷地内に500種以上の樹木が生育、四季折々の花木や、野生きのこ、野鳥、昆虫に出会える。樹木見本園や学習展示館等で植物や環境の勉強もできる。その他、多目的広場、わんこ広場、ﾚｽﾄﾊｳｽ等。,"車:広島駅北口から約16㎞、広島東ICから約7㎞
※災害による林道通行止めのため、第5駐車場、西ゲート閉鎖中。正面ゲート(小河原側)から入園可
バス:広島ﾊﾞｽｾﾝﾀｰ発広島駅経由小河原車庫行「小河原車庫」下車、ﾀｸｼｰで10分（約5㎞）",駐車場無料,,082-899-2811,https://ryokka-c.jp/
341002,3,広島県,広島市,ひろしま遊学の森　広島市森林公園（こんちゅう館）,ヒロシマユウガクノモリ　ヒロシマシシンリンコウエン（コンチュウカン）,広島市東区福田町字藤ヶ丸10173,34.441393,132.554137,月火木金土日,9:00,16:30,休園日水曜日(水曜日が祝日の場合はその翌日)、12/29～1/3、7月下旬～8月31日及び10月は無休,510,"大人510円、大人(65歳以上) 170円、小人170円(高校生及び18歳未満。但し乳幼児、小中学生は無料)
団体30名以上、大人430円、大人(65歳以上) 130円、小人130円",常時50種、1000頭以上の生きた昆虫を飼育、展示するこんちゅう館、山城展望台、芝生広場、ｻﾞｲﾙｸﾗｲﾐﾝｸﾞ、ﾜﾝﾊﾟｸ橋、ﾃﾞｲｷｬﾝﾌﾟ場、ｼﾞｬﾌﾞｼﾞｬﾌﾞ川、休憩所、ﾓﾉﾚｰﾙ(大人200円、大人(65歳以上)100円、小人100円),"広島駅から車で約11㎞（広島高速1号線)、山陽道広島東ICから車で約3.8㎞
小河原車庫行ﾊﾞｽ「登石」下車徒歩又はﾀｸｼｰで約2.5㎞","駐車場大型自動車・中型自動車・準中型自動車(大)1,380円、普通車・軽自動車・準中型自動車(小)450円、二輪車 無料",,"ひろしま遊学の森　082899-8241
こんちゅう館　082-899-8964",http://www.hiro-kon.jp/
341002,4,広島県,広島市,半べえ庭園,ハンベエテイエン,広島市南区本浦町8-12,34.374913,132.487897,月水木金土日,9:00,18:00,休園日火曜日,0,ご利用は当店をご利用の方に限らせて頂いております。,純日本風庭園、料亭宴会場、結婚式場、和風ﾚｽﾄﾗﾝ、温泉,広島駅より仁保車庫行バス15分｢仁保姫神社入口半べえ庭園前｣下車,,,082-282-7121,http://www.hanbe.jp/
341002,5,広島県,広島市,渝華園(中国庭園),ユカエン（チュウゴクテイエン）,"広島市中区基町15
(中央公園内)",34.400881,132.453092,月火水木金土日,9:00,19:00,10～3月は18:00まで、休園日なし,0,,"広島市と中国・重慶市との友好都市提携五周年を記念して建設された中国式庭園。面積は約1,700㎡で、周囲に透かし彫りを施した塀を巡らし、園内には回廊・あずまや・門などの伝統的建物と池・樹木・石組などがそれぞれの趣を醸し出し、四季を通じて景色を楽しみながら、庭園内を回廊できるようになっている。",広島ﾊﾞｽｾﾝﾀｰから徒歩10分,,,082-504-2390,https://www.hiroshima-navi.or.jp/post/006141.html
341002,6,広島県,広島市,大芝公園｢交通ランド」,オオシバコウエン「コウツウランド」,広島市西区大芝公園1-50,34.418977,132.46064,月火水木金土日,9:00,17:00,ｺﾞｰｶｰﾄ運行時間9:00～16:00、休園日12/29～1/3、ｺﾞｰｶｰﾄ運休日毎週月曜日（月曜日が祝日の場合は翌日、5月3日又は5月4日の場合は5月6日）,0,"ｺﾞｰｶｰﾄ使用料金、ひとり乗り100円、ふたり乗り150円
団体30名以上、ひとり乗り80円、ふたり乗り120円",ｺﾞｰｶｰﾄ、駐車場、公園内に信号機や交通標識・踏切など実際の交通場面を再現。遊びながら交通ルールを学べる。,広島駅から祇園大橋行または国道183号線経由可部・安古市方面行ﾊﾞｽ30分、「大芝町」下車、東へ約250m,,,082-230-0260,http://www.midoriikimono.jp/transport_top.html
341002,7,広島県,広島市,広島市安佐動物公園,ヒロシマシアサドウブツコウエン,広島市安佐北区安佐町動物園,34.496663,132.442718,月火水金土日,9:00,16:30,休園日木曜日・12/29～1/1（祝日の木曜日は開園、繁忙期など臨時開園あり）,510,"大人510円、大人(65歳以上)170円、小人170円(高校生及び18歳未満)、中学生以下無料
団体30名以上
大人430円、大人(65歳以上)130円、小人130円(高校生及び18歳未満)","動物約150種、約1,650点
有料駐車場、ﾋﾟｸﾆｯｸ広場、売店、食堂、軽食・喫茶","ｱｽﾄﾗﾑﾗｲﾝ県庁前駅から上安駅下車。バス乗り換え「あさひが丘」行き又は飯室行きで「安佐動物公園」下車（全所要時間約40分）
ＪＲ広島駅から新白島駅で乗り換えｱｽﾄﾗﾑﾗｲﾝ県庁前駅、バスを利用（全所要時間約45分）
広島駅南口Bホーム、9番乗り場から「あさひが丘」行き、「安佐動物公園」下車（全所要時間約50分）
車で市中心部から国道54号線（祇園新道）、ｱｽﾄﾗﾑﾗｲﾝ沿いに上安経由約40分","中・大型車1,380円、普通車450円",,082-838-1111,http://www.asazoo.jp/
341002,8,広島県,広島市,花みどり公園,ハナミドリコウエン,広島市安佐北区安佐町久地2411-1,34.509417,132.413153,月水木金土日,9:00,16:30,ドッグラン利用9:00～16:00、休園日火曜日(祝日の場合は翌日)、12/29～1/3,0,,"西日本有数のｼｬｸﾅｹﾞ園(170品種、5,500本)
ﾏﾚｰｼｱｼｬｸﾅｹﾞ等大展示室ほか","広島駅から、動物公園あさひが丘行きバスで「あさひが丘中」下車、ﾀｸｼｰ5分
ｱｽﾄﾗﾑﾗｲﾝ「上安」駅下車、ﾊﾞｽ乗り換え動物公園あさひが丘行ﾊﾞｽ「あさひが丘中」下車、ﾀｸｼｰ5分",,,082-837-1247,http://www.haff.city.hiroshima.jp/info/hanamidori/
341002,9,広島県,広島市,広島市植物公園,ヒロシマシショクブツコウエン,広島市佐伯区倉重三丁目495,34.390706,132.347438,月火水木土日,9:00,16:30,休園日毎週金曜日（金曜日が8月6日又は国民の祝日にあたるときは開園）、12/29～1/3 ,510,"大人510円、大人(65歳以上)170円、小人170円(高校生及び18歳未満)、中学生以下無料
団体30名以上大人430円、大人(65歳以上)130円、小人130円(高校生及び18歳未満)","約10,000品種、約19万7,000本の植物、大温室、熱帯スイレン温室、ﾍﾞｺﾆｱ温室、ﾌｸｼｱ温室、ｻﾎﾞﾃﾝ温室、展示温室、展示資料館、休憩展望塔、芝生広場、ﾚｽﾄﾗﾝ、駐車場等","広島ﾊﾞｽｾﾝﾀｰから植物公園経由薬師が丘団地行ﾊﾞｽ40分
JR五日市駅、広電五日市駅北口から植物公園経由薬師が丘団地行ﾊﾞｽ乗り換え約20分","中・大型車1,380円、普通車450円",,082-922-3600,http://www.hiroshima-bot.jp/
341002,10,広島県,広島市,広島県立美術館,ヒロシマケンリツビジュツカン,広島市中区上幟町2-22,34.399787,132.466332,火水木金土日,9:00,17:00,"金曜日9:00～19:00(時期により変更あり)(入場は閉館30分前まで)
休館日毎週月曜日(但し、特別展会期中・祝日･振替休日を一部除く)及び12/25～1/1",510,"＜所蔵作品展＞一般510円、(団体410円)、大学生310円(団体250円)、高校生以下無料、団体20名以上
＜特別展＞各展覧会ごとに設定","広島県ゆかりの作家の美術作品、日本とｱｼﾞｱの工芸作品及び1920-30年代の美術を収集方針として、5,000点以上の美術品を所蔵・展示。","広島駅から約1ｋm
広島電鉄（「八丁堀」で乗り換え）白島線で「縮景園前」下車、約20ｍ
広島駅新幹線口からひろしまめいぷる～ぷで「広島県立美術館前」下車",,,082-221-6246,https://www.hpam.jp/museum/
